cell_line,agent,concentration,parameter,rate,obj_func
T47D,senexinb,0.031623,$k_{S}$,0.02324015734442382,1363.3088491269043
T47D,senexinb,0.031623,$k_{G2}$,0.062263136025765664,1363.3088491269043
T47D,senexinb,0.031623,$k_{M}$,0.05573281085869314,1363.3088491269043
T47D,senexinb,0.031623,$k_{G1}$,0.27642015308333046,1363.3088491269043
T47D,senexinb,0.031623,$k_{\phi}$,1e-07,1363.3088491269043
T47D,senexinb,0.001,$k_{S}$,0.024577367186023248,410.36602612282934
T47D,senexinb,0.001,$k_{G2}$,0.0719407101375161,410.36602612282934
T47D,senexinb,0.001,$k_{M}$,0.08833447356124305,410.36602612282934
T47D,senexinb,0.001,$k_{G1}$,0.3764613136767096,410.36602612282934
T47D,senexinb,0.001,$k_{\phi}$,1e-07,410.36602612282934
T47D,senexinb,0.01,$k_{S}$,0.02589526107081644,2559.4120691784738
T47D,senexinb,0.01,$k_{G2}$,0.0712422728440213,2559.4120691784738
T47D,senexinb,0.01,$k_{M}$,0.06515452452176651,2559.4120691784738
T47D,senexinb,0.01,$k_{G1}$,0.6948077680063948,2559.4120691784738
T47D,senexinb,0.01,$k_{\phi}$,1e-07,2559.4120691784738
T47D,senexinb,0.1,$k_{S}$,0.019218375608152045,451.80988538366176
T47D,senexinb,0.1,$k_{G2}$,0.04962237507456573,451.80988538366176
T47D,senexinb,0.1,$k_{M}$,0.04628308950394291,451.80988538366176
T47D,senexinb,0.1,$k_{G1}$,0.46447850352097747,451.80988538366176
T47D,senexinb,0.1,$k_{\phi}$,1e-07,451.80988538366176
T47D,senexinb,1.0,$k_{S}$,0.015954707817773705,1701.997299170592
T47D,senexinb,1.0,$k_{G2}$,0.04742807158796039,1701.997299170592
T47D,senexinb,1.0,$k_{M}$,0.0407778536681024,1701.997299170592
T47D,senexinb,1.0,$k_{G1}$,0.20996606842169094,1701.997299170592
T47D,senexinb,1.0,$k_{\phi}$,1e-07,1701.997299170592
T47D,senexinb,0.003162,$k_{S}$,0.02306637731892741,1106.0117053461115
T47D,senexinb,0.003162,$k_{G2}$,0.06111826774877168,1106.0117053461115
T47D,senexinb,0.003162,$k_{M}$,0.07057800353018122,1106.0117053461115
T47D,senexinb,0.003162,$k_{G1}$,0.3477294637007596,1106.0117053461115
T47D,senexinb,0.003162,$k_{\phi}$,1e-07,1106.0117053461115
T47D,senexinb,3.162278,$k_{S}$,0.013926114476692123,1412.8762404005709
T47D,senexinb,3.162278,$k_{G2}$,0.0411438781162638,1412.8762404005709
T47D,senexinb,3.162278,$k_{M}$,0.03516530002836539,1412.8762404005709
T47D,senexinb,3.162278,$k_{G1}$,0.17225758105235328,1412.8762404005709
T47D,senexinb,3.162278,$k_{\phi}$,1e-07,1412.8762404005709
T47D,senexinb,10.0,$k_{S}$,0.005313980323341781,510.1709049573451
T47D,senexinb,10.0,$k_{G2}$,0.02910225615575058,510.1709049573451
T47D,senexinb,10.0,$k_{M}$,0.007099253217536608,510.1709049573451
T47D,senexinb,10.0,$k_{G1}$,0.044179024246162046,510.1709049573451
T47D,senexinb,10.0,$k_{\phi}$,1e-07,510.1709049573451
T47D,senexinb,0.316228,$k_{S}$,0.018420842711956573,1988.1494286896807
T47D,senexinb,0.316228,$k_{G2}$,0.047837703369229316,1988.1494286896807
T47D,senexinb,0.316228,$k_{M}$,0.03639746810871122,1988.1494286896807
T47D,senexinb,0.316228,$k_{G1}$,0.2626846558058299,1988.1494286896807
T47D,senexinb,0.316228,$k_{\phi}$,1e-07,1988.1494286896807
