cell_line,agent,concentration,parameter,rate,obj_func
ZR751,BSJ-03-123,3.162278,$k_{S}$,0.025536858881793408,1292.2508604717966
ZR751,BSJ-03-123,3.162278,$k_{G2}$,0.0698831656657749,1292.2508604717966
ZR751,BSJ-03-123,3.162278,$k_{M}$,0.1118572597364228,1292.2508604717966
ZR751,BSJ-03-123,3.162278,$k_{G1}$,1.1174870098356764,1292.2508604717966
ZR751,BSJ-03-123,3.162278,$k_{\phi}$,1e-07,1292.2508604717966
ZR751,BSJ-03-123,1.0,$k_{S}$,0.026775832814012867,1365.1350925646918
ZR751,BSJ-03-123,1.0,$k_{G2}$,0.0638496091342834,1365.1350925646918
ZR751,BSJ-03-123,1.0,$k_{M}$,0.10699792070524718,1365.1350925646918
ZR751,BSJ-03-123,1.0,$k_{G1}$,1.1183997217378252,1365.1350925646918
ZR751,BSJ-03-123,1.0,$k_{\phi}$,1e-07,1365.1350925646918
ZR751,BSJ-03-123,0.001,$k_{S}$,0.03815933145629468,2664.298513007745
ZR751,BSJ-03-123,0.001,$k_{G2}$,0.08502756714517166,2664.298513007745
ZR751,BSJ-03-123,0.001,$k_{M}$,0.1383592088217571,2664.298513007745
ZR751,BSJ-03-123,0.001,$k_{G1}$,1.365133036402519,2664.298513007745
ZR751,BSJ-03-123,0.001,$k_{\phi}$,1e-07,2664.298513007745
ZR751,BSJ-03-123,10.0,$k_{S}$,0.005753539937603794,1649.3156429694777
ZR751,BSJ-03-123,10.0,$k_{G2}$,0.19391521969725434,1649.3156429694777
ZR751,BSJ-03-123,10.0,$k_{M}$,0.033250679623046994,1649.3156429694777
ZR751,BSJ-03-123,10.0,$k_{G1}$,6.845464700462073,1649.3156429694777
ZR751,BSJ-03-123,10.0,$k_{\phi}$,1e-07,1649.3156429694777
ZR751,BSJ-03-123,0.031623,$k_{S}$,0.03371067947709859,2494.897592735839
ZR751,BSJ-03-123,0.031623,$k_{G2}$,0.07145517166326693,2494.897592735839
ZR751,BSJ-03-123,0.031623,$k_{M}$,0.12126314428075925,2494.897592735839
ZR751,BSJ-03-123,0.031623,$k_{G1}$,1.8135372467492987,2494.897592735839
ZR751,BSJ-03-123,0.031623,$k_{\phi}$,1e-07,2494.897592735839
ZR751,BSJ-03-123,0.01,$k_{S}$,0.03287184765860693,2629.8571668467084
ZR751,BSJ-03-123,0.01,$k_{G2}$,0.07055987819733575,2629.8571668467084
ZR751,BSJ-03-123,0.01,$k_{M}$,0.12421539528799906,2629.8571668467084
ZR751,BSJ-03-123,0.01,$k_{G1}$,1.2179177384963609,2629.8571668467084
ZR751,BSJ-03-123,0.01,$k_{\phi}$,1e-07,2629.8571668467084
ZR751,BSJ-03-123,0.316228,$k_{S}$,0.031089586417573725,2331.139878995524
ZR751,BSJ-03-123,0.316228,$k_{G2}$,0.06898406928327758,2331.139878995524
ZR751,BSJ-03-123,0.316228,$k_{M}$,0.12088679263872543,2331.139878995524
ZR751,BSJ-03-123,0.316228,$k_{G1}$,1.3153625078064914,2331.139878995524
ZR751,BSJ-03-123,0.316228,$k_{\phi}$,1e-07,2331.139878995524
ZR751,BSJ-03-123,0.1,$k_{S}$,0.03480629076711201,1316.4194917292743
ZR751,BSJ-03-123,0.1,$k_{G2}$,0.0719647729041194,1316.4194917292743
ZR751,BSJ-03-123,0.1,$k_{M}$,0.13687328474246951,1316.4194917292743
ZR751,BSJ-03-123,0.1,$k_{G1}$,0.9461053224374509,1316.4194917292743
ZR751,BSJ-03-123,0.1,$k_{\phi}$,1e-07,1316.4194917292743
ZR751,BSJ-03-123,0.003162,$k_{S}$,0.037784616096316885,2664.267240815871
ZR751,BSJ-03-123,0.003162,$k_{G2}$,0.0775034817531346,2664.267240815871
ZR751,BSJ-03-123,0.003162,$k_{M}$,0.13944081295363414,2664.267240815871
ZR751,BSJ-03-123,0.003162,$k_{G1}$,1.4436111010088304,2664.267240815871
ZR751,BSJ-03-123,0.003162,$k_{\phi}$,1e-07,2664.267240815871
