cell_line,agent,concentration,parameter,rate,obj_func
ZR751,E17,0.316228,$k_{S}$,0.005835591341415481,109371.62217968778
ZR751,E17,0.316228,$k_{G2}$,0.00930362196713478,109371.62217968778
ZR751,E17,0.316228,$k_{M}$,0.011204555688419538,109371.62217968778
ZR751,E17,0.316228,$k_{G1}$,1e-07,109371.62217968778
ZR751,E17,0.316228,$k_{\phi}$,0.002483387701425234,109371.62217968778
ZR751,E17,0.031623,$k_{S}$,0.001372922025682619,52.946805864485796
ZR751,E17,0.031623,$k_{G2}$,0.011073513948250919,52.946805864485796
ZR751,E17,0.031623,$k_{M}$,0.0077799998329922465,52.946805864485796
ZR751,E17,0.031623,$k_{G1}$,0.11740700862299697,52.946805864485796
ZR751,E17,0.031623,$k_{\phi}$,1e-07,52.946805864485796
ZR751,E17,0.000316,$k_{S}$,0.0396025223018484,1415.0504724647121
ZR751,E17,0.000316,$k_{G2}$,0.08129992858692689,1415.0504724647121
ZR751,E17,0.000316,$k_{M}$,0.15095423968630856,1415.0504724647121
ZR751,E17,0.000316,$k_{G1}$,1.6361422651392632,1415.0504724647121
ZR751,E17,0.000316,$k_{\phi}$,1e-07,1415.0504724647121
ZR751,E17,0.01,$k_{S}$,0.027718611599455517,896.8695749765446
ZR751,E17,0.01,$k_{G2}$,0.06599620944469134,896.8695749765446
ZR751,E17,0.01,$k_{M}$,0.1018653668088554,896.8695749765446
ZR751,E17,0.01,$k_{G1}$,1.1253266766817844,896.8695749765446
ZR751,E17,0.01,$k_{\phi}$,1e-07,896.8695749765446
ZR751,E17,0.003162,$k_{S}$,0.03635650283111034,2080.882463593645
ZR751,E17,0.003162,$k_{G2}$,0.07875612245754954,2080.882463593645
ZR751,E17,0.003162,$k_{M}$,0.15760319055705616,2080.882463593645
ZR751,E17,0.003162,$k_{G1}$,1.1865869340456174,2080.882463593645
ZR751,E17,0.003162,$k_{\phi}$,1e-07,2080.882463593645
ZR751,E17,1.0,$k_{S}$,0.0009110709144762298,39338.16364090402
ZR751,E17,1.0,$k_{G2}$,0.014117218453980259,39338.16364090402
ZR751,E17,1.0,$k_{M}$,0.0062090074091315514,39338.16364090402
ZR751,E17,1.0,$k_{G1}$,1e-07,39338.16364090402
ZR751,E17,1.0,$k_{\phi}$,0.0011264002965789802,39338.16364090402
ZR751,E17,0.0001,$k_{S}$,0.038387534314317295,1390.0885886255974
ZR751,E17,0.0001,$k_{G2}$,0.08439160042258018,1390.0885886255974
ZR751,E17,0.0001,$k_{M}$,0.1498417979879391,1390.0885886255974
ZR751,E17,0.0001,$k_{G1}$,2.265488151144018,1390.0885886255974
ZR751,E17,0.0001,$k_{\phi}$,1e-07,1390.0885886255974
ZR751,E17,0.1,$k_{S}$,0.005478928798826609,93434.05935479279
ZR751,E17,0.1,$k_{G2}$,0.006782141844578146,93434.05935479279
ZR751,E17,0.1,$k_{M}$,0.011784378423131903,93434.05935479279
ZR751,E17,0.1,$k_{G1}$,1e-07,93434.05935479279
ZR751,E17,0.1,$k_{\phi}$,0.0017689368219283798,93434.05935479279
ZR751,E17,0.001,$k_{S}$,0.038488923690492546,1365.3493644372825
ZR751,E17,0.001,$k_{G2}$,0.08692275535988106,1365.3493644372825
ZR751,E17,0.001,$k_{M}$,0.15532741734320005,1365.3493644372825
ZR751,E17,0.001,$k_{G1}$,1.403616225526831,1365.3493644372825
ZR751,E17,0.001,$k_{\phi}$,1e-07,1365.3493644372825
