cell_line,agent,concentration,parameter,rate,obj_func
ZR751,Flavopiridol,0.001,$k_{S}$,0.03982937624055774,511.5407894309644
ZR751,Flavopiridol,0.001,$k_{G2}$,0.08389336993497554,511.5407894309644
ZR751,Flavopiridol,0.001,$k_{M}$,0.15162181121399423,511.5407894309644
ZR751,Flavopiridol,0.001,$k_{G1}$,1.450655254279251,511.5407894309644
ZR751,Flavopiridol,0.001,$k_{\phi}$,1e-07,511.5407894309644
ZR751,Flavopiridol,0.000316,$k_{S}$,0.03914553133593738,1491.2988274980075
ZR751,Flavopiridol,0.000316,$k_{G2}$,0.08757239528004503,1491.2988274980075
ZR751,Flavopiridol,0.000316,$k_{M}$,0.14978361663208348,1491.2988274980075
ZR751,Flavopiridol,0.000316,$k_{G1}$,1.5696159231741447,1491.2988274980075
ZR751,Flavopiridol,0.000316,$k_{\phi}$,1e-07,1491.2988274980075
ZR751,Flavopiridol,0.01,$k_{S}$,0.04105592474517063,1676.9296666115606
ZR751,Flavopiridol,0.01,$k_{G2}$,0.0810297487834702,1676.9296666115606
ZR751,Flavopiridol,0.01,$k_{M}$,0.13992498208351656,1676.9296666115606
ZR751,Flavopiridol,0.01,$k_{G1}$,1.320304836609081,1676.9296666115606
ZR751,Flavopiridol,0.01,$k_{\phi}$,1e-07,1676.9296666115606
ZR751,Flavopiridol,0.1,$k_{S}$,0.044803369359845545,1595.9969026049546
ZR751,Flavopiridol,0.1,$k_{G2}$,0.07407804343874945,1595.9969026049546
ZR751,Flavopiridol,0.1,$k_{M}$,0.12376861972899662,1595.9969026049546
ZR751,Flavopiridol,0.1,$k_{G1}$,1.1450190489414602,1595.9969026049546
ZR751,Flavopiridol,0.1,$k_{\phi}$,1e-07,1595.9969026049546
ZR751,Flavopiridol,0.031623,$k_{S}$,0.04361663842717083,1816.2305629712826
ZR751,Flavopiridol,0.031623,$k_{G2}$,0.0768943911247763,1816.2305629712826
ZR751,Flavopiridol,0.031623,$k_{M}$,0.14460114172447924,1816.2305629712826
ZR751,Flavopiridol,0.031623,$k_{G1}$,1.754033182358069,1816.2305629712826
ZR751,Flavopiridol,0.031623,$k_{\phi}$,1e-07,1816.2305629712826
ZR751,Flavopiridol,1.0,$k_{S}$,0.0009476082096359428,43898.14468121678
ZR751,Flavopiridol,1.0,$k_{G2}$,0.012867618780582308,43898.14468121678
ZR751,Flavopiridol,1.0,$k_{M}$,0.005980336877969105,43898.14468121678
ZR751,Flavopiridol,1.0,$k_{G1}$,1e-07,43898.14468121678
ZR751,Flavopiridol,1.0,$k_{\phi}$,0.0010147252101906465,43898.14468121678
ZR751,Flavopiridol,0.003162,$k_{S}$,0.038676163121253125,838.1044901178617
ZR751,Flavopiridol,0.003162,$k_{G2}$,0.08134827842504111,838.1044901178617
ZR751,Flavopiridol,0.003162,$k_{M}$,0.13664856752848475,838.1044901178617
ZR751,Flavopiridol,0.003162,$k_{G1}$,1.3132731877431416,838.1044901178617
ZR751,Flavopiridol,0.003162,$k_{\phi}$,1e-07,838.1044901178617
ZR751,Flavopiridol,0.316228,$k_{S}$,0.032161259937386596,1622.4880740260096
ZR751,Flavopiridol,0.316228,$k_{G2}$,0.05575761541980951,1622.4880740260096
ZR751,Flavopiridol,0.316228,$k_{M}$,0.06712660114142091,1622.4880740260096
ZR751,Flavopiridol,0.316228,$k_{G1}$,0.6847049785674799,1622.4880740260096
ZR751,Flavopiridol,0.316228,$k_{\phi}$,1e-07,1622.4880740260096
ZR751,Flavopiridol,0.0001,$k_{S}$,0.038963290354323436,1390.109737323077
ZR751,Flavopiridol,0.0001,$k_{G2}$,0.088856658908243,1390.109737323077
ZR751,Flavopiridol,0.0001,$k_{M}$,0.15445752391567827,1390.109737323077
ZR751,Flavopiridol,0.0001,$k_{G1}$,1.7979942697738167,1390.109737323077
ZR751,Flavopiridol,0.0001,$k_{\phi}$,1e-07,1390.109737323077
