cell_line,agent,concentration,parameter,rate,obj_func
ZR751,LEE011_Ribociclib,1.0,$k_{S}$,0.02645939545951694,1221.4091911083426
ZR751,LEE011_Ribociclib,1.0,$k_{G2}$,0.08172456315744266,1221.4091911083426
ZR751,LEE011_Ribociclib,1.0,$k_{M}$,0.13342464332295773,1221.4091911083426
ZR751,LEE011_Ribociclib,1.0,$k_{G1}$,1.1854852562423241,1221.4091911083426
ZR751,LEE011_Ribociclib,1.0,$k_{\phi}$,1e-07,1221.4091911083426
ZR751,LEE011_Ribociclib,3.162278,$k_{S}$,0.020009119198756153,1844.5248960883666
ZR751,LEE011_Ribociclib,3.162278,$k_{G2}$,0.08245587851224734,1844.5248960883666
ZR751,LEE011_Ribociclib,3.162278,$k_{M}$,0.12596536146594237,1844.5248960883666
ZR751,LEE011_Ribociclib,3.162278,$k_{G1}$,1.8858813897597444,1844.5248960883666
ZR751,LEE011_Ribociclib,3.162278,$k_{\phi}$,1e-07,1844.5248960883666
ZR751,LEE011_Ribociclib,0.01,$k_{S}$,0.03388172057890542,1292.4179036274388
ZR751,LEE011_Ribociclib,0.01,$k_{G2}$,0.09463630680296005,1292.4179036274388
ZR751,LEE011_Ribociclib,0.01,$k_{M}$,0.1459517184286603,1292.4179036274388
ZR751,LEE011_Ribociclib,0.01,$k_{G1}$,1.5338791269133578,1292.4179036274388
ZR751,LEE011_Ribociclib,0.01,$k_{\phi}$,1e-07,1292.4179036274388
ZR751,LEE011_Ribociclib,0.1,$k_{S}$,0.027126376273015482,1129.9867436863756
ZR751,LEE011_Ribociclib,0.1,$k_{G2}$,0.07895670216007916,1129.9867436863756
ZR751,LEE011_Ribociclib,0.1,$k_{M}$,0.12416709942567353,1129.9867436863756
ZR751,LEE011_Ribociclib,0.1,$k_{G1}$,1.8076860093175897,1129.9867436863756
ZR751,LEE011_Ribociclib,0.1,$k_{\phi}$,1e-07,1129.9867436863756
ZR751,LEE011_Ribociclib,0.316228,$k_{S}$,0.024969661671795047,1152.4608416559377
ZR751,LEE011_Ribociclib,0.316228,$k_{G2}$,0.07149645241175107,1152.4608416559377
ZR751,LEE011_Ribociclib,0.316228,$k_{M}$,0.11327689171852165,1152.4608416559377
ZR751,LEE011_Ribociclib,0.316228,$k_{G1}$,1.1541464301813562,1152.4608416559377
ZR751,LEE011_Ribociclib,0.316228,$k_{\phi}$,1e-07,1152.4608416559377
ZR751,LEE011_Ribociclib,0.003162,$k_{S}$,0.032591610444208254,1990.592158889098
ZR751,LEE011_Ribociclib,0.003162,$k_{G2}$,0.07793720959636115,1990.592158889098
ZR751,LEE011_Ribociclib,0.003162,$k_{M}$,0.1434382231873008,1990.592158889098
ZR751,LEE011_Ribociclib,0.003162,$k_{G1}$,1.2726169228875912,1990.592158889098
ZR751,LEE011_Ribociclib,0.003162,$k_{\phi}$,1e-07,1990.592158889098
ZR751,LEE011_Ribociclib,0.001,$k_{S}$,0.035859876973533926,1931.5860727841305
ZR751,LEE011_Ribociclib,0.001,$k_{G2}$,0.08162078992638344,1931.5860727841305
ZR751,LEE011_Ribociclib,0.001,$k_{M}$,0.13626148789770107,1931.5860727841305
ZR751,LEE011_Ribociclib,0.001,$k_{G1}$,1.617294895329735,1931.5860727841305
ZR751,LEE011_Ribociclib,0.001,$k_{\phi}$,1e-07,1931.5860727841305
ZR751,LEE011_Ribociclib,10.0,$k_{S}$,0.008948700951045756,3092.8169158691844
ZR751,LEE011_Ribociclib,10.0,$k_{G2}$,0.11746520779476556,3092.8169158691844
ZR751,LEE011_Ribociclib,10.0,$k_{M}$,0.08515205706746536,3092.8169158691844
ZR751,LEE011_Ribociclib,10.0,$k_{G1}$,2.8684312827802745,3092.8169158691844
ZR751,LEE011_Ribociclib,10.0,$k_{\phi}$,1e-07,3092.8169158691844
ZR751,LEE011_Ribociclib,0.031623,$k_{S}$,0.032074373209946494,2562.022762475641
ZR751,LEE011_Ribociclib,0.031623,$k_{G2}$,0.0898994600513045,2562.022762475641
ZR751,LEE011_Ribociclib,0.031623,$k_{M}$,0.14193606131173175,2562.022762475641
ZR751,LEE011_Ribociclib,0.031623,$k_{G1}$,1.5014386124597863,2562.022762475641
ZR751,LEE011_Ribociclib,0.031623,$k_{\phi}$,1e-07,2562.022762475641
