cell_line,agent,concentration,parameter,rate,obj_func
ZR751,R0-3306,1.0,$k_{S}$,0.04164393740051789,276.1468491554594
ZR751,R0-3306,1.0,$k_{G2}$,0.0871399107966598,276.1468491554594
ZR751,R0-3306,1.0,$k_{M}$,0.14834917189987068,276.1468491554594
ZR751,R0-3306,1.0,$k_{G1}$,2.068367133989099,276.1468491554594
ZR751,R0-3306,1.0,$k_{\phi}$,1e-07,276.1468491554594
ZR751,R0-3306,0.316228,$k_{S}$,0.03945145218352528,1268.5755124806658
ZR751,R0-3306,0.316228,$k_{G2}$,0.08524689960681528,1268.5755124806658
ZR751,R0-3306,0.316228,$k_{M}$,0.14332705335826776,1268.5755124806658
ZR751,R0-3306,0.316228,$k_{G1}$,1.2791037275469672,1268.5755124806658
ZR751,R0-3306,0.316228,$k_{\phi}$,1e-07,1268.5755124806658
ZR751,R0-3306,0.003162,$k_{S}$,0.037903562174562984,1931.6332726378994
ZR751,R0-3306,0.003162,$k_{G2}$,0.08612951784299391,1931.6332726378994
ZR751,R0-3306,0.003162,$k_{M}$,0.1444420961309394,1931.6332726378994
ZR751,R0-3306,0.003162,$k_{G1}$,1.5061696323571607,1931.6332726378994
ZR751,R0-3306,0.003162,$k_{\phi}$,1e-07,1931.6332726378994
ZR751,R0-3306,0.001,$k_{S}$,0.04042646927387703,639.2994847799878
ZR751,R0-3306,0.001,$k_{G2}$,0.08702898351149517,639.2994847799878
ZR751,R0-3306,0.001,$k_{M}$,0.16242006977133022,639.2994847799878
ZR751,R0-3306,0.001,$k_{G1}$,1.544673650957663,639.2994847799878
ZR751,R0-3306,0.001,$k_{\phi}$,1e-07,639.2994847799878
ZR751,R0-3306,10.0,$k_{S}$,0.023207921372938273,452.8165060283369
ZR751,R0-3306,10.0,$k_{G2}$,0.08823946072539961,452.8165060283369
ZR751,R0-3306,10.0,$k_{M}$,0.04574671145055079,452.8165060283369
ZR751,R0-3306,10.0,$k_{G1}$,0.6543421172208669,452.8165060283369
ZR751,R0-3306,10.0,$k_{\phi}$,1e-07,452.8165060283369
ZR751,R0-3306,0.1,$k_{S}$,0.04049635589125694,762.7222480934624
ZR751,R0-3306,0.1,$k_{G2}$,0.08371033788775924,762.7222480934624
ZR751,R0-3306,0.1,$k_{M}$,0.1510877303786176,762.7222480934624
ZR751,R0-3306,0.1,$k_{G1}$,1.9832699156807958,762.7222480934624
ZR751,R0-3306,0.1,$k_{\phi}$,1e-07,762.7222480934624
ZR751,R0-3306,0.01,$k_{S}$,0.038200933773850324,1931.6000935514392
ZR751,R0-3306,0.01,$k_{G2}$,0.08232854950547783,1931.6000935514392
ZR751,R0-3306,0.01,$k_{M}$,0.13169983376016986,1931.6000935514392
ZR751,R0-3306,0.01,$k_{G1}$,1.5373917260317584,1931.6000935514392
ZR751,R0-3306,0.01,$k_{\phi}$,1e-07,1931.6000935514392
ZR751,R0-3306,3.162278,$k_{S}$,0.036862743967430715,1340.7717574179044
ZR751,R0-3306,3.162278,$k_{G2}$,0.08611631908840771,1340.7717574179044
ZR751,R0-3306,3.162278,$k_{M}$,0.1306760470757082,1340.7717574179044
ZR751,R0-3306,3.162278,$k_{G1}$,1.2462596668075179,1340.7717574179044
ZR751,R0-3306,3.162278,$k_{\phi}$,1e-07,1340.7717574179044
ZR751,R0-3306,0.031623,$k_{S}$,0.0394146023604542,1816.2183453205826
ZR751,R0-3306,0.031623,$k_{G2}$,0.08402769324847596,1816.2183453205826
ZR751,R0-3306,0.031623,$k_{M}$,0.14226980816343757,1816.2183453205826
ZR751,R0-3306,0.031623,$k_{G1}$,1.8152741693411707,1816.2183453205826
ZR751,R0-3306,0.031623,$k_{\phi}$,1e-07,1816.2183453205826
