cell_line,agent,concentration,parameter,rate,obj_func
ZR751,SY-1365,0.003162,$k_{S}$,0.015530469992283844,1041.9328336075532
ZR751,SY-1365,0.003162,$k_{G2}$,0.0585713951935775,1041.9328336075532
ZR751,SY-1365,0.003162,$k_{M}$,0.0484847261209409,1041.9328336075532
ZR751,SY-1365,0.003162,$k_{G1}$,2.4536229385348363,1041.9328336075532
ZR751,SY-1365,0.003162,$k_{\phi}$,1e-07,1041.9328336075532
ZR751,SY-1365,0.01,$k_{S}$,0.011452560364857117,1152.2366627638055
ZR751,SY-1365,0.01,$k_{G2}$,0.045603617235002204,1152.2366627638055
ZR751,SY-1365,0.01,$k_{M}$,0.028348578923383053,1152.2366627638055
ZR751,SY-1365,0.01,$k_{G1}$,1.5495958039585709,1152.2366627638055
ZR751,SY-1365,0.01,$k_{\phi}$,1e-07,1152.2366627638055
ZR751,SY-1365,0.0001,$k_{S}$,0.042045409280554884,2080.9688952912493
ZR751,SY-1365,0.0001,$k_{G2}$,0.0883256230671641,2080.9688952912493
ZR751,SY-1365,0.0001,$k_{M}$,0.15004979434561766,2080.9688952912493
ZR751,SY-1365,0.0001,$k_{G1}$,1.3213676929656561,2080.9688952912493
ZR751,SY-1365,0.0001,$k_{\phi}$,1e-07,2080.9688952912493
ZR751,SY-1365,1e-05,$k_{S}$,0.03865179373429027,2080.9398859402554
ZR751,SY-1365,1e-05,$k_{G2}$,0.08548065940424747,2080.9398859402554
ZR751,SY-1365,1e-05,$k_{M}$,0.1573570956068955,2080.9398859402554
ZR751,SY-1365,1e-05,$k_{G1}$,1.4938563142105925,2080.9398859402554
ZR751,SY-1365,1e-05,$k_{\phi}$,1e-07,2080.9398859402554
ZR751,SY-1365,0.031623,$k_{S}$,0.0059175509046774785,1490.7729468131492
ZR751,SY-1365,0.031623,$k_{G2}$,0.03205252224830942,1490.7729468131492
ZR751,SY-1365,0.031623,$k_{M}$,0.01719984851497215,1490.7729468131492
ZR751,SY-1365,0.031623,$k_{G1}$,0.7943860062011886,1490.7729468131492
ZR751,SY-1365,0.031623,$k_{\phi}$,1e-07,1490.7729468131492
ZR751,SY-1365,0.1,$k_{S}$,1e-07,5096.103407426407
ZR751,SY-1365,0.1,$k_{G2}$,0.011993193729261843,5096.103407426407
ZR751,SY-1365,0.1,$k_{M}$,0.00375220131788187,5096.103407426407
ZR751,SY-1365,0.1,$k_{G1}$,0.018798100221115378,5096.103407426407
ZR751,SY-1365,0.1,$k_{\phi}$,1e-07,5096.103407426407
ZR751,SY-1365,0.000316,$k_{S}$,0.03761032276483393,1465.6128212718072
ZR751,SY-1365,0.000316,$k_{G2}$,0.07688999810001557,1465.6128212718072
ZR751,SY-1365,0.000316,$k_{M}$,0.14353689664705094,1465.6128212718072
ZR751,SY-1365,0.000316,$k_{G1}$,1.933807282564412,1465.6128212718072
ZR751,SY-1365,0.000316,$k_{\phi}$,1e-07,1465.6128212718072
ZR751,SY-1365,0.001,$k_{S}$,0.01791646024181432,1465.3188279971976
ZR751,SY-1365,0.001,$k_{G2}$,0.060420478399517266,1465.3188279971976
ZR751,SY-1365,0.001,$k_{M}$,0.06363341064729772,1465.3188279971976
ZR751,SY-1365,0.001,$k_{G1}$,1.043370842821564,1465.3188279971976
ZR751,SY-1365,0.001,$k_{\phi}$,1e-07,1465.3188279971976
ZR751,SY-1365,3.2e-05,$k_{S}$,0.04451820480815497,1732.0953854901406
ZR751,SY-1365,3.2e-05,$k_{G2}$,0.0922470065844558,1732.0953854901406
ZR751,SY-1365,3.2e-05,$k_{M}$,0.16385469613516762,1732.0953854901406
ZR751,SY-1365,3.2e-05,$k_{G1}$,1.4636192359390272,1732.0953854901406
ZR751,SY-1365,3.2e-05,$k_{\phi}$,1e-07,1732.0953854901406
