cell_line,agent,concentration,parameter,rate,obj_func
ZR7530,Abemaciclib_LY2835219,10.0,$k_{S}$,1e-07,406.9212223295176
ZR7530,Abemaciclib_LY2835219,10.0,$k_{G2}$,0.037693223109329516,406.9212223295176
ZR7530,Abemaciclib_LY2835219,10.0,$k_{M}$,0.012544409218641646,406.9212223295176
ZR7530,Abemaciclib_LY2835219,10.0,$k_{G1}$,0.1380052092621156,406.9212223295176
ZR7530,Abemaciclib_LY2835219,10.0,$k_{\phi}$,1e-07,406.9212223295176
ZR7530,Abemaciclib_LY2835219,3.1623,$k_{S}$,0.001504387396578717,0.0002185808121908792
ZR7530,Abemaciclib_LY2835219,3.1623,$k_{G2}$,94.88290580965752,0.0002185808121908792
ZR7530,Abemaciclib_LY2835219,3.1623,$k_{M}$,0.011594355076458163,0.0002185808121908792
ZR7530,Abemaciclib_LY2835219,3.1623,$k_{G1}$,0.6018653496746121,0.0002185808121908792
ZR7530,Abemaciclib_LY2835219,3.1623,$k_{\phi}$,8.893287432407959e-05,0.0002185808121908792
ZR7530,Abemaciclib_LY2835219,1.0,$k_{S}$,0.002119843290419281,1.3845011259384636e-08
ZR7530,Abemaciclib_LY2835219,1.0,$k_{G2}$,8.294737034265749,1.3845011259384636e-08
ZR7530,Abemaciclib_LY2835219,1.0,$k_{M}$,0.018019033351186646,1.3845011259384636e-08
ZR7530,Abemaciclib_LY2835219,1.0,$k_{G1}$,2.507808011974681,1.3845011259384636e-08
ZR7530,Abemaciclib_LY2835219,1.0,$k_{\phi}$,0.0006876164536112495,1.3845011259384636e-08
ZR7530,Abemaciclib_LY2835219,0.31623,$k_{S}$,0.002071152235344843,1.0253542113461775e-10
ZR7530,Abemaciclib_LY2835219,0.31623,$k_{G2}$,0.18880332492987756,1.0253542113461775e-10
ZR7530,Abemaciclib_LY2835219,0.31623,$k_{M}$,0.01678794612604672,1.0253542113461775e-10
ZR7530,Abemaciclib_LY2835219,0.31623,$k_{G1}$,0.6204217801356351,1.0253542113461775e-10
ZR7530,Abemaciclib_LY2835219,0.31623,$k_{\phi}$,0.00019747866472369106,1.0253542113461775e-10
ZR7530,Abemaciclib_LY2835219,0.1,$k_{S}$,0.0030670003486938506,1.7619949162904177e-10
ZR7530,Abemaciclib_LY2835219,0.1,$k_{G2}$,0.08873885944380674,1.7619949162904177e-10
ZR7530,Abemaciclib_LY2835219,0.1,$k_{M}$,0.022038698437534785,1.7619949162904177e-10
ZR7530,Abemaciclib_LY2835219,0.1,$k_{G1}$,0.7704202898001052,1.7619949162904177e-10
ZR7530,Abemaciclib_LY2835219,0.1,$k_{\phi}$,0.0006778625218707974,1.7619949162904177e-10
ZR7530,Abemaciclib_LY2835219,0.031623,$k_{S}$,0.007086442065632701,7.622350682748019e-11
ZR7530,Abemaciclib_LY2835219,0.031623,$k_{G2}$,0.08870414134036747,7.622350682748019e-11
ZR7530,Abemaciclib_LY2835219,0.031623,$k_{M}$,0.036035952265263405,7.622350682748019e-11
ZR7530,Abemaciclib_LY2835219,0.031623,$k_{G1}$,0.7761841538121764,7.622350682748019e-11
ZR7530,Abemaciclib_LY2835219,0.031623,$k_{\phi}$,0.0012567724955746002,7.622350682748019e-11
ZR7530,Abemaciclib_LY2835219,0.01,$k_{S}$,0.0669514465141828,1.3109097103117107e-07
ZR7530,Abemaciclib_LY2835219,0.01,$k_{G2}$,0.6244583713145487,1.3109097103117107e-07
ZR7530,Abemaciclib_LY2835219,0.01,$k_{M}$,0.30933418283686664,1.3109097103117107e-07
ZR7530,Abemaciclib_LY2835219,0.01,$k_{G1}$,17.745308313038144,1.3109097103117107e-07
ZR7530,Abemaciclib_LY2835219,0.01,$k_{\phi}$,0.03715987518733357,1.3109097103117107e-07
ZR7530,Abemaciclib_LY2835219,0.003162,$k_{S}$,0.013438973785635489,84.78045032408032
ZR7530,Abemaciclib_LY2835219,0.003162,$k_{G2}$,0.07353872285221717,84.78045032408032
ZR7530,Abemaciclib_LY2835219,0.003162,$k_{M}$,0.050168209706948345,84.78045032408032
ZR7530,Abemaciclib_LY2835219,0.003162,$k_{G1}$,1.7536815541860662,84.78045032408032
ZR7530,Abemaciclib_LY2835219,0.003162,$k_{\phi}$,1e-07,84.78045032408032
ZR7530,Abemaciclib_LY2835219,0.001,$k_{S}$,0.013645280465291669,35.4937808988224
ZR7530,Abemaciclib_LY2835219,0.001,$k_{G2}$,0.0818580919294553,35.4937808988224
ZR7530,Abemaciclib_LY2835219,0.001,$k_{M}$,0.047603413495561096,35.4937808988224
ZR7530,Abemaciclib_LY2835219,0.001,$k_{G1}$,2.5152940688532825,35.4937808988224
ZR7530,Abemaciclib_LY2835219,0.001,$k_{\phi}$,1e-07,35.4937808988224
