cell_line,agent,concentration,parameter,rate,obj_func
ZR7530,MFH-2-90,0.1,$k_{S}$,0.003984325542676497,54135.31503355798
ZR7530,MFH-2-90,0.1,$k_{G2}$,0.020335719149719444,54135.31503355798
ZR7530,MFH-2-90,0.1,$k_{M}$,0.009581808053118321,54135.31503355798
ZR7530,MFH-2-90,0.1,$k_{G1}$,1e-07,54135.31503355798
ZR7530,MFH-2-90,0.1,$k_{\phi}$,0.00121481911032289,54135.31503355798
ZR7530,MFH-2-90,3.2e-05,$k_{S}$,0.015982064002073845,1037.34741706263
ZR7530,MFH-2-90,3.2e-05,$k_{G2}$,0.07325814491574445,1037.34741706263
ZR7530,MFH-2-90,3.2e-05,$k_{M}$,0.05325377775192339,1037.34741706263
ZR7530,MFH-2-90,3.2e-05,$k_{G1}$,2.2485850023124634,1037.34741706263
ZR7530,MFH-2-90,3.2e-05,$k_{\phi}$,1e-07,1037.34741706263
ZR7530,MFH-2-90,0.01,$k_{S}$,0.013731832742465824,2938.4455771658013
ZR7530,MFH-2-90,0.01,$k_{G2}$,0.06127285091838989,2938.4455771658013
ZR7530,MFH-2-90,0.01,$k_{M}$,0.04496683049911633,2938.4455771658013
ZR7530,MFH-2-90,0.01,$k_{G1}$,2.525804983518568,2938.4455771658013
ZR7530,MFH-2-90,0.01,$k_{\phi}$,1e-07,2938.4455771658013
ZR7530,MFH-2-90,0.031623,$k_{S}$,0.010538201287031082,1866.8507578791273
ZR7530,MFH-2-90,0.031623,$k_{G2}$,0.06340489144001028,1866.8507578791273
ZR7530,MFH-2-90,0.031623,$k_{M}$,0.03621054563183102,1866.8507578791273
ZR7530,MFH-2-90,0.031623,$k_{G1}$,2.848764078436338,1866.8507578791273
ZR7530,MFH-2-90,0.031623,$k_{\phi}$,1e-07,1866.8507578791273
ZR7530,MFH-2-90,0.003162,$k_{S}$,0.014764924073002087,1.464630968616749e-10
ZR7530,MFH-2-90,0.003162,$k_{G2}$,0.07347859103376944,1.464630968616749e-10
ZR7530,MFH-2-90,0.003162,$k_{M}$,0.04653780452287649,1.464630968616749e-10
ZR7530,MFH-2-90,0.003162,$k_{G1}$,3.668551394291136,1.464630968616749e-10
ZR7530,MFH-2-90,0.003162,$k_{\phi}$,0.00012677718326167513,1.464630968616749e-10
ZR7530,MFH-2-90,1e-05,$k_{S}$,0.014370289941732827,1616.6532181616471
ZR7530,MFH-2-90,1e-05,$k_{G2}$,0.07756641086902154,1616.6532181616471
ZR7530,MFH-2-90,1e-05,$k_{M}$,0.04464182363819569,1616.6532181616471
ZR7530,MFH-2-90,1e-05,$k_{G1}$,6.3316947932359025,1616.6532181616471
ZR7530,MFH-2-90,1e-05,$k_{\phi}$,1e-07,1616.6532181616471
ZR7530,MFH-2-90,0.001,$k_{S}$,0.01482118986562944,17.70552057348141
ZR7530,MFH-2-90,0.001,$k_{G2}$,0.07613635121872327,17.70552057348141
ZR7530,MFH-2-90,0.001,$k_{M}$,0.05141924438450558,17.70552057348141
ZR7530,MFH-2-90,0.001,$k_{G1}$,2.737618951376288,17.70552057348141
ZR7530,MFH-2-90,0.001,$k_{\phi}$,1e-07,17.70552057348141
ZR7530,MFH-2-90,0.0001,$k_{S}$,0.01681275829028466,660.8989479146708
ZR7530,MFH-2-90,0.0001,$k_{G2}$,0.0745042428658964,660.8989479146708
ZR7530,MFH-2-90,0.0001,$k_{M}$,0.05307693731103231,660.8989479146708
ZR7530,MFH-2-90,0.0001,$k_{G1}$,3.074929186658531,660.8989479146708
ZR7530,MFH-2-90,0.0001,$k_{\phi}$,1e-07,660.8989479146708
ZR7530,MFH-2-90,0.000316,$k_{S}$,0.015316707205046664,161.48794943246304
ZR7530,MFH-2-90,0.000316,$k_{G2}$,0.08617021383146643,161.48794943246304
ZR7530,MFH-2-90,0.000316,$k_{M}$,0.047447250061274655,161.48794943246304
ZR7530,MFH-2-90,0.000316,$k_{G1}$,1.747253334042288,161.48794943246304
ZR7530,MFH-2-90,0.000316,$k_{\phi}$,1e-07,161.48794943246304
