cell_line,agent,concentration,parameter,rate,obj_func
ZR7530,THZ1,0.000316,$k_{S}$,0.01690585404068979,59.416005049914624
ZR7530,THZ1,0.000316,$k_{G2}$,0.08767481298911724,59.416005049914624
ZR7530,THZ1,0.000316,$k_{M}$,0.057001839831358224,59.416005049914624
ZR7530,THZ1,0.000316,$k_{G1}$,2.5777388866504083,59.416005049914624
ZR7530,THZ1,0.000316,$k_{\phi}$,1e-07,59.416005049914624
ZR7530,THZ1,0.001,$k_{S}$,0.015421850312271567,313.57158637295197
ZR7530,THZ1,0.001,$k_{G2}$,0.0755237190768811,313.57158637295197
ZR7530,THZ1,0.001,$k_{M}$,0.05667999980938646,313.57158637295197
ZR7530,THZ1,0.001,$k_{G1}$,3.2788895661408763,313.57158637295197
ZR7530,THZ1,0.001,$k_{\phi}$,1e-07,313.57158637295197
ZR7530,THZ1,1.0,$k_{S}$,0.004644848345254669,57301.90946906643
ZR7530,THZ1,1.0,$k_{G2}$,0.02126196395382047,57301.90946906643
ZR7530,THZ1,1.0,$k_{M}$,0.009476160128299483,57301.90946906643
ZR7530,THZ1,1.0,$k_{G1}$,1e-07,57301.90946906643
ZR7530,THZ1,1.0,$k_{\phi}$,0.0017263998901973071,57301.90946906643
ZR7530,THZ1,0.003162,$k_{S}$,0.014563103177427912,2181.581022705683
ZR7530,THZ1,0.003162,$k_{G2}$,0.06481419599803798,2181.581022705683
ZR7530,THZ1,0.003162,$k_{M}$,0.0404636256651878,2181.581022705683
ZR7530,THZ1,0.003162,$k_{G1}$,2.5687207659607747,2181.581022705683
ZR7530,THZ1,0.003162,$k_{\phi}$,1e-07,2181.581022705683
ZR7530,THZ1,0.0001,$k_{S}$,0.01340305523097871,296.09821888486465
ZR7530,THZ1,0.0001,$k_{G2}$,0.06925069633202699,296.09821888486465
ZR7530,THZ1,0.0001,$k_{M}$,0.046585263830592576,296.09821888486465
ZR7530,THZ1,0.0001,$k_{G1}$,1.5547810296474147,296.09821888486465
ZR7530,THZ1,0.0001,$k_{\phi}$,1e-07,296.09821888486465
ZR7530,THZ1,0.316228,$k_{S}$,0.004662259409469781,48760.94282378241
ZR7530,THZ1,0.316228,$k_{G2}$,0.02474073976451952,48760.94282378241
ZR7530,THZ1,0.316228,$k_{M}$,0.008205912128672607,48760.94282378241
ZR7530,THZ1,0.316228,$k_{G1}$,1e-07,48760.94282378241
ZR7530,THZ1,0.316228,$k_{\phi}$,0.0010890118732413483,48760.94282378241
ZR7530,THZ1,0.1,$k_{S}$,0.0043562547714489945,42645.53111685957
ZR7530,THZ1,0.1,$k_{G2}$,0.02595637902915305,42645.53111685957
ZR7530,THZ1,0.1,$k_{M}$,0.006703610092429052,42645.53111685957
ZR7530,THZ1,0.1,$k_{G1}$,1e-07,42645.53111685957
ZR7530,THZ1,0.1,$k_{\phi}$,0.0008045374811779587,42645.53111685957
ZR7530,THZ1,0.01,$k_{S}$,0.016219327813393098,368.93052157214817
ZR7530,THZ1,0.01,$k_{G2}$,0.07036316352158332,368.93052157214817
ZR7530,THZ1,0.01,$k_{M}$,0.04141133676808262,368.93052157214817
ZR7530,THZ1,0.01,$k_{G1}$,2.6049654276254333,368.93052157214817
ZR7530,THZ1,0.01,$k_{\phi}$,1e-07,368.93052157214817
ZR7530,THZ1,0.031623,$k_{S}$,0.005966875768782377,51.92681786430292
ZR7530,THZ1,0.031623,$k_{G2}$,0.03504166479813455,51.92681786430292
ZR7530,THZ1,0.031623,$k_{M}$,0.013616979630261606,51.92681786430292
ZR7530,THZ1,0.031623,$k_{G1}$,0.30490167558232795,51.92681786430292
ZR7530,THZ1,0.031623,$k_{\phi}$,1e-07,51.92681786430292
