cell_line,agent,concentration,parameter,rate,obj_func
AU565,AZD2014,1.0,$k_{S}$,1e-07,730.8892287161902
AU565,AZD2014,1.0,$k_{G2}$,0.018351643251005086,730.8892287161902
AU565,AZD2014,1.0,$k_{M}$$k_{G1}$,0.017062149807653172,730.8892287161902
AU565,AZD2014,1.0,$k_{\phi}$,0.09858597719252347,730.8892287161902
AU565,AZD2014,1.0,$k_{S}$,1e-07,1564.9283189063317
AU565,AZD2014,1.0,$k_{G2}$,0.019643226787659496,1564.9283189063317
AU565,AZD2014,1.0,$k_{M}$$k_{G1}$,0.018585229365711164,1564.9283189063317
AU565,AZD2014,1.0,$k_{\phi}$,0.08037380332032018,1564.9283189063317
AU565,AZD2014,1.0,$k_{S}$,1e-07,1950.5088147320737
AU565,AZD2014,1.0,$k_{G2}$,0.02441956108377705,1950.5088147320737
AU565,AZD2014,1.0,$k_{M}$$k_{G1}$,0.019389422112981274,1950.5088147320737
AU565,AZD2014,1.0,$k_{\phi}$,0.0857043761894998,1950.5088147320737
AU565,AZD2014,10.0,$k_{S}$,1e-07,8566.814790709424
AU565,AZD2014,10.0,$k_{G2}$,0.014107348191218654,8566.814790709424
AU565,AZD2014,10.0,$k_{M}$$k_{G1}$,0.02107469855371657,8566.814790709424
AU565,AZD2014,10.0,$k_{\phi}$,0.03428749655770472,8566.814790709424
AU565,AZD2014,10.0,$k_{S}$,1e-07,1611.5090432476277
AU565,AZD2014,10.0,$k_{G2}$,0.016237164170878893,1611.5090432476277
AU565,AZD2014,10.0,$k_{M}$$k_{G1}$,0.02193987946588642,1611.5090432476277
AU565,AZD2014,10.0,$k_{\phi}$,0.06947439911341001,1611.5090432476277
AU565,AZD2014,10.0,$k_{S}$,1e-07,6731.899668823107
AU565,AZD2014,10.0,$k_{G2}$,0.017530105780543405,6731.899668823107
AU565,AZD2014,10.0,$k_{M}$$k_{G1}$,0.019857070594906486,6731.899668823107
AU565,AZD2014,10.0,$k_{\phi}$,0.041382371959373186,6731.899668823107
AU565,AZD2014,0.1,$k_{S}$,0.0008191761760881155,1.0192811905117103e-10
AU565,AZD2014,0.1,$k_{G2}$,0.018119193330702645,1.0192811905117103e-10
AU565,AZD2014,0.1,$k_{M}$$k_{G1}$,0.01766583122064857,1.0192811905117103e-10
AU565,AZD2014,0.1,$k_{\phi}$,0.4598760166635632,1.0192811905117103e-10
AU565,AZD2014,0.1,$k_{S}$,0.0008308897684138808,2.7381030432301096e-11
AU565,AZD2014,0.1,$k_{G2}$,0.019974899070139048,2.7381030432301096e-11
AU565,AZD2014,0.1,$k_{M}$$k_{G1}$,0.024257765430045923,2.7381030432301096e-11
AU565,AZD2014,0.1,$k_{\phi}$,0.44959750869537574,2.7381030432301096e-11
AU565,AZD2014,0.1,$k_{S}$,1.1115211115566503e-06,6.164356202487816e-11
AU565,AZD2014,0.1,$k_{G2}$,0.01687840273781612,6.164356202487816e-11
AU565,AZD2014,0.1,$k_{M}$$k_{G1}$,0.02133399866968249,6.164356202487816e-11
AU565,AZD2014,0.1,$k_{\phi}$,0.24569256090710903,6.164356202487816e-11
AU565,AZD2014,0.003162,$k_{S}$,0.010687041869895091,5.4015611419841864e-11
AU565,AZD2014,0.003162,$k_{G2}$,0.036609623252019705,5.4015611419841864e-11
AU565,AZD2014,0.003162,$k_{M}$$k_{G1}$,0.06404974908822905,5.4015611419841864e-11
AU565,AZD2014,0.003162,$k_{\phi}$,0.3828283223474615,5.4015611419841864e-11
AU565,AZD2014,0.003162,$k_{S}$,0.011497033071525001,1.1113117204205589e-10
AU565,AZD2014,0.003162,$k_{G2}$,0.041998516429258115,1.1113117204205589e-10
AU565,AZD2014,0.003162,$k_{M}$$k_{G1}$,0.053505292122775494,1.1113117204205589e-10
AU565,AZD2014,0.003162,$k_{\phi}$,0.46073659696719627,1.1113117204205589e-10
AU565,AZD2014,0.003162,$k_{S}$,0.016832823323656407,1.5952481122265471e-10
AU565,AZD2014,0.003162,$k_{G2}$,0.05723951617211049,1.5952481122265471e-10
AU565,AZD2014,0.003162,$k_{M}$$k_{G1}$,0.08339140843523886,1.5952481122265471e-10
AU565,AZD2014,0.003162,$k_{\phi}$,0.8052913074204318,1.5952481122265471e-10
AU565,AZD2014,0.031623,$k_{S}$,1e-07,38.126275361195944
AU565,AZD2014,0.031623,$k_{G2}$,0.01293688901271603,38.126275361195944
AU565,AZD2014,0.031623,$k_{M}$$k_{G1}$,0.013890521827940762,38.126275361195944
AU565,AZD2014,0.031623,$k_{\phi}$,0.2208093027327197,38.126275361195944
AU565,AZD2014,0.031623,$k_{S}$,0.005840656534461449,1.1518186715347365e-10
AU565,AZD2014,0.031623,$k_{G2}$,0.041288097012791444,1.1518186715347365e-10
AU565,AZD2014,0.031623,$k_{M}$$k_{G1}$,0.03699433812753801,1.1518186715347365e-10
AU565,AZD2014,0.031623,$k_{\phi}$,0.8959057663677068,1.1518186715347365e-10
AU565,AZD2014,0.031623,$k_{S}$,0.0027632461744281148,3.4050299082625914e-11
AU565,AZD2014,0.031623,$k_{G2}$,0.029273537395254404,3.4050299082625914e-11
AU565,AZD2014,0.031623,$k_{M}$$k_{G1}$,0.023419310687298155,3.4050299082625914e-11
AU565,AZD2014,0.031623,$k_{\phi}$,0.26246116553700155,3.4050299082625914e-11
AU565,AZD2014,0.01,$k_{S}$,0.006202002402895193,2.3630946347624336e-11
