cell_line,agent,concentration,parameter,rate,obj_func
AU565,BMS-265246,3.162278,$k_{S}$,0.006949815744192019,2.0281322377622836e-10
AU565,BMS-265246,3.162278,$k_{G2}$,0.022129719198813014,2.0281322377622836e-10
AU565,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.009843643181640585,2.0281322377622836e-10
AU565,BMS-265246,3.162278,$k_{\phi}$,0.10968657411467457,2.0281322377622836e-10
AU565,BMS-265246,3.162278,$k_{S}$,0.0035780965661154677,820.434249693527
AU565,BMS-265246,3.162278,$k_{G2}$,0.02334300025276701,820.434249693527
AU565,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.0020330402896528363,820.434249693527
AU565,BMS-265246,3.162278,$k_{\phi}$,1e-07,820.434249693527
AU565,BMS-265246,3.162278,$k_{S}$,0.005209031298825797,8164.700399255559
AU565,BMS-265246,3.162278,$k_{G2}$,0.022761614847254287,8164.700399255559
AU565,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.0034977683971578965,8164.700399255559
AU565,BMS-265246,3.162278,$k_{\phi}$,1e-07,8164.700399255559
AU565,BMS-265246,0.316228,$k_{S}$,0.015179108175531133,1.0595199842978249e-10
AU565,BMS-265246,0.316228,$k_{G2}$,0.03992854787609789,1.0595199842978249e-10
AU565,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.03327871920559558,1.0595199842978249e-10
AU565,BMS-265246,0.316228,$k_{\phi}$,0.3200607925024448,1.0595199842978249e-10
AU565,BMS-265246,0.316228,$k_{S}$,0.022610968456482347,1.8947442660802917e-10
AU565,BMS-265246,0.316228,$k_{G2}$,0.05675882061633628,1.8947442660802917e-10
AU565,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.04839925223978013,1.8947442660802917e-10
AU565,BMS-265246,0.316228,$k_{\phi}$,0.5611092717771891,1.8947442660802917e-10
AU565,BMS-265246,0.316228,$k_{S}$,0.014739627931026207,2.8396060651713556e-10
AU565,BMS-265246,0.316228,$k_{G2}$,0.038535757355083966,2.8396060651713556e-10
AU565,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.025601764844957277,2.8396060651713556e-10
AU565,BMS-265246,0.316228,$k_{\phi}$,0.5905735561184595,2.8396060651713556e-10
AU565,BMS-265246,10.0,$k_{S}$,0.007353657345037947,16479.348223144272
AU565,BMS-265246,10.0,$k_{G2}$,0.028125097322774132,16479.348223144272
AU565,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.004777068738182605,16479.348223144272
AU565,BMS-265246,10.0,$k_{\phi}$,1e-07,16479.348223144272
AU565,BMS-265246,10.0,$k_{S}$,0.010281251560095909,9950.105331751078
AU565,BMS-265246,10.0,$k_{G2}$,0.016262297163506568,9950.105331751078
AU565,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.003991163455966052,9950.105331751078
AU565,BMS-265246,10.0,$k_{\phi}$,1e-07,9950.105331751078
AU565,BMS-265246,10.0,$k_{S}$,0.008570774916196877,15910.24780691617
AU565,BMS-265246,10.0,$k_{G2}$,0.024411311712640528,15910.24780691617
AU565,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.004026437200653601,15910.24780691617
AU565,BMS-265246,10.0,$k_{\phi}$,1e-07,15910.24780691617
AU565,BMS-265246,0.1,$k_{S}$,0.01627714819903008,1.7515609594237952e-10
AU565,BMS-265246,0.1,$k_{G2}$,0.030429172487846098,1.7515609594237952e-10
AU565,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.031116091306248227,1.7515609594237952e-10
AU565,BMS-265246,0.1,$k_{\phi}$,0.32028890238484986,1.7515609594237952e-10
AU565,BMS-265246,0.1,$k_{S}$,0.01882970807444493,7.339245524244428e-11
AU565,BMS-265246,0.1,$k_{G2}$,0.04375865499730265,7.339245524244428e-11
AU565,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.052077932921909015,7.339245524244428e-11
AU565,BMS-265246,0.1,$k_{\phi}$,0.29718868390838793,7.339245524244428e-11
AU565,BMS-265246,0.1,$k_{S}$,0.02739689900595818,2.5372033565540893e-10
AU565,BMS-265246,0.1,$k_{G2}$,0.05475633434032402,2.5372033565540893e-10
AU565,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.0578922578490683,2.5372033565540893e-10
AU565,BMS-265246,0.1,$k_{\phi}$,0.5220949845651478,2.5372033565540893e-10
AU565,BMS-265246,1.0,$k_{S}$,0.01698636383091306,1.3859126200258846e-10
AU565,BMS-265246,1.0,$k_{G2}$,0.038365176656650186,1.3859126200258846e-10
AU565,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.03790441721262187,1.3859126200258846e-10
AU565,BMS-265246,1.0,$k_{\phi}$,0.5267696869218645,1.3859126200258846e-10
AU565,BMS-265246,1.0,$k_{S}$,0.01353997816148754,6.359481695213899e-11
AU565,BMS-265246,1.0,$k_{G2}$,0.04232435318994788,6.359481695213899e-11
AU565,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.028129389198987043,6.359481695213899e-11
