cell_line,agent,concentration,parameter,rate,obj_func
AU565,BSJ-03-123,0.1,$k_{S}$,0.03078975251614908,3.746744774274972e-10
AU565,BSJ-03-123,0.1,$k_{G2}$,0.05966504987951742,3.746744774274972e-10
AU565,BSJ-03-123,0.1,$k_{M}$$k_{G1}$,0.09593240928552821,3.746744774274972e-10
AU565,BSJ-03-123,0.1,$k_{\phi}$,0.9241246530015702,3.746744774274972e-10
AU565,BSJ-03-123,0.1,$k_{S}$,0.03179887085679758,2.1073765444023877e-10
AU565,BSJ-03-123,0.1,$k_{G2}$,0.042098255951674865,2.1073765444023877e-10
AU565,BSJ-03-123,0.1,$k_{M}$$k_{G1}$,0.10878301117219674,2.1073765444023877e-10
AU565,BSJ-03-123,0.1,$k_{\phi}$,0.5754879064473372,2.1073765444023877e-10
AU565,BSJ-03-123,0.1,$k_{S}$,0.030931823721663244,1.250178209717293e-10
AU565,BSJ-03-123,0.1,$k_{G2}$,0.04137016093355247,1.250178209717293e-10
AU565,BSJ-03-123,0.1,$k_{M}$$k_{G1}$,0.10328965612340342,1.250178209717293e-10
AU565,BSJ-03-123,0.1,$k_{\phi}$,1.3859990741740962,1.250178209717293e-10
AU565,BSJ-03-123,1.0,$k_{S}$,0.019522963020719816,9.594143418457142e-11
AU565,BSJ-03-123,1.0,$k_{G2}$,0.038182996318642276,9.594143418457142e-11
AU565,BSJ-03-123,1.0,$k_{M}$$k_{G1}$,0.08297252179836997,9.594143418457142e-11
AU565,BSJ-03-123,1.0,$k_{\phi}$,0.9230275926186143,9.594143418457142e-11
AU565,BSJ-03-123,1.0,$k_{S}$,0.01249520652640993,1.6807431133101564e-10
AU565,BSJ-03-123,1.0,$k_{G2}$,0.028234663040861707,1.6807431133101564e-10
AU565,BSJ-03-123,1.0,$k_{M}$$k_{G1}$,0.04340468777923426,1.6807431133101564e-10
AU565,BSJ-03-123,1.0,$k_{\phi}$,0.5376461696891977,1.6807431133101564e-10
AU565,BSJ-03-123,1.0,$k_{S}$,0.00976647659997254,1.2248934560378804e-10
