cell_line,agent,concentration,parameter,rate,obj_func
AU565,CDK1_2iIII,0.1,$k_{S}$,0.008498472667466207,13317.79600885862
AU565,CDK1_2iIII,0.1,$k_{G2}$,0.023176113976645877,13317.79600885862
AU565,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.0078105919976480045,13317.79600885862
AU565,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,13317.79600885862
AU565,CDK1_2iIII,0.1,$k_{S}$,0.00877928731250937,9509.016705067246
AU565,CDK1_2iIII,0.1,$k_{G2}$,0.021614171195746115,9509.016705067246
AU565,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.006244707846374527,9509.016705067246
AU565,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,9509.016705067246
AU565,CDK1_2iIII,0.1,$k_{S}$,0.007661519281122677,2601.402757020572
AU565,CDK1_2iIII,0.1,$k_{G2}$,0.02199071868247622,2601.402757020572
AU565,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.004792427505253283,2601.402757020572
AU565,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,2601.402757020572
AU565,CDK1_2iIII,0.1,$k_{S}$,0.007461692290441877,8164.7040356829275
AU565,CDK1_2iIII,0.1,$k_{G2}$,0.020198433468591293,8164.7040356829275
AU565,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.005151132810720582,8164.7040356829275
AU565,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,8164.7040356829275
AU565,CDK1_2iIII,0.1,$k_{S}$,0.011575640692845566,16023.27811134668
AU565,CDK1_2iIII,0.1,$k_{G2}$,0.014460007860659563,16023.27811134668
AU565,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.0077965826465644815,16023.27811134668
AU565,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,16023.27811134668
AU565,CDK1_2iIII,0.1,$k_{S}$,0.008575549201549074,5783.2822058145075
AU565,CDK1_2iIII,0.1,$k_{G2}$,0.025796256973522044,5783.2822058145075
AU565,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.003375080323819134,5783.2822058145075
AU565,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,5783.2822058145075
