cell_line,agent,concentration,parameter,rate,obj_func
AU565,LEE011_Ribociclib,10.0,$k_{S}$,0.0011989027758000479,5.980427495609335e-11
AU565,LEE011_Ribociclib,10.0,$k_{G2}$,0.011077539535220185,5.980427495609335e-11
AU565,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.02828756665684681,5.980427495609335e-11
AU565,LEE011_Ribociclib,10.0,$k_{\phi}$,0.8825327714820803,5.980427495609335e-11
AU565,LEE011_Ribociclib,10.0,$k_{S}$,0.003390564738118136,2.9723707263652055e-11
AU565,LEE011_Ribociclib,10.0,$k_{G2}$,0.036041625812825384,2.9723707263652055e-11
AU565,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.029561579978597506,2.9723707263652055e-11
AU565,LEE011_Ribociclib,10.0,$k_{\phi}$,3.3157182604781577,2.9723707263652055e-11
AU565,LEE011_Ribociclib,10.0,$k_{S}$,0.00011137132521337438,6.638173944360609e-11
AU565,LEE011_Ribociclib,10.0,$k_{G2}$,0.014864251161766671,6.638173944360609e-11
AU565,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.027685728242547954,6.638173944360609e-11
AU565,LEE011_Ribociclib,10.0,$k_{\phi}$,0.3753808719202067,6.638173944360609e-11
AU565,LEE011_Ribociclib,1.0,$k_{S}$,0.01616700803672433,1.1896832565279198e-10
AU565,LEE011_Ribociclib,1.0,$k_{G2}$,0.05113902358890267,1.1896832565279198e-10
AU565,LEE011_Ribociclib,1.0,$k_{M}$$k_{G1}$,0.06412005016963936,1.1896832565279198e-10
AU565,LEE011_Ribociclib,1.0,$k_{\phi}$,3.7749834627112193,1.1896832565279198e-10
AU565,LEE011_Ribociclib,1.0,$k_{S}$,0.01439054291625349,8.709128086157855e-11
AU565,LEE011_Ribociclib,1.0,$k_{G2}$,0.042449766553424084,8.709128086157855e-11
AU565,LEE011_Ribociclib,1.0,$k_{M}$$k_{G1}$,0.05978921835501457,8.709128086157855e-11
AU565,LEE011_Ribociclib,1.0,$k_{\phi}$,0.638097148051709,8.709128086157855e-11
AU565,LEE011_Ribociclib,1.0,$k_{S}$,0.01068395965358613,8.445658383567105e-11
AU565,LEE011_Ribociclib,1.0,$k_{G2}$,0.036915439193662025,8.445658383567105e-11
AU565,LEE011_Ribociclib,1.0,$k_{M}$$k_{G1}$,0.056088574346396615,8.445658383567105e-11
AU565,LEE011_Ribociclib,1.0,$k_{\phi}$,0.4628196926541887,8.445658383567105e-11
AU565,LEE011_Ribociclib,3.162278,$k_{S}$,0.0063561018289112784,4.852250356465491e-11
AU565,LEE011_Ribociclib,3.162278,$k_{G2}$,0.03268707655031177,4.852250356465491e-11
AU565,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.03962619397761404,4.852250356465491e-11
AU565,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.24017518970599436,4.852250356465491e-11
AU565,LEE011_Ribociclib,3.162278,$k_{S}$,0.012234708873745708,2.5711641422629896e-07
AU565,LEE011_Ribociclib,3.162278,$k_{G2}$,0.06045802713993463,2.5711641422629896e-07
AU565,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.0859143131638899,2.5711641422629896e-07
AU565,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.989305648679992,2.5711641422629896e-07
AU565,LEE011_Ribociclib,3.162278,$k_{S}$,0.008238838623864837,1.0278262729223056e-10
AU565,LEE011_Ribociclib,3.162278,$k_{G2}$,0.04490043547792269,1.0278262729223056e-10
AU565,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.05526186225294332,1.0278262729223056e-10
AU565,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.770558336522852,1.0278262729223056e-10
AU565,LEE011_Ribociclib,0.1,$k_{S}$,0.010108581066432691,9.422040893699369e-11
AU565,LEE011_Ribociclib,0.1,$k_{G2}$,0.030963261463791435,9.422040893699369e-11
AU565,LEE011_Ribociclib,0.1,$k_{M}$$k_{G1}$,0.059006175521260994,9.422040893699369e-11
AU565,LEE011_Ribociclib,0.1,$k_{\phi}$,0.3343851522862186,9.422040893699369e-11
AU565,LEE011_Ribociclib,0.1,$k_{S}$,0.01851090705427482,1.211626808937771e-10
AU565,LEE011_Ribociclib,0.1,$k_{G2}$,0.04857049672354403,1.211626808937771e-10
AU565,LEE011_Ribociclib,0.1,$k_{M}$$k_{G1}$,0.07230903917111811,1.211626808937771e-10
AU565,LEE011_Ribociclib,0.1,$k_{\phi}$,1.0089968516941505,1.211626808937771e-10
AU565,LEE011_Ribociclib,0.1,$k_{S}$,0.014605726780826018,1.335573408792321e-10
AU565,LEE011_Ribociclib,0.1,$k_{G2}$,0.04442336541482946,1.335573408792321e-10
