cell_line,agent,concentration,parameter,rate,obj_func
AU565,MFH-2-90,0.01,$k_{S}$,0.0065266761754744,51014.79481755485
AU565,MFH-2-90,0.01,$k_{G2}$,0.015914613845665868,51014.79481755485
AU565,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.014160538437114623,51014.79481755485
AU565,MFH-2-90,0.01,$k_{\phi}$,1e-07,51014.79481755485
AU565,MFH-2-90,0.01,$k_{S}$,0.0052349100513683754,57041.56229924474
AU565,MFH-2-90,0.01,$k_{G2}$,0.01766270074592005,57041.56229924474
AU565,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.013316141839510139,57041.56229924474
AU565,MFH-2-90,0.01,$k_{\phi}$,1e-07,57041.56229924474
AU565,MFH-2-90,0.01,$k_{S}$,0.004926016003724035,38552.70291869371
AU565,MFH-2-90,0.01,$k_{G2}$,0.017053398886175956,38552.70291869371
AU565,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.010782405750730181,38552.70291869371
AU565,MFH-2-90,0.01,$k_{\phi}$,1e-07,38552.70291869371
AU565,MFH-2-90,0.001,$k_{S}$,0.0026602742942585596,25783.147595605704
AU565,MFH-2-90,0.001,$k_{G2}$,0.01288156120455423,25783.147595605704
AU565,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.011031080772999085,25783.147595605704
AU565,MFH-2-90,0.001,$k_{\phi}$,1e-07,25783.147595605704
AU565,MFH-2-90,0.001,$k_{S}$,0.0037319230607120563,21392.127491542113
AU565,MFH-2-90,0.001,$k_{G2}$,0.015828746144598393,21392.127491542113
AU565,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.010551134425927144,21392.127491542113
AU565,MFH-2-90,0.001,$k_{\phi}$,1e-07,21392.127491542113
AU565,MFH-2-90,0.001,$k_{S}$,0.004981375454876534,46667.16966901162
AU565,MFH-2-90,0.001,$k_{G2}$,0.017483315206506117,46667.16966901162
AU565,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.013582608848751806,46667.16966901162
AU565,MFH-2-90,0.001,$k_{\phi}$,1e-07,46667.16966901162
AU565,MFH-2-90,0.1,$k_{S}$,0.006647011413486953,47248.6217445556
AU565,MFH-2-90,0.1,$k_{G2}$,0.016794102228762754,47248.6217445556
AU565,MFH-2-90,0.1,$k_{M}$$k_{G1}$,0.013216858292192206,47248.6217445556
AU565,MFH-2-90,0.1,$k_{\phi}$,1e-07,47248.6217445556
AU565,MFH-2-90,0.1,$k_{S}$,0.0063057673937193266,41413.81742034416
AU565,MFH-2-90,0.1,$k_{G2}$,0.01809418882708616,41413.81742034416
AU565,MFH-2-90,0.1,$k_{M}$$k_{G1}$,0.01174005444846438,41413.81742034416
AU565,MFH-2-90,0.1,$k_{\phi}$,1e-07,41413.81742034416
AU565,MFH-2-90,0.1,$k_{S}$,0.005606172509537658,54715.94372896629
AU565,MFH-2-90,0.1,$k_{G2}$,0.018300897347316127,54715.94372896629
AU565,MFH-2-90,0.1,$k_{M}$$k_{G1}$,0.012211736272900094,54715.94372896629
AU565,MFH-2-90,0.1,$k_{\phi}$,1e-07,54715.94372896629
AU565,MFH-2-90,3.2e-05,$k_{S}$,0.029330546557635295,2.6394841647549156e-10
AU565,MFH-2-90,3.2e-05,$k_{G2}$,0.04943684681181793,2.6394841647549156e-10
AU565,MFH-2-90,3.2e-05,$k_{M}$$k_{G1}$,0.09166957446003265,2.6394841647549156e-10
AU565,MFH-2-90,3.2e-05,$k_{\phi}$,0.4779323327753931,2.6394841647549156e-10
AU565,MFH-2-90,3.2e-05,$k_{S}$,0.029624509982380653,1.3670960673526544e-10
AU565,MFH-2-90,3.2e-05,$k_{G2}$,0.049445839537149615,1.3670960673526544e-10
AU565,MFH-2-90,3.2e-05,$k_{M}$$k_{G1}$,0.09654966163665926,1.3670960673526544e-10
AU565,MFH-2-90,3.2e-05,$k_{\phi}$,0.6517834154936885,1.3670960673526544e-10
AU565,MFH-2-90,3.2e-05,$k_{S}$,0.032847419811849396,1.5416866473044081e-06
AU565,MFH-2-90,3.2e-05,$k_{G2}$,0.04951583569940149,1.5416866473044081e-06
AU565,MFH-2-90,3.2e-05,$k_{M}$$k_{G1}$,0.08738571170693812,1.5416866473044081e-06
AU565,MFH-2-90,3.2e-05,$k_{\phi}$,0.7865521797279841,1.5416866473044081e-06
AU565,MFH-2-90,0.000316,$k_{S}$,0.0320147205368201,4.047604209467696e-10
AU565,MFH-2-90,0.000316,$k_{G2}$,0.05428435117849014,4.047604209467696e-10
AU565,MFH-2-90,0.000316,$k_{M}$$k_{G1}$,0.11201968778396805,4.047604209467696e-10
AU565,MFH-2-90,0.000316,$k_{\phi}$,0.7165133167391549,4.047604209467696e-10
AU565,MFH-2-90,0.000316,$k_{S}$,0.0358878294523327,2.0646856908186124e-10
AU565,MFH-2-90,0.000316,$k_{G2}$,0.048461935597542166,2.0646856908186124e-10
AU565,MFH-2-90,0.000316,$k_{M}$$k_{G1}$,0.11608654583007524,2.0646856908186124e-10
AU565,MFH-2-90,0.000316,$k_{\phi}$,0.7394026783371742,2.0646856908186124e-10
AU565,MFH-2-90,0.000316,$k_{S}$,0.03409623977577268,1.726756221146741e-10
AU565,MFH-2-90,0.000316,$k_{G2}$,0.04362007633207723,1.726756221146741e-10
AU565,MFH-2-90,0.000316,$k_{M}$$k_{G1}$,0.0858874255940723,1.726756221146741e-10
AU565,MFH-2-90,0.000316,$k_{\phi}$,0.5941729258498901,1.726756221146741e-10
AU565,MFH-2-90,0.031623,$k_{S}$,0.0060985781163540856,58114.65815591291
AU565,MFH-2-90,0.031623,$k_{G2}$,0.018021820158081875,58114.65815591291
AU565,MFH-2-90,0.031623,$k_{M}$$k_{G1}$,0.01322886900429248,58114.65815591291
