cell_line,agent,concentration,parameter,rate,obj_func
MGH358,Abemaciclib_LY2835219,10.0,$k_{S}$,0.00019062152036558572,572.6326393359731
MGH358,Abemaciclib_LY2835219,10.0,$k_{G2}$,0.02544561984614065,572.6326393359731
MGH358,Abemaciclib_LY2835219,10.0,$k_{M}$$k_{G1}$,1e-07,572.6326393359731
MGH358,Abemaciclib_LY2835219,10.0,$k_{\phi}$,0.008093260411931789,572.6326393359731
MGH358,Abemaciclib_LY2835219,10.0,$k_{S}$,0.00218310859608503,0.0007327813669709931
MGH358,Abemaciclib_LY2835219,10.0,$k_{G2}$,100.0,0.0007327813669709931
MGH358,Abemaciclib_LY2835219,10.0,$k_{M}$$k_{G1}$,0.011731632807546981,0.0007327813669709931
MGH358,Abemaciclib_LY2835219,10.0,$k_{\phi}$,0.019528475576430303,0.0007327813669709931
MGH358,Abemaciclib_LY2835219,10.0,$k_{S}$,0.0011044668293820965,2531.117276841085
MGH358,Abemaciclib_LY2835219,10.0,$k_{G2}$,0.06571642740950642,2531.117276841085
MGH358,Abemaciclib_LY2835219,10.0,$k_{M}$$k_{G1}$,1e-07,2531.117276841085
MGH358,Abemaciclib_LY2835219,10.0,$k_{\phi}$,0.009441904198358213,2531.117276841085
MGH358,Abemaciclib_LY2835219,10.0,$k_{S}$,0.0008285503368317583,2506.986752056413
MGH358,Abemaciclib_LY2835219,10.0,$k_{G2}$,0.04952929038664857,2506.986752056413
MGH358,Abemaciclib_LY2835219,10.0,$k_{M}$$k_{G1}$,1e-07,2506.986752056413
MGH358,Abemaciclib_LY2835219,10.0,$k_{\phi}$,0.008742422687953073,2506.986752056413
MGH358,Abemaciclib_LY2835219,3.1623,$k_{S}$,0.000718689050679518,0.09754624357044549
MGH358,Abemaciclib_LY2835219,3.1623,$k_{G2}$,0.431899835668206,0.09754624357044549
MGH358,Abemaciclib_LY2835219,3.1623,$k_{M}$$k_{G1}$,1e-07,0.09754624357044549
MGH358,Abemaciclib_LY2835219,3.1623,$k_{\phi}$,0.021445033020598577,0.09754624357044549
MGH358,Abemaciclib_LY2835219,3.1623,$k_{S}$,0.0011601064538457851,1.2827581619872447e-10
MGH358,Abemaciclib_LY2835219,3.1623,$k_{G2}$,0.09558220824371093,1.2827581619872447e-10
MGH358,Abemaciclib_LY2835219,3.1623,$k_{M}$$k_{G1}$,0.0026497884312157603,1.2827581619872447e-10
MGH358,Abemaciclib_LY2835219,3.1623,$k_{\phi}$,0.02345856712021925,1.2827581619872447e-10
MGH358,Abemaciclib_LY2835219,3.1623,$k_{S}$,0.0011650310381516352,56.716971058517856
MGH358,Abemaciclib_LY2835219,3.1623,$k_{G2}$,0.3137749483472547,56.716971058517856
MGH358,Abemaciclib_LY2835219,3.1623,$k_{M}$$k_{G1}$,1e-07,56.716971058517856
MGH358,Abemaciclib_LY2835219,3.1623,$k_{\phi}$,0.025212923296929732,56.716971058517856
MGH358,Abemaciclib_LY2835219,3.1623,$k_{S}$,0.0009605064052323548,1264.8407086529326
MGH358,Abemaciclib_LY2835219,3.1623,$k_{G2}$,0.07375089328106633,1264.8407086529326
MGH358,Abemaciclib_LY2835219,3.1623,$k_{M}$$k_{G1}$,1e-07,1264.8407086529326
MGH358,Abemaciclib_LY2835219,3.1623,$k_{\phi}$,0.018774794376197022,1264.8407086529326
MGH358,Abemaciclib_LY2835219,1.0,$k_{S}$,0.001466696418054825,9.526231825022337e-07
MGH358,Abemaciclib_LY2835219,1.0,$k_{G2}$,0.9779168036154317,9.526231825022337e-07
MGH358,Abemaciclib_LY2835219,1.0,$k_{M}$$k_{G1}$,0.005669897649330965,9.526231825022337e-07
MGH358,Abemaciclib_LY2835219,1.0,$k_{\phi}$,0.03056905546191295,9.526231825022337e-07
MGH358,Abemaciclib_LY2835219,1.0,$k_{S}$,0.0018725449939904074,7.155995656136202e-11
MGH358,Abemaciclib_LY2835219,1.0,$k_{G2}$,0.24061000681174632,7.155995656136202e-11
MGH358,Abemaciclib_LY2835219,1.0,$k_{M}$$k_{G1}$,0.011427931016595705,7.155995656136202e-11
MGH358,Abemaciclib_LY2835219,1.0,$k_{\phi}$,0.053266985337985545,7.155995656136202e-11
MGH358,Abemaciclib_LY2835219,1.0,$k_{S}$,0.0015950091927068792,6.84380962497851e-11
