cell_line,agent,concentration,parameter,rate,obj_func
BT20,BSJ-01-175,1.0,$k_{S}$,0.005449058255899593,176719.08443731873
BT20,BSJ-01-175,1.0,$k_{G2}$,0.024632763556035688,176719.08443731873
BT20,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.004731555700548156,176719.08443731873
BT20,BSJ-01-175,1.0,$k_{\phi}$,1e-07,176719.08443731873
BT20,BSJ-01-175,1.0,$k_{S}$,0.006211218060103748,181259.96286974428
BT20,BSJ-01-175,1.0,$k_{G2}$,0.02508761748107273,181259.96286974428
BT20,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.007111384657008371,181259.96286974428
BT20,BSJ-01-175,1.0,$k_{\phi}$,1e-07,181259.96286974428
BT20,BSJ-01-175,1.0,$k_{S}$,0.002876819625460092,79127.53515877863
BT20,BSJ-01-175,1.0,$k_{G2}$,0.023303722233725246,79127.53515877863
BT20,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.0026964648108560546,79127.53515877863
BT20,BSJ-01-175,1.0,$k_{\phi}$,1e-07,79127.53515877863
BT20,BSJ-01-175,0.031623,$k_{S}$,0.03639849183188433,1.2454359749609614e-09
BT20,BSJ-01-175,0.031623,$k_{G2}$,0.0336385469236484,1.2454359749609614e-09
BT20,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.06877695715971567,1.2454359749609614e-09
BT20,BSJ-01-175,0.031623,$k_{\phi}$,0.5122993957059425,1.2454359749609614e-09
BT20,BSJ-01-175,0.031623,$k_{S}$,0.010307986529223007,4.331437883587831e-10
BT20,BSJ-01-175,0.031623,$k_{G2}$,0.015983392770059494,4.331437883587831e-10
BT20,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.013409928449720878,4.331437883587831e-10
BT20,BSJ-01-175,0.031623,$k_{\phi}$,0.23502116049972926,4.331437883587831e-10
BT20,BSJ-01-175,0.031623,$k_{S}$,0.03036210070248996,1.156872092512459e-09
BT20,BSJ-01-175,0.031623,$k_{G2}$,0.029644728388974865,1.156872092512459e-09
BT20,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.044909837329995934,1.156872092512459e-09
BT20,BSJ-01-175,0.031623,$k_{\phi}$,0.43944514050541483,1.156872092512459e-09
BT20,BSJ-01-175,3.162278,$k_{S}$,0.006758396210974641,273311.1510034672
BT20,BSJ-01-175,3.162278,$k_{G2}$,0.022053286608200832,273311.1510034672
BT20,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.00685650348570811,273311.1510034672
BT20,BSJ-01-175,3.162278,$k_{\phi}$,1e-07,273311.1510034672
BT20,BSJ-01-175,3.162278,$k_{S}$,0.0015907750371734698,301104.84600972594
BT20,BSJ-01-175,3.162278,$k_{G2}$,0.013493343031036411,301104.84600972594
BT20,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.014402675194241734,301104.84600972594
BT20,BSJ-01-175,3.162278,$k_{\phi}$,1e-07,301104.84600972594
BT20,BSJ-01-175,3.162278,$k_{S}$,0.007544489002005961,172979.1447042428
BT20,BSJ-01-175,3.162278,$k_{G2}$,0.026729782499001688,172979.1447042428
BT20,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.00597807535360055,172979.1447042428
BT20,BSJ-01-175,3.162278,$k_{\phi}$,1e-07,172979.1447042428
BT20,BSJ-01-175,0.01,$k_{S}$,0.03935688057209393,1.1508537549165347e-09
BT20,BSJ-01-175,0.01,$k_{G2}$,0.043208191352634824,1.1508537549165347e-09
BT20,BSJ-01-175,0.01,$k_{M}$$k_{G1}$,0.10595286715680347,1.1508537549165347e-09
BT20,BSJ-01-175,0.01,$k_{\phi}$,0.8588715056746892,1.1508537549165347e-09
BT20,BSJ-01-175,0.01,$k_{S}$,0.04166434245326808,2.952650736648779e-05
BT20,BSJ-01-175,0.01,$k_{G2}$,0.044755425213686514,2.952650736648779e-05
BT20,BSJ-01-175,0.01,$k_{M}$$k_{G1}$,0.11560131798522508,2.952650736648779e-05
BT20,BSJ-01-175,0.01,$k_{\phi}$,0.8474502482101656,2.952650736648779e-05
BT20,BSJ-01-175,0.01,$k_{S}$,0.04440613497173526,0.0004408591154622078
BT20,BSJ-01-175,0.01,$k_{G2}$,0.05058433862764582,0.0004408591154622078
BT20,BSJ-01-175,0.01,$k_{M}$$k_{G1}$,0.14046954565666295,0.0004408591154622078
BT20,BSJ-01-175,0.01,$k_{\phi}$,0.7886438551083593,0.0004408591154622078
BT20,BSJ-01-175,0.1,$k_{S}$,0.00028414292753982634,15679.687448111994
BT20,BSJ-01-175,0.1,$k_{G2}$,0.012124531266211058,15679.687448111994
BT20,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.0014331953595294194,15679.687448111994
BT20,BSJ-01-175,0.1,$k_{\phi}$,1e-07,15679.687448111994
BT20,BSJ-01-175,0.1,$k_{S}$,0.018162869828882565,1.585409508208751e-09
