cell_line,agent,concentration,parameter,rate,obj_func
BT20,LY2606368,0.001,$k_{S}$,0.0247127157351568,1.3557363471539374e-09
BT20,LY2606368,0.001,$k_{G2}$,0.05126678848689669,1.3557363471539374e-09
BT20,LY2606368,0.001,$k_{M}$$k_{G1}$,0.042989771516946135,1.3557363471539374e-09
BT20,LY2606368,0.001,$k_{\phi}$,0.6375126928102797,1.3557363471539374e-09
BT20,LY2606368,0.001,$k_{S}$,0.024028357429164884,1.5095737425059398e-09
BT20,LY2606368,0.001,$k_{G2}$,0.041944353966624624,1.5095737425059398e-09
BT20,LY2606368,0.001,$k_{M}$$k_{G1}$,0.038075778698428805,1.5095737425059398e-09
BT20,LY2606368,0.001,$k_{\phi}$,0.39772789897065236,1.5095737425059398e-09
BT20,LY2606368,0.001,$k_{S}$,0.01990041202136961,1.449747130568499e-09
BT20,LY2606368,0.001,$k_{G2}$,0.046631654277817,1.449747130568499e-09
BT20,LY2606368,0.001,$k_{M}$$k_{G1}$,0.02678166749171207,1.449747130568499e-09
BT20,LY2606368,0.001,$k_{\phi}$,0.4367636620046505,1.449747130568499e-09
BT20,LY2606368,0.316228,$k_{S}$,1e-07,239647.0077063656
BT20,LY2606368,0.316228,$k_{G2}$,0.009041635626830071,239647.0077063656
BT20,LY2606368,0.316228,$k_{M}$$k_{G1}$,0.009918774446660646,239647.0077063656
BT20,LY2606368,0.316228,$k_{\phi}$,1e-07,239647.0077063656
BT20,LY2606368,0.316228,$k_{S}$,0.0026248568352655803,115215.46335814515
BT20,LY2606368,0.316228,$k_{G2}$,0.0036147076970204886,115215.46335814515
BT20,LY2606368,0.316228,$k_{M}$$k_{G1}$,0.008376078661306541,115215.46335814515
BT20,LY2606368,0.316228,$k_{\phi}$,1e-07,115215.46335814515
BT20,LY2606368,0.316228,$k_{S}$,1e-07,128099.11690249984
BT20,LY2606368,0.316228,$k_{G2}$,0.008365967390331276,128099.11690249984
BT20,LY2606368,0.316228,$k_{M}$$k_{G1}$,0.013274830516352738,128099.11690249984
BT20,LY2606368,0.316228,$k_{\phi}$,0.007700209998358787,128099.11690249984
BT20,LY2606368,1.0,$k_{S}$,0.0005380084360611812,235444.01106494252
BT20,LY2606368,1.0,$k_{G2}$,0.009099508711739547,235444.01106494252
BT20,LY2606368,1.0,$k_{M}$$k_{G1}$,0.008864927364533445,235444.01106494252
BT20,LY2606368,1.0,$k_{\phi}$,1e-07,235444.01106494252
BT20,LY2606368,1.0,$k_{S}$,1e-07,204195.2051832343
BT20,LY2606368,1.0,$k_{G2}$,0.008467756788267933,204195.2051832343
BT20,LY2606368,1.0,$k_{M}$$k_{G1}$,0.010963374663458704,204195.2051832343
BT20,LY2606368,1.0,$k_{\phi}$,1e-07,204195.2051832343
BT20,LY2606368,1.0,$k_{S}$,0.0040615622900415675,41769.31877029345
BT20,LY2606368,1.0,$k_{G2}$,0.0018612245403073836,41769.31877029345
BT20,LY2606368,1.0,$k_{M}$$k_{G1}$,0.0051576193513195815,41769.31877029345
BT20,LY2606368,1.0,$k_{\phi}$,1e-07,41769.31877029345
