cell_line,agent,concentration,parameter,rate,obj_func
BT20,MFH-2-90,10.0,$k_{S}$,0.004280682844702835,376475.74860556
BT20,MFH-2-90,10.0,$k_{G2}$,0.015054023711973183,376475.74860556
BT20,MFH-2-90,10.0,$k_{M}$$k_{G1}$,0.014042718518623713,376475.74860556
BT20,MFH-2-90,10.0,$k_{\phi}$,1e-07,376475.74860556
BT20,MFH-2-90,10.0,$k_{S}$,0.005442487825074798,267266.4341294374
BT20,MFH-2-90,10.0,$k_{G2}$,0.018870299262921837,267266.4341294374
BT20,MFH-2-90,10.0,$k_{M}$$k_{G1}$,0.01723363440208676,267266.4341294374
BT20,MFH-2-90,10.0,$k_{\phi}$,1e-07,267266.4341294374
BT20,MFH-2-90,0.003162,$k_{S}$,0.0059210859602147736,281792.7855233982
BT20,MFH-2-90,0.003162,$k_{G2}$,0.02219471765437044,281792.7855233982
BT20,MFH-2-90,0.003162,$k_{M}$$k_{G1}$,0.007538352220716553,281792.7855233982
BT20,MFH-2-90,0.003162,$k_{\phi}$,1e-07,281792.7855233982
BT20,MFH-2-90,0.003162,$k_{S}$,0.006320287761995406,215488.0450253018
BT20,MFH-2-90,0.003162,$k_{G2}$,0.024780142335014858,215488.0450253018
BT20,MFH-2-90,0.003162,$k_{M}$$k_{G1}$,0.010857265338452252,215488.0450253018
BT20,MFH-2-90,0.003162,$k_{\phi}$,1e-07,215488.0450253018
BT20,MFH-2-90,1.0,$k_{S}$,0.00432716193375622,305044.185631846
BT20,MFH-2-90,1.0,$k_{G2}$,0.017766572381763233,305044.185631846
BT20,MFH-2-90,1.0,$k_{M}$$k_{G1}$,0.01670440732887428,305044.185631846
BT20,MFH-2-90,1.0,$k_{\phi}$,1e-07,305044.185631846
BT20,MFH-2-90,1.0,$k_{S}$,0.0035452266378571177,241119.85149233567
BT20,MFH-2-90,1.0,$k_{G2}$,0.018917454269346955,241119.85149233567
BT20,MFH-2-90,1.0,$k_{M}$$k_{G1}$,0.00869987788809976,241119.85149233567
BT20,MFH-2-90,1.0,$k_{\phi}$,1e-07,241119.85149233567
BT20,MFH-2-90,1.0,$k_{S}$,0.0042080255651925896,169647.47277606383
BT20,MFH-2-90,1.0,$k_{G2}$,0.022118054315008438,169647.47277606383
BT20,MFH-2-90,1.0,$k_{M}$$k_{G1}$,0.01089073656290356,169647.47277606383
BT20,MFH-2-90,1.0,$k_{\phi}$,1e-07,169647.47277606383
BT20,MFH-2-90,3.162278,$k_{S}$,0.004660882655692368,281792.8061278985
BT20,MFH-2-90,3.162278,$k_{G2}$,0.019263708098113088,281792.8061278985
BT20,MFH-2-90,3.162278,$k_{M}$$k_{G1}$,0.009270837481867385,281792.8061278985
BT20,MFH-2-90,3.162278,$k_{\phi}$,1e-07,281792.8061278985
BT20,MFH-2-90,3.162278,$k_{S}$,0.004422515817256277,205233.13745838773
BT20,MFH-2-90,3.162278,$k_{G2}$,0.020437493085005125,205233.13745838773
BT20,MFH-2-90,3.162278,$k_{M}$$k_{G1}$,0.016716720676916874,205233.13745838773
BT20,MFH-2-90,3.162278,$k_{\phi}$,1e-07,205233.13745838773
BT20,MFH-2-90,0.316228,$k_{S}$,0.004463862913002146,196415.4316332775
BT20,MFH-2-90,0.316228,$k_{G2}$,0.021798817987858106,196415.4316332775
BT20,MFH-2-90,0.316228,$k_{M}$$k_{G1}$,0.011019752076457489,196415.4316332775
BT20,MFH-2-90,0.316228,$k_{\phi}$,1e-07,196415.4316332775
BT20,MFH-2-90,0.316228,$k_{S}$,0.004373716538017869,295243.98814302497
BT20,MFH-2-90,0.316228,$k_{G2}$,0.018919759172806853,295243.98814302497
BT20,MFH-2-90,0.316228,$k_{M}$$k_{G1}$,0.009284693841423454,295243.98814302497
BT20,MFH-2-90,0.316228,$k_{\phi}$,1e-07,295243.98814302497
BT20,MFH-2-90,0.316228,$k_{S}$,0.0053127859953918475,255831.3750702593
BT20,MFH-2-90,0.316228,$k_{G2}$,0.021299141395927625,255831.3750702593
BT20,MFH-2-90,0.316228,$k_{M}$$k_{G1}$,0.012046636345839093,255831.3750702593
BT20,MFH-2-90,0.316228,$k_{\phi}$,1e-07,255831.3750702593
BT20,MFH-2-90,0.001,$k_{S}$,0.0010357413038436087,205232.85226325822
BT20,MFH-2-90,0.001,$k_{G2}$,0.014303591566008357,205232.85226325822
BT20,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.007132479500671153,205232.85226325822
BT20,MFH-2-90,0.001,$k_{\phi}$,1e-07,205232.85226325822
BT20,MFH-2-90,0.001,$k_{S}$,0.004716158575779979,169279.09971989182
BT20,MFH-2-90,0.001,$k_{G2}$,0.023039492384864014,169279.09971989182
BT20,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.004793060694586174,169279.09971989182
