cell_line,agent,concentration,parameter,rate,obj_func
BT20,YKL-5-124,3.162278,$k_{S}$,0.0008951999540785932,2.1592822841397066e-10
BT20,YKL-5-124,3.162278,$k_{G2}$,0.005407564379680602,2.1592822841397066e-10
BT20,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,0.0027417184596367564,2.1592822841397066e-10
BT20,YKL-5-124,3.162278,$k_{\phi}$,0.13160960672392813,2.1592822841397066e-10
BT20,YKL-5-124,3.162278,$k_{S}$,0.0012214880267775177,2.920624540543555e-10
BT20,YKL-5-124,3.162278,$k_{G2}$,0.0058957503930429185,2.920624540543555e-10
BT20,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,0.0032464426737393677,2.920624540543555e-10
BT20,YKL-5-124,3.162278,$k_{\phi}$,0.14412815645374005,2.920624540543555e-10
BT20,YKL-5-124,3.162278,$k_{S}$,1e-07,159.34822650474183
BT20,YKL-5-124,3.162278,$k_{G2}$,0.006846597835797042,159.34822650474183
BT20,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,0.003839577337302278,159.34822650474183
BT20,YKL-5-124,3.162278,$k_{\phi}$,0.09036512113311351,159.34822650474183
BT20,YKL-5-124,0.01,$k_{S}$,0.01936136542141951,2.2628691138272535e-09
BT20,YKL-5-124,0.01,$k_{G2}$,0.03157733265951722,2.2628691138272535e-09
BT20,YKL-5-124,0.01,$k_{M}$$k_{G1}$,0.047420796936546925,2.2628691138272535e-09
BT20,YKL-5-124,0.01,$k_{\phi}$,1.0742428089685838,2.2628691138272535e-09
BT20,YKL-5-124,0.01,$k_{S}$,0.019910324575667823,1.2497003963404178e-09
BT20,YKL-5-124,0.01,$k_{G2}$,0.029011206864679402,1.2497003963404178e-09
BT20,YKL-5-124,0.01,$k_{M}$$k_{G1}$,0.05512674041544824,1.2497003963404178e-09
BT20,YKL-5-124,0.01,$k_{\phi}$,1.099678890046524,1.2497003963404178e-09
BT20,YKL-5-124,10.0,$k_{S}$,1e-07,48234.52158973177
BT20,YKL-5-124,10.0,$k_{G2}$,0.020105935142434885,48234.52158973177
BT20,YKL-5-124,10.0,$k_{M}$$k_{G1}$,0.007876919214549473,48234.52158973177
BT20,YKL-5-124,10.0,$k_{\phi}$,0.0229199909454278,48234.52158973177
BT20,YKL-5-124,10.0,$k_{S}$,1e-07,120742.33294458894
BT20,YKL-5-124,10.0,$k_{G2}$,0.01464674158496697,120742.33294458894
BT20,YKL-5-124,10.0,$k_{M}$$k_{G1}$,0.004837153341204132,120742.33294458894
BT20,YKL-5-124,10.0,$k_{\phi}$,0.0010369875288275504,120742.33294458894
BT20,YKL-5-124,10.0,$k_{S}$,1e-07,59228.90865251605
BT20,YKL-5-124,10.0,$k_{G2}$,0.022727813724075334,59228.90865251605
BT20,YKL-5-124,10.0,$k_{M}$$k_{G1}$,0.007859041582339028,59228.90865251605
BT20,YKL-5-124,10.0,$k_{\phi}$,0.019385202560841926,59228.90865251605
BT20,YKL-5-124,0.1,$k_{S}$,0.008503330727669978,1.3075515425031649e-09
BT20,YKL-5-124,0.1,$k_{G2}$,0.01437395705017781,1.3075515425031649e-09
BT20,YKL-5-124,0.1,$k_{M}$$k_{G1}$,0.017959311164610414,1.3075515425031649e-09
BT20,YKL-5-124,0.1,$k_{\phi}$,0.39596609685724077,1.3075515425031649e-09
BT20,YKL-5-124,0.1,$k_{S}$,0.011854183254241304,1.0720256225430026e-09
BT20,YKL-5-124,0.1,$k_{G2}$,0.015915792919388834,1.0720256225430026e-09
