cell_line,agent,concentration,parameter,rate,obj_func
BT20,senexinb,0.031623,$k_{S}$,0.03762550566874124,2.4707306231014348e-09
BT20,senexinb,0.031623,$k_{G2}$,0.05171282298878618,2.4707306231014348e-09
BT20,senexinb,0.031623,$k_{M}$$k_{G1}$,0.08215629968815093,2.4707306231014348e-09
BT20,senexinb,0.031623,$k_{\phi}$,0.6341616974312996,2.4707306231014348e-09
BT20,senexinb,0.031623,$k_{S}$,0.03916204661505486,3.7239289269195058e-09
BT20,senexinb,0.031623,$k_{G2}$,0.05363483639585599,3.7239289269195058e-09
BT20,senexinb,0.031623,$k_{M}$$k_{G1}$,0.10323193748156917,3.7239289269195058e-09
BT20,senexinb,0.031623,$k_{\phi}$,0.680236070833617,3.7239289269195058e-09
BT20,senexinb,0.003162,$k_{S}$,0.04024179233936668,4.280618025054242e-09
BT20,senexinb,0.003162,$k_{G2}$,0.04926826901516824,4.280618025054242e-09
BT20,senexinb,0.003162,$k_{M}$$k_{G1}$,0.10648780851647142,4.280618025054242e-09
BT20,senexinb,0.003162,$k_{\phi}$,0.7147652850809213,4.280618025054242e-09
BT20,senexinb,0.003162,$k_{S}$,0.03514435729901055,1.4348344574074703e-09
BT20,senexinb,0.003162,$k_{G2}$,0.03981371620378162,1.4348344574074703e-09
BT20,senexinb,0.003162,$k_{M}$$k_{G1}$,0.08354183246835871,1.4348344574074703e-09
BT20,senexinb,0.003162,$k_{\phi}$,0.7247760379632423,1.4348344574074703e-09
BT20,senexinb,0.003162,$k_{S}$,0.03971596679650283,0.0007746795785980509
BT20,senexinb,0.003162,$k_{G2}$,0.05247758814288677,0.0007746795785980509
BT20,senexinb,0.003162,$k_{M}$$k_{G1}$,0.1293342199988795,0.0007746795785980509
BT20,senexinb,0.003162,$k_{\phi}$,0.7533235050921165,0.0007746795785980509
BT20,senexinb,1.0,$k_{S}$,0.031112244917089235,1.4944869683245153e-09
BT20,senexinb,1.0,$k_{G2}$,0.03918337378599568,1.4944869683245153e-09
BT20,senexinb,1.0,$k_{M}$$k_{G1}$,0.04877818316831209,1.4944869683245153e-09
BT20,senexinb,1.0,$k_{\phi}$,0.371588153233487,1.4944869683245153e-09
BT20,senexinb,1.0,$k_{S}$,0.031940246862890015,1.6832334116503466e-09
BT20,senexinb,1.0,$k_{G2}$,0.04101230872943485,1.6832334116503466e-09
BT20,senexinb,1.0,$k_{M}$$k_{G1}$,0.057897628341497046,1.6832334116503466e-09
BT20,senexinb,1.0,$k_{\phi}$,0.4032125009311837,1.6832334116503466e-09
BT20,senexinb,1.0,$k_{S}$,0.034059799443182034,1.3596129247042682e-09
BT20,senexinb,1.0,$k_{G2}$,0.05079840337602139,1.3596129247042682e-09
BT20,senexinb,1.0,$k_{M}$$k_{G1}$,0.07368688337816127,1.3596129247042682e-09
BT20,senexinb,1.0,$k_{\phi}$,0.476500422742666,1.3596129247042682e-09
BT20,senexinb,0.001,$k_{S}$,0.04078854724921608,5.074137283111456e-10
BT20,senexinb,0.001,$k_{G2}$,0.05236389313966079,5.074137283111456e-10
BT20,senexinb,0.001,$k_{M}$$k_{G1}$,0.1177945456585869,5.074137283111456e-10
BT20,senexinb,0.001,$k_{\phi}$,0.906906363531327,5.074137283111456e-10
BT20,senexinb,0.001,$k_{S}$,0.03792181451563317,1.8632178893949323e-09
BT20,senexinb,0.001,$k_{G2}$,0.056016757935702745,1.8632178893949323e-09
BT20,senexinb,0.001,$k_{M}$$k_{G1}$,0.11929890325929188,1.8632178893949323e-09
BT20,senexinb,0.001,$k_{\phi}$,1.1283692671837948,1.8632178893949323e-09
BT20,senexinb,0.1,$k_{S}$,0.037391550413936714,2.44956349435975e-09
BT20,senexinb,0.1,$k_{G2}$,0.049515572506433236,2.44956349435975e-09
BT20,senexinb,0.1,$k_{M}$$k_{G1}$,0.07954798567501693,2.44956349435975e-09
BT20,senexinb,0.1,$k_{\phi}$,0.5454804212028779,2.44956349435975e-09
BT20,senexinb,0.1,$k_{S}$,0.03995417707530285,2.440738920318669e-09
BT20,senexinb,0.1,$k_{G2}$,0.05159485699833097,2.440738920318669e-09
BT20,senexinb,0.1,$k_{M}$$k_{G1}$,0.09086207092663583,2.440738920318669e-09
BT20,senexinb,0.1,$k_{\phi}$,0.6450122498970534,2.440738920318669e-09
BT20,senexinb,0.1,$k_{S}$,0.033127578409482904,7.127540217162178e-10
BT20,senexinb,0.1,$k_{G2}$,0.043093738204757925,7.127540217162178e-10
BT20,senexinb,0.1,$k_{M}$$k_{G1}$,0.07199131063841394,7.127540217162178e-10
BT20,senexinb,0.1,$k_{\phi}$,0.5514903012379772,7.127540217162178e-10
BT20,senexinb,10.0,$k_{S}$,0.017462095712249815,7.831804769921675e-10
BT20,senexinb,10.0,$k_{G2}$,0.03748930717178438,7.831804769921675e-10
BT20,senexinb,10.0,$k_{M}$$k_{G1}$,0.016544208918071852,7.831804769921675e-10
BT20,senexinb,10.0,$k_{\phi}$,0.1687497861901316,7.831804769921675e-10
