cell_line,agent,concentration,parameter,rate,obj_func
BT483,E17,0.031623,$k_{S}$,0.004803535266912331,1.608743966028582e-10
BT483,E17,0.031623,$k_{G2}$,0.04323938065203572,1.608743966028582e-10
BT483,E17,0.031623,$k_{M}$$k_{G1}$,0.008871554376211812,1.608743966028582e-10
BT483,E17,0.031623,$k_{\phi}$,0.18614207794965199,1.608743966028582e-10
BT483,E17,0.031623,$k_{S}$,0.0014158173178734077,700.8073390681284
BT483,E17,0.031623,$k_{G2}$,0.00396088293391756,700.8073390681284
BT483,E17,0.031623,$k_{M}$$k_{G1}$,0.0007937564286760233,700.8073390681284
BT483,E17,0.031623,$k_{\phi}$,1e-07,700.8073390681284
BT483,E17,0.031623,$k_{S}$,0.004547365205802453,1.8341227957482003e-10
BT483,E17,0.031623,$k_{G2}$,0.03603097816820908,1.8341227957482003e-10
BT483,E17,0.031623,$k_{M}$$k_{G1}$,0.007270628226841537,1.8341227957482003e-10
BT483,E17,0.031623,$k_{\phi}$,0.3841200945966071,1.8341227957482003e-10
BT483,E17,0.003162,$k_{S}$,0.012036338068085526,2.0176896082645356e-10
BT483,E17,0.003162,$k_{G2}$,0.06708338180945109,2.0176896082645356e-10
BT483,E17,0.003162,$k_{M}$$k_{G1}$,0.03029520823790376,2.0176896082645356e-10
BT483,E17,0.003162,$k_{\phi}$,0.48311920961856714,2.0176896082645356e-10
BT483,E17,0.003162,$k_{S}$,0.00810428693112565,0.8297102001969539
BT483,E17,0.003162,$k_{G2}$,0.0449448374668537,0.8297102001969539
BT483,E17,0.003162,$k_{M}$$k_{G1}$,0.02469299428817159,0.8297102001969539
BT483,E17,0.003162,$k_{\phi}$,0.40041994253196367,0.8297102001969539
BT483,E17,0.003162,$k_{S}$,0.012488845628585763,1.8913347367718767e-10
BT483,E17,0.003162,$k_{G2}$,0.08229591183920885,1.8913347367718767e-10
BT483,E17,0.003162,$k_{M}$$k_{G1}$,0.029838931643647013,1.8913347367718767e-10
BT483,E17,0.003162,$k_{\phi}$,0.4067827697931217,1.8913347367718767e-10
BT483,E17,0.316228,$k_{S}$,0.0045915855091806556,26527.62220976205
BT483,E17,0.316228,$k_{G2}$,0.023197601116207927,26527.62220976205
BT483,E17,0.316228,$k_{M}$$k_{G1}$,0.0066720523169014785,26527.62220976205
BT483,E17,0.316228,$k_{\phi}$,1e-07,26527.62220976205
BT483,E17,0.316228,$k_{S}$,0.0044627083887108406,31394.116468846467
BT483,E17,0.316228,$k_{G2}$,0.022424364186960283,31394.116468846467
BT483,E17,0.316228,$k_{M}$$k_{G1}$,0.0057217534211694045,31394.116468846467
BT483,E17,0.316228,$k_{\phi}$,1e-07,31394.116468846467
BT483,E17,0.316228,$k_{S}$,0.004716743346972114,41258.6508135268
BT483,E17,0.316228,$k_{G2}$,0.021858431125675426,41258.6508135268
BT483,E17,0.316228,$k_{M}$$k_{G1}$,0.006241834240261387,41258.6508135268
BT483,E17,0.316228,$k_{\phi}$,1e-07,41258.6508135268
BT483,E17,0.001,$k_{S}$,0.010503883532050621,2.297484122199174e-10
