cell_line,agent,concentration,parameter,rate,obj_func
BT483,Flavopiridol,0.001,$k_{S}$,0.014136603559698997,1.370183821653764e-10
BT483,Flavopiridol,0.001,$k_{G2}$,0.06389514687816655,1.370183821653764e-10
BT483,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.035449889603445466,1.370183821653764e-10
BT483,Flavopiridol,0.001,$k_{\phi}$,0.3654843902397176,1.370183821653764e-10
BT483,Flavopiridol,0.001,$k_{S}$,0.012426824267206964,1.332800899040071e-10
BT483,Flavopiridol,0.001,$k_{G2}$,0.05614384108985525,1.332800899040071e-10
BT483,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.029598475633372128,1.332800899040071e-10
BT483,Flavopiridol,0.001,$k_{\phi}$,0.47717639690418817,1.332800899040071e-10
BT483,Flavopiridol,0.001,$k_{S}$,0.003072063133072034,1.8261046899938097e-11
BT483,Flavopiridol,0.001,$k_{G2}$,0.01186218982396508,1.8261046899938097e-11
BT483,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.004495117957842153,1.8261046899938097e-11
BT483,Flavopiridol,0.001,$k_{\phi}$,0.05815427348218184,1.8261046899938097e-11
BT483,Flavopiridol,0.000316,$k_{S}$,0.01228914359900279,1.9705335815242113e-10
BT483,Flavopiridol,0.000316,$k_{G2}$,0.056544782467101436,1.9705335815242113e-10
BT483,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.02730237902800254,1.9705335815242113e-10
BT483,Flavopiridol,0.000316,$k_{\phi}$,0.43314399858001706,1.9705335815242113e-10
BT483,Flavopiridol,0.000316,$k_{S}$,0.011184936769498421,1.170325886349158e-10
BT483,Flavopiridol,0.000316,$k_{G2}$,0.05447508976442453,1.170325886349158e-10
BT483,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.027350598055804178,1.170325886349158e-10
BT483,Flavopiridol,0.000316,$k_{\phi}$,7.651727108326731,1.170325886349158e-10
BT483,Flavopiridol,0.000316,$k_{S}$,0.01660143214982731,1.4855723139293422e-10
BT483,Flavopiridol,0.000316,$k_{G2}$,0.07392663768349049,1.4855723139293422e-10
BT483,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.042698557255101625,1.4855723139293422e-10
BT483,Flavopiridol,0.000316,$k_{\phi}$,0.8312887717084912,1.4855723139293422e-10
BT483,Flavopiridol,0.01,$k_{S}$,0.010031482806133104,7.650522311399052e-11
BT483,Flavopiridol,0.01,$k_{G2}$,0.0415903138246499,7.650522311399052e-11
BT483,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.023805898276968027,7.650522311399052e-11
BT483,Flavopiridol,0.01,$k_{\phi}$,1.0213556675763198,7.650522311399052e-11
BT483,Flavopiridol,0.01,$k_{S}$,0.011793265371552815,1.624809733406984e-10
BT483,Flavopiridol,0.01,$k_{G2}$,0.05642826935930161,1.624809733406984e-10
BT483,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.022460832024419928,1.624809733406984e-10
BT483,Flavopiridol,0.01,$k_{\phi}$,0.33042568130559447,1.624809733406984e-10
BT483,Flavopiridol,0.01,$k_{S}$,0.015073924329985375,1.475143032651358e-10
BT483,Flavopiridol,0.01,$k_{G2}$,0.06856643612108872,1.475143032651358e-10
BT483,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.03305205778596914,1.475143032651358e-10
BT483,Flavopiridol,0.01,$k_{\phi}$,0.7337007262777803,1.475143032651358e-10
BT483,Flavopiridol,0.1,$k_{S}$,0.00781261402514808,73252.28069277504
BT483,Flavopiridol,0.1,$k_{G2}$,0.011911969845852615,73252.28069277504
BT483,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.010451544162911731,73252.28069277504
BT483,Flavopiridol,0.1,$k_{\phi}$,1e-07,73252.28069277504
BT483,Flavopiridol,0.1,$k_{S}$,0.009858346485014963,2.0439288885289897e-10
BT483,Flavopiridol,0.1,$k_{G2}$,0.05180183169007118,2.0439288885289897e-10
BT483,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.01769556135947962,2.0439288885289897e-10
BT483,Flavopiridol,0.1,$k_{\phi}$,0.2377736877499271,2.0439288885289897e-10
BT483,Flavopiridol,0.1,$k_{S}$,0.006764897255440138,3.931759966445479e-11
BT483,Flavopiridol,0.1,$k_{G2}$,0.04189476543470171,3.931759966445479e-11
BT483,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.013016968315221958,3.931759966445479e-11
BT483,Flavopiridol,0.1,$k_{\phi}$,0.16051954579719735,3.931759966445479e-11
BT483,Flavopiridol,0.031623,$k_{S}$,0.012310054769244275,1.6156938752674994e-10
BT483,Flavopiridol,0.031623,$k_{G2}$,0.057589156553080126,1.6156938752674994e-10
BT483,Flavopiridol,0.031623,$k_{M}$$k_{G1}$,0.02252876475851742,1.6156938752674994e-10
BT483,Flavopiridol,0.031623,$k_{\phi}$,0.34313165536221085,1.6156938752674994e-10
BT483,Flavopiridol,0.031623,$k_{S}$,0.008061182705585543,2.3226352562215135e-10
BT483,Flavopiridol,0.031623,$k_{G2}$,0.04642315897905307,2.3226352562215135e-10
BT483,Flavopiridol,0.031623,$k_{M}$$k_{G1}$,0.013852140972356411,2.3226352562215135e-10
BT483,Flavopiridol,0.031623,$k_{\phi}$,0.2261629954969151,2.3226352562215135e-10
BT483,Flavopiridol,0.031623,$k_{S}$,0.015998940133849875,108102.46567761508
BT483,Flavopiridol,0.031623,$k_{G2}$,0.014847678408338488,108102.46567761508
BT483,Flavopiridol,0.031623,$k_{M}$$k_{G1}$,0.012128767783938408,108102.46567761508
BT483,Flavopiridol,0.031623,$k_{\phi}$,1e-07,108102.46567761508
BT483,Flavopiridol,1.0,$k_{S}$,0.003934876251606817,22875.181540358324
BT483,Flavopiridol,1.0,$k_{G2}$,0.030251002490836384,22875.181540358324
BT483,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.0037002132543397155,22875.181540358324
BT483,Flavopiridol,1.0,$k_{\phi}$,1e-07,22875.181540358324
BT483,Flavopiridol,1.0,$k_{S}$,0.004292296226172576,15478.494624158206
BT483,Flavopiridol,1.0,$k_{G2}$,0.03836738121527967,15478.494624158206
BT483,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.002856457914887982,15478.494624158206
BT483,Flavopiridol,1.0,$k_{\phi}$,1e-07,15478.494624158206
BT483,Flavopiridol,1.0,$k_{S}$,0.0027806827589966884,8257.640498261682
BT483,Flavopiridol,1.0,$k_{G2}$,0.03567258185527185,8257.640498261682
BT483,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.002333515335432657,8257.640498261682
BT483,Flavopiridol,1.0,$k_{\phi}$,1e-07,8257.640498261682
BT483,Flavopiridol,0.003162,$k_{S}$,0.007406175491472753,1218.7470336981264
BT483,Flavopiridol,0.003162,$k_{G2}$,0.03921410431537444,1218.7470336981264
BT483,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.01744812598189812,1218.7470336981264
BT483,Flavopiridol,0.003162,$k_{\phi}$,0.23832678464900622,1218.7470336981264
BT483,Flavopiridol,0.003162,$k_{S}$,0.010691002237883074,9.08550974839291e-11
BT483,Flavopiridol,0.003162,$k_{G2}$,0.057893207066040814,9.08550974839291e-11
BT483,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.02530518708771991,9.08550974839291e-11
BT483,Flavopiridol,0.003162,$k_{\phi}$,0.4256017662440435,9.08550974839291e-11
BT483,Flavopiridol,0.003162,$k_{S}$,0.009071648782602602,1.792500745033562e-10
BT483,Flavopiridol,0.003162,$k_{G2}$,0.04334817142658393,1.792500745033562e-10
BT483,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.017978948024894068,1.792500745033562e-10
BT483,Flavopiridol,0.003162,$k_{\phi}$,0.2288364214787612,1.792500745033562e-10
BT483,Flavopiridol,0.316228,$k_{S}$,0.0028786294004235257,3764.4937469610554
BT483,Flavopiridol,0.316228,$k_{G2}$,0.015487278711493226,3764.4937469610554
BT483,Flavopiridol,0.316228,$k_{M}$$k_{G1}$,0.002605968721797798,3764.4937469610554
BT483,Flavopiridol,0.316228,$k_{\phi}$,1e-07,3764.4937469610554
BT483,Flavopiridol,0.316228,$k_{S}$,0.002594182078665117,5261.442081201364
BT483,Flavopiridol,0.316228,$k_{G2}$,0.012342592578464835,5261.442081201364
BT483,Flavopiridol,0.316228,$k_{M}$$k_{G1}$,0.0020683641765476355,5261.442081201364
BT483,Flavopiridol,0.316228,$k_{\phi}$,1e-07,5261.442081201364
BT483,Flavopiridol,0.316228,$k_{S}$,0.0025094659086027558,4571.985298293933
BT483,Flavopiridol,0.316228,$k_{G2}$,0.01131799031245098,4571.985298293933
BT483,Flavopiridol,0.316228,$k_{M}$$k_{G1}$,0.0026246749451462525,4571.985298293933
BT483,Flavopiridol,0.316228,$k_{\phi}$,1e-07,4571.985298293933
BT483,Flavopiridol,0.0001,$k_{S}$,0.009723381483949014,2.565854676007551e-10
BT483,Flavopiridol,0.0001,$k_{G2}$,0.04335858107118887,2.565854676007551e-10
BT483,Flavopiridol,0.0001,$k_{M}$$k_{G1}$,0.022478131921195698,2.565854676007551e-10
BT483,Flavopiridol,0.0001,$k_{\phi}$,0.30491076205283735,2.565854676007551e-10
BT483,Flavopiridol,0.0001,$k_{S}$,0.013154692076346713,7.984020058573453e-06
BT483,Flavopiridol,0.0001,$k_{G2}$,0.06158994251745481,7.984020058573453e-06
BT483,Flavopiridol,0.0001,$k_{M}$$k_{G1}$,0.0313551796702801,7.984020058573453e-06
BT483,Flavopiridol,0.0001,$k_{\phi}$,1.3990087540976592,7.984020058573453e-06
BT483,Flavopiridol,0.0001,$k_{S}$,0.012755879016956372,2.7522531574568823e-10
