cell_line,agent,concentration,parameter,rate,obj_func
BT483,SY-1365,3.2e-05,$k_{S}$,0.013398398284780401,1.6234552171175434e-10
BT483,SY-1365,3.2e-05,$k_{G2}$,0.057568397002774295,1.6234552171175434e-10
BT483,SY-1365,3.2e-05,$k_{M}$$k_{G1}$,0.03062433550221007,1.6234552171175434e-10
BT483,SY-1365,3.2e-05,$k_{\phi}$,0.36425471150886657,1.6234552171175434e-10
BT483,SY-1365,3.2e-05,$k_{S}$,0.007310378191853309,4.1492723380860455e-11
BT483,SY-1365,3.2e-05,$k_{G2}$,0.026581528362299198,4.1492723380860455e-11
BT483,SY-1365,3.2e-05,$k_{M}$$k_{G1}$,0.014975486798918622,4.1492723380860455e-11
BT483,SY-1365,3.2e-05,$k_{\phi}$,0.17703042446772232,4.1492723380860455e-11
BT483,SY-1365,3.2e-05,$k_{S}$,0.012742991558213835,5.979382239497436e-11
BT483,SY-1365,3.2e-05,$k_{G2}$,0.05724243198987773,5.979382239497436e-11
BT483,SY-1365,3.2e-05,$k_{M}$$k_{G1}$,0.028959666857568917,5.979382239497436e-11
BT483,SY-1365,3.2e-05,$k_{\phi}$,0.3544974368692353,5.979382239497436e-11
BT483,SY-1365,0.0001,$k_{S}$,0.009443389234627769,1.799397673055665e-10
BT483,SY-1365,0.0001,$k_{G2}$,0.05730665295662575,1.799397673055665e-10
BT483,SY-1365,0.0001,$k_{M}$$k_{G1}$,0.021750188796478557,1.799397673055665e-10
BT483,SY-1365,0.0001,$k_{\phi}$,0.3709096864299854,1.799397673055665e-10
BT483,SY-1365,0.0001,$k_{S}$,0.011850646683551904,2.6284507301171605e-10
BT483,SY-1365,0.0001,$k_{G2}$,0.048033265384974044,2.6284507301171605e-10
BT483,SY-1365,0.0001,$k_{M}$$k_{G1}$,0.02796316495305175,2.6284507301171605e-10
BT483,SY-1365,0.0001,$k_{\phi}$,0.44065163450744504,2.6284507301171605e-10
BT483,SY-1365,0.0001,$k_{S}$,0.012792820349444402,8.486133837824298e-11
BT483,SY-1365,0.0001,$k_{G2}$,0.05935547580083774,8.486133837824298e-11
BT483,SY-1365,0.0001,$k_{M}$$k_{G1}$,0.02898065439488637,8.486133837824298e-11
BT483,SY-1365,0.0001,$k_{\phi}$,0.32469236644259014,8.486133837824298e-11
BT483,SY-1365,0.1,$k_{S}$,0.0004048318923263187,484.02708359968995
BT483,SY-1365,0.1,$k_{G2}$,0.02492513768053533,484.02708359968995
BT483,SY-1365,0.1,$k_{M}$$k_{G1}$,0.00022605004213741077,484.02708359968995
BT483,SY-1365,0.1,$k_{\phi}$,1e-07,484.02708359968995
BT483,SY-1365,0.1,$k_{S}$,0.004213815118703759,33161.579729815436
BT483,SY-1365,0.1,$k_{G2}$,0.02433237803153442,33161.579729815436
BT483,SY-1365,0.1,$k_{M}$$k_{G1}$,0.005705695366155706,33161.579729815436
BT483,SY-1365,0.1,$k_{\phi}$,1e-07,33161.579729815436
BT483,SY-1365,0.1,$k_{S}$,0.0005257618797945501,51.661391067479585
BT483,SY-1365,0.1,$k_{G2}$,0.1337501644089901,51.661391067479585
