cell_line,agent,concentration,parameter,rate,obj_func
BT549,AZD2014,1.0,$k_{S}$,0.02669006622793723,4.498078104201475
BT549,AZD2014,1.0,$k_{G2}$,0.03391059659692064,4.498078104201475
BT549,AZD2014,1.0,$k_{M}$$k_{G1}$,0.05889772175575644,4.498078104201475
BT549,AZD2014,1.0,$k_{\phi}$,1.0763672559747182,4.498078104201475
BT549,AZD2014,1.0,$k_{S}$,0.02389594442205436,9.76635797378787e-10
BT549,AZD2014,1.0,$k_{G2}$,0.03610901916757283,9.76635797378787e-10
BT549,AZD2014,1.0,$k_{M}$$k_{G1}$,0.06949571216436029,9.76635797378787e-10
BT549,AZD2014,1.0,$k_{\phi}$,1.5614248247893034,9.76635797378787e-10
BT549,AZD2014,10.0,$k_{S}$,1e-07,2873.971879100798
BT549,AZD2014,10.0,$k_{G2}$,0.019893957909222864,2873.971879100798
BT549,AZD2014,10.0,$k_{M}$$k_{G1}$,0.01757178567978554,2873.971879100798
BT549,AZD2014,10.0,$k_{\phi}$,0.12790753803768745,2873.971879100798
BT549,AZD2014,10.0,$k_{S}$,1e-07,2883.9405277482983
BT549,AZD2014,10.0,$k_{G2}$,0.022770636166852862,2883.9405277482983
BT549,AZD2014,10.0,$k_{M}$$k_{G1}$,0.016652334091551563,2883.9405277482983
BT549,AZD2014,10.0,$k_{\phi}$,0.09833354816768222,2883.9405277482983
BT549,AZD2014,10.0,$k_{S}$,1e-07,7685.349983878627
BT549,AZD2014,10.0,$k_{G2}$,0.016990814702473874,7685.349983878627
BT549,AZD2014,10.0,$k_{M}$$k_{G1}$,0.0177060171752806,7685.349983878627
BT549,AZD2014,10.0,$k_{\phi}$,0.08094698696395107,7685.349983878627
BT549,AZD2014,0.1,$k_{S}$,0.034097211560641286,37.49381141563097
BT549,AZD2014,0.1,$k_{G2}$,0.05141080252429512,37.49381141563097
BT549,AZD2014,0.1,$k_{M}$$k_{G1}$,0.08158550727853604,37.49381141563097
BT549,AZD2014,0.1,$k_{\phi}$,0.5080471732728409,37.49381141563097
BT549,AZD2014,0.1,$k_{S}$,0.035528830703607336,2.1606209069616896e-09
BT549,AZD2014,0.1,$k_{G2}$,0.050404253854995036,2.1606209069616896e-09
BT549,AZD2014,0.1,$k_{M}$$k_{G1}$,0.10698292728428824,2.1606209069616896e-09
BT549,AZD2014,0.1,$k_{\phi}$,0.5979718164986877,2.1606209069616896e-09
BT549,AZD2014,0.003162,$k_{S}$,0.04183063488654002,1.7186455083591403e-09
BT549,AZD2014,0.003162,$k_{G2}$,0.07079202600637016,1.7186455083591403e-09
BT549,AZD2014,0.003162,$k_{M}$$k_{G1}$,0.11398535565199018,1.7186455083591403e-09
BT549,AZD2014,0.003162,$k_{\phi}$,0.742586609318893,1.7186455083591403e-09
BT549,AZD2014,0.003162,$k_{S}$,0.04197519519320427,9.801891545478901e-10
BT549,AZD2014,0.003162,$k_{G2}$,0.06834548284205717,9.801891545478901e-10
BT549,AZD2014,0.003162,$k_{M}$$k_{G1}$,0.11934525800762232,9.801891545478901e-10
BT549,AZD2014,0.003162,$k_{\phi}$,0.6454043599000989,9.801891545478901e-10
BT549,AZD2014,0.031623,$k_{S}$,0.03568924788299901,1.8403436644859432e-09
BT549,AZD2014,0.031623,$k_{G2}$,0.05827037904748128,1.8403436644859432e-09
BT549,AZD2014,0.031623,$k_{M}$$k_{G1}$,0.08274169572788116,1.8403436644859432e-09
BT549,AZD2014,0.031623,$k_{\phi}$,0.5724951643692355,1.8403436644859432e-09
BT549,AZD2014,0.031623,$k_{S}$,0.03660053309454322,2.5743538258037576e-09
BT549,AZD2014,0.031623,$k_{G2}$,0.07341000622932833,2.5743538258037576e-09
BT549,AZD2014,0.031623,$k_{M}$$k_{G1}$,0.10061139843212843,2.5743538258037576e-09
BT549,AZD2014,0.031623,$k_{\phi}$,0.6591915513246175,2.5743538258037576e-09
BT549,AZD2014,0.01,$k_{S}$,0.036586837166228015,5.890158132384022e-10
BT549,AZD2014,0.01,$k_{G2}$,0.06523797528768242,5.890158132384022e-10
BT549,AZD2014,0.01,$k_{M}$$k_{G1}$,0.09975590461003726,5.890158132384022e-10
BT549,AZD2014,0.01,$k_{\phi}$,0.5815224900874084,5.890158132384022e-10
BT549,AZD2014,0.01,$k_{S}$,0.04153975582619711,1.4311035787228943e-09
BT549,AZD2014,0.01,$k_{G2}$,0.0674137503731407,1.4311035787228943e-09
BT549,AZD2014,0.01,$k_{M}$$k_{G1}$,0.09728708353688739,1.4311035787228943e-09
BT549,AZD2014,0.01,$k_{\phi}$,2.183320496966763,1.4311035787228943e-09
BT549,AZD2014,0.01,$k_{S}$,0.03835701960416048,2.0618423329908918e-09
BT549,AZD2014,0.01,$k_{G2}$,0.06829822326555803,2.0618423329908918e-09
BT549,AZD2014,0.01,$k_{M}$$k_{G1}$,0.09137435117083915,2.0618423329908918e-09
BT549,AZD2014,0.01,$k_{\phi}$,0.6346533076150362,2.0618423329908918e-09
BT549,AZD2014,0.316228,$k_{S}$,0.025055621423897292,1.4349422298972681e-09
BT549,AZD2014,0.316228,$k_{G2}$,0.02817460935647364,1.4349422298972681e-09
BT549,AZD2014,0.316228,$k_{M}$$k_{G1}$,0.05664650680212207,1.4349422298972681e-09
BT549,AZD2014,0.316228,$k_{\phi}$,1.2003476154762251,1.4349422298972681e-09
BT549,AZD2014,0.316228,$k_{S}$,0.03120805652836676,1.3639912463102372e-09
BT549,AZD2014,0.316228,$k_{G2}$,0.0469382483983291,1.3639912463102372e-09
BT549,AZD2014,0.316228,$k_{M}$$k_{G1}$,0.07306808550761647,1.3639912463102372e-09
BT549,AZD2014,0.316228,$k_{\phi}$,1.226529672973318,1.3639912463102372e-09
BT549,AZD2014,0.316228,$k_{S}$,0.023183998734146075,3.005921017304274e-10
BT549,AZD2014,0.316228,$k_{G2}$,0.02976259542130829,3.005921017304274e-10
BT549,AZD2014,0.316228,$k_{M}$$k_{G1}$,0.06222569167049464,3.005921017304274e-10
BT549,AZD2014,0.316228,$k_{\phi}$,1.7590268999557273,3.005921017304274e-10
BT549,AZD2014,3.162278,$k_{S}$,0.007281293865494291,8.77523396524808e-10
