cell_line,agent,concentration,parameter,rate,obj_func
BT549,BMS-265246,3.162278,$k_{S}$,0.01966098583063256,3640.6542681300766
BT549,BMS-265246,3.162278,$k_{G2}$,0.033895560693388394,3640.6542681300766
BT549,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.0026418182485728045,3640.6542681300766
BT549,BMS-265246,3.162278,$k_{\phi}$,1e-07,3640.6542681300766
BT549,BMS-265246,3.162278,$k_{S}$,0.022446652415796076,9.479117726241883e-11
BT549,BMS-265246,3.162278,$k_{G2}$,0.17265978443017663,9.479117726241883e-11
BT549,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.0032704707283436633,9.479117726241883e-11
BT549,BMS-265246,3.162278,$k_{\phi}$,0.0003324183053394459,9.479117726241883e-11
BT549,BMS-265246,3.162278,$k_{S}$,0.01441324747505041,191.20341171976432
BT549,BMS-265246,3.162278,$k_{G2}$,0.10197072994529247,191.20341171976432
BT549,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.002469032257922785,191.20341171976432
BT549,BMS-265246,3.162278,$k_{\phi}$,1e-07,191.20341171976432
BT549,BMS-265246,0.316228,$k_{S}$,0.005936017244353851,2460.6367220764573
BT549,BMS-265246,0.316228,$k_{G2}$,0.027338006074339425,2460.6367220764573
BT549,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.004992553331084643,2460.6367220764573
BT549,BMS-265246,0.316228,$k_{\phi}$,1e-07,2460.6367220764573
BT549,BMS-265246,0.316228,$k_{S}$,0.00962431549584976,1.5049610994371174e-10
BT549,BMS-265246,0.316228,$k_{G2}$,0.04874873571602328,1.5049610994371174e-10
BT549,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.005060460541767507,1.5049610994371174e-10
BT549,BMS-265246,0.316228,$k_{\phi}$,0.003329318900997348,1.5049610994371174e-10
BT549,BMS-265246,10.0,$k_{S}$,0.021663324095613296,1476.4277700538935
BT549,BMS-265246,10.0,$k_{G2}$,0.07049109707065106,1476.4277700538935
BT549,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.0012545249541827926,1476.4277700538935
BT549,BMS-265246,10.0,$k_{\phi}$,1e-07,1476.4277700538935
BT549,BMS-265246,10.0,$k_{S}$,0.028629864604783242,359.27786500947246
BT549,BMS-265246,10.0,$k_{G2}$,0.027446250624912114,359.27786500947246
BT549,BMS-265246,10.0,$k_{M}$$k_{G1}$,1e-07,359.27786500947246
BT549,BMS-265246,10.0,$k_{\phi}$,0.004468412454250995,359.27786500947246
BT549,BMS-265246,0.1,$k_{S}$,0.028757324340666576,1.1624366576555379e-10
BT549,BMS-265246,0.1,$k_{G2}$,0.042666270279041484,1.1624366576555379e-10
BT549,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.013114895970974217,1.1624366576555379e-10
BT549,BMS-265246,0.1,$k_{\phi}$,0.03263318320366636,1.1624366576555379e-10
BT549,BMS-265246,0.1,$k_{S}$,0.024410590302821993,3.2560066778984493e-10
BT549,BMS-265246,0.1,$k_{G2}$,0.047355529033763374,3.2560066778984493e-10
BT549,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.01353414244510627,3.2560066778984493e-10
BT549,BMS-265246,0.1,$k_{\phi}$,0.03002561985336293,3.2560066778984493e-10
BT549,BMS-265246,0.1,$k_{S}$,0.009149598728147341,2.805482206621137e-10
BT549,BMS-265246,0.1,$k_{G2}$,0.023660297373057648,2.805482206621137e-10
BT549,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.011736808735679994,2.805482206621137e-10
BT549,BMS-265246,0.1,$k_{\phi}$,0.009811684533183622,2.805482206621137e-10
BT549,BMS-265246,1.0,$k_{S}$,0.010105336008878677,1.9776721857244175e-10
BT549,BMS-265246,1.0,$k_{G2}$,0.046583525931410956,1.9776721857244175e-10
BT549,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.0037709228375711074,1.9776721857244175e-10
BT549,BMS-265246,1.0,$k_{\phi}$,0.0021640131655648923,1.9776721857244175e-10
BT549,BMS-265246,1.0,$k_{S}$,0.008506959558339999,4435.408470004456
BT549,BMS-265246,1.0,$k_{G2}$,0.04111967908288432,4435.408470004456
BT549,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.003615108082309095,4435.408470004456
BT549,BMS-265246,1.0,$k_{\phi}$,1e-07,4435.408470004456
BT549,BMS-265246,0.001,$k_{S}$,0.058985698417810026,7.661992849769017e-10
BT549,BMS-265246,0.001,$k_{G2}$,0.06729227110684896,7.661992849769017e-10
BT549,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.04840362100525466,7.661992849769017e-10
BT549,BMS-265246,0.001,$k_{\phi}$,0.1803850667240718,7.661992849769017e-10
BT549,BMS-265246,0.001,$k_{S}$,0.05857382114508793,9.044081276581088e-10
BT549,BMS-265246,0.001,$k_{G2}$,0.06220165850061282,9.044081276581088e-10
BT549,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.05275545157451113,9.044081276581088e-10
BT549,BMS-265246,0.001,$k_{\phi}$,0.23192801358196902,9.044081276581088e-10
BT549,BMS-265246,0.001,$k_{S}$,0.04820540925848928,4.0778207606744644e-10
