cell_line,agent,concentration,parameter,rate,obj_func
BT549,THZ1,0.003162,$k_{S}$,0.05267064280594772,5.471450040064769e-09
BT549,THZ1,0.003162,$k_{G2}$,0.08897630690424488,5.471450040064769e-09
BT549,THZ1,0.003162,$k_{M}$$k_{G1}$,0.1254918844653156,5.471450040064769e-09
BT549,THZ1,0.003162,$k_{\phi}$,0.8290776559426782,5.471450040064769e-09
BT549,THZ1,0.003162,$k_{S}$,0.05255107508590185,3.673314242570931e-09
BT549,THZ1,0.003162,$k_{G2}$,0.08160966670795705,3.673314242570931e-09
BT549,THZ1,0.003162,$k_{M}$$k_{G1}$,0.11360682840332202,3.673314242570931e-09
BT549,THZ1,0.003162,$k_{\phi}$,4.109392509402716,3.673314242570931e-09
BT549,THZ1,0.003162,$k_{S}$,0.051027342061942524,2.542684347832029e-09
BT549,THZ1,0.003162,$k_{G2}$,0.07302997605699564,2.542684347832029e-09
BT549,THZ1,0.003162,$k_{M}$$k_{G1}$,0.11076703400442149,2.542684347832029e-09
BT549,THZ1,0.003162,$k_{\phi}$,0.7449935779604815,2.542684347832029e-09
BT549,THZ1,0.01,$k_{S}$,0.055842073031454144,4.882290160152959e-09
BT549,THZ1,0.01,$k_{G2}$,0.06867753665806134,4.882290160152959e-09
BT549,THZ1,0.01,$k_{M}$$k_{G1}$,0.12085650293335229,4.882290160152959e-09
BT549,THZ1,0.01,$k_{\phi}$,0.7837712886073035,4.882290160152959e-09
BT549,THZ1,0.01,$k_{S}$,0.053004887038061665,1.0784155601258633e-09
BT549,THZ1,0.01,$k_{G2}$,0.08835480479119713,1.0784155601258633e-09
BT549,THZ1,0.01,$k_{M}$$k_{G1}$,0.12488585156575673,1.0784155601258633e-09
BT549,THZ1,0.01,$k_{\phi}$,0.7187970966216899,1.0784155601258633e-09
BT549,THZ1,0.01,$k_{S}$,0.048492740040577687,2.3977517652678244e-09
BT549,THZ1,0.01,$k_{G2}$,0.06417206008531197,2.3977517652678244e-09
BT549,THZ1,0.01,$k_{M}$$k_{G1}$,0.1256383242799126,2.3977517652678244e-09
BT549,THZ1,0.01,$k_{\phi}$,0.7848134914788287,2.3977517652678244e-09
BT549,THZ1,0.000316,$k_{S}$,0.052784709115797177,4.049572865909359e-09
BT549,THZ1,0.000316,$k_{G2}$,0.09194229613795714,4.049572865909359e-09
BT549,THZ1,0.000316,$k_{M}$$k_{G1}$,0.1399294168668512,4.049572865909359e-09
BT549,THZ1,0.000316,$k_{\phi}$,0.8581433961299485,4.049572865909359e-09
BT549,THZ1,0.000316,$k_{S}$,0.053556424119166335,5.868701528057725e-09
BT549,THZ1,0.000316,$k_{G2}$,0.07906549617557189,5.868701528057725e-09
BT549,THZ1,0.000316,$k_{M}$$k_{G1}$,0.1122920239661506,5.868701528057725e-09
BT549,THZ1,0.000316,$k_{\phi}$,0.8241205936227949,5.868701528057725e-09
BT549,THZ1,0.316228,$k_{S}$,0.003247631262180463,36794.39072470358
BT549,THZ1,0.316228,$k_{G2}$,0.0021290886966673877,36794.39072470358
BT549,THZ1,0.316228,$k_{M}$$k_{G1}$,0.005930577963491677,36794.39072470358
BT549,THZ1,0.316228,$k_{\phi}$,1e-07,36794.39072470358
BT549,THZ1,0.316228,$k_{S}$,0.004388559635166584,30407.550222589773
BT549,THZ1,0.316228,$k_{G2}$,0.006835125466074977,30407.550222589773
BT549,THZ1,0.316228,$k_{M}$$k_{G1}$,0.01720970873632394,30407.550222589773
BT549,THZ1,0.316228,$k_{\phi}$,1e-07,30407.550222589773
BT549,THZ1,0.031623,$k_{S}$,0.04718300874131742,3.4494540813265987e-09
BT549,THZ1,0.031623,$k_{G2}$,0.04996364682555857,3.4494540813265987e-09
BT549,THZ1,0.031623,$k_{M}$$k_{G1}$,0.1323387434234349,3.4494540813265987e-09
BT549,THZ1,0.031623,$k_{\phi}$,0.5859841243178965,3.4494540813265987e-09
BT549,THZ1,0.031623,$k_{S}$,0.05673546820961266,2.1612270759848734e-09
BT549,THZ1,0.031623,$k_{G2}$,0.04545172574487202,2.1612270759848734e-09
BT549,THZ1,0.031623,$k_{M}$$k_{G1}$,0.10186292395204036,2.1612270759848734e-09
BT549,THZ1,0.031623,$k_{\phi}$,1.259375529313162,2.1612270759848734e-09
BT549,THZ1,0.1,$k_{S}$,0.021921343812006763,2.428604004380507e-10
BT549,THZ1,0.1,$k_{G2}$,0.0055281887912362595,2.428604004380507e-10
BT549,THZ1,0.1,$k_{M}$$k_{G1}$,0.02380306765911661,2.428604004380507e-10
BT549,THZ1,0.1,$k_{\phi}$,0.040294021971289035,2.428604004380507e-10
BT549,THZ1,0.1,$k_{S}$,0.06275983550704006,8.823185487150958e-10
BT549,THZ1,0.1,$k_{G2}$,0.03488373061944635,8.823185487150958e-10
BT549,THZ1,0.1,$k_{M}$$k_{G1}$,0.09422893502415841,8.823185487150958e-10
BT549,THZ1,0.1,$k_{\phi}$,0.3102480738590312,8.823185487150958e-10
BT549,THZ1,0.0001,$k_{S}$,0.0523261207376686,4.810112754361439e-09
BT549,THZ1,0.0001,$k_{G2}$,0.08894909826301428,4.810112754361439e-09
BT549,THZ1,0.0001,$k_{M}$$k_{G1}$,0.12943042049667206,4.810112754361439e-09
BT549,THZ1,0.0001,$k_{\phi}$,0.9524062607527786,4.810112754361439e-09
BT549,THZ1,0.0001,$k_{S}$,0.05351132100538624,4.711304432861156e-09
BT549,THZ1,0.0001,$k_{G2}$,0.08131392511930362,4.711304432861156e-09
BT549,THZ1,0.0001,$k_{M}$$k_{G1}$,0.1336860174191221,4.711304432861156e-09
BT549,THZ1,0.0001,$k_{\phi}$,0.8714472744139801,4.711304432861156e-09
BT549,THZ1,1.0,$k_{S}$,0.0019902985445117015,83184.39703235845
BT549,THZ1,1.0,$k_{G2}$,0.010515659575408369,83184.39703235845
BT549,THZ1,1.0,$k_{M}$$k_{G1}$,0.013770012186370842,83184.39703235845
BT549,THZ1,1.0,$k_{\phi}$,1e-07,83184.39703235845
BT549,THZ1,1.0,$k_{S}$,0.002342882425812346,70786.13455332952
BT549,THZ1,1.0,$k_{G2}$,0.018685419146438634,70786.13455332952
BT549,THZ1,1.0,$k_{M}$$k_{G1}$,0.020573480101396185,70786.13455332952
BT549,THZ1,1.0,$k_{\phi}$,1e-07,70786.13455332952
BT549,THZ1,1.0,$k_{S}$,0.002797835367376507,129901.40872899795
BT549,THZ1,1.0,$k_{G2}$,0.008634179698604928,129901.40872899795
BT549,THZ1,1.0,$k_{M}$$k_{G1}$,0.012489878866880754,129901.40872899795
BT549,THZ1,1.0,$k_{\phi}$,1e-07,129901.40872899795
BT549,THZ1,0.001,$k_{S}$,0.055165881344130176,5.920183213937084e-09
BT549,THZ1,0.001,$k_{G2}$,0.0840202469743905,5.920183213937084e-09
BT549,THZ1,0.001,$k_{M}$$k_{G1}$,0.13015124015066937,5.920183213937084e-09
BT549,THZ1,0.001,$k_{\phi}$,0.9607832319469614,5.920183213937084e-09
BT549,THZ1,0.001,$k_{S}$,0.05423123883967988,5.4999295198247775e-09
BT549,THZ1,0.001,$k_{G2}$,0.08219661718712058,5.4999295198247775e-09
BT549,THZ1,0.001,$k_{M}$$k_{G1}$,0.1312229817473552,5.4999295198247775e-09
BT549,THZ1,0.001,$k_{\phi}$,0.8463536556444676,5.4999295198247775e-09
