cell_line,agent,concentration,parameter,rate,obj_func
BT549,Torin2,0.1,$k_{S}$,0.006871154209737703,1.0919313695280427e-09
BT549,Torin2,0.1,$k_{G2}$,0.024421252487042872,1.0919313695280427e-09
BT549,Torin2,0.1,$k_{M}$$k_{G1}$,0.051946858849442896,1.0919313695280427e-09
BT549,Torin2,0.1,$k_{\phi}$,1.0252040277972803,1.0919313695280427e-09
BT549,Torin2,0.1,$k_{S}$,0.0035494566813091466,5.265579011995017e-10
BT549,Torin2,0.1,$k_{G2}$,0.012001532360344552,5.265579011995017e-10
BT549,Torin2,0.1,$k_{M}$$k_{G1}$,0.031250053514220395,5.265579011995017e-10
BT549,Torin2,0.1,$k_{\phi}$,0.6467375330959066,5.265579011995017e-10
BT549,Torin2,0.1,$k_{S}$,0.006791459779297847,9.24641569074275e-10
BT549,Torin2,0.1,$k_{G2}$,0.020814172783339524,9.24641569074275e-10
BT549,Torin2,0.1,$k_{M}$$k_{G1}$,0.03998642273108831,9.24641569074275e-10
BT549,Torin2,0.1,$k_{\phi}$,0.5584458499377039,9.24641569074275e-10
BT549,Torin2,0.1,$k_{S}$,0.006614032569355088,9.369983171324305e-10
BT549,Torin2,0.1,$k_{G2}$,0.02147673091582327,9.369983171324305e-10
BT549,Torin2,0.1,$k_{M}$$k_{G1}$,0.038596454219821524,9.369983171324305e-10
BT549,Torin2,0.1,$k_{\phi}$,1.2891054144376042,9.369983171324305e-10
BT549,Torin2,0.1,$k_{S}$,0.0019344497670695216,1.044428931458639e-09
BT549,Torin2,0.1,$k_{G2}$,0.011105800280404556,1.044428931458639e-09
BT549,Torin2,0.1,$k_{M}$$k_{G1}$,0.02697229226573347,1.044428931458639e-09
BT549,Torin2,0.1,$k_{\phi}$,0.3567399584901961,1.044428931458639e-09
