cell_line,agent,concentration,parameter,rate,obj_func
CAL120,AZD1775,0.003162,$k_{S}$,0.07184739094529521,1.1762969407398036e-09
CAL120,AZD1775,0.003162,$k_{G2}$,0.0980179271775235,1.1762969407398036e-09
CAL120,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.1994945446525585,1.1762969407398036e-09
CAL120,AZD1775,0.003162,$k_{\phi}$,0.34168728272891624,1.1762969407398036e-09
CAL120,AZD1775,0.003162,$k_{S}$,0.06973902223482223,1.2104694996712198e-09
CAL120,AZD1775,0.003162,$k_{G2}$,0.08713716535033672,1.2104694996712198e-09
CAL120,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.18840560980021423,1.2104694996712198e-09
CAL120,AZD1775,0.003162,$k_{\phi}$,0.4340060123301276,1.2104694996712198e-09
CAL120,AZD1775,0.003162,$k_{S}$,0.06625623345580242,9.539415598705386e-10
CAL120,AZD1775,0.003162,$k_{G2}$,0.08998520067888777,9.539415598705386e-10
CAL120,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.21529301788519517,9.539415598705386e-10
CAL120,AZD1775,0.003162,$k_{\phi}$,0.34357832991877624,9.539415598705386e-10
CAL120,AZD1775,10.0,$k_{S}$,1e-07,22923.168836929595
CAL120,AZD1775,10.0,$k_{G2}$,0.015024439603966263,22923.168836929595
CAL120,AZD1775,10.0,$k_{M}$$k_{G1}$,0.024417226186646216,22923.168836929595
CAL120,AZD1775,10.0,$k_{\phi}$,0.0016682601171025492,22923.168836929595
CAL120,AZD1775,10.0,$k_{S}$,1e-07,13610.422598001049
CAL120,AZD1775,10.0,$k_{G2}$,0.002868186333626067,13610.422598001049
CAL120,AZD1775,10.0,$k_{M}$$k_{G1}$,0.010727507406574069,13610.422598001049
CAL120,AZD1775,10.0,$k_{\phi}$,1e-07,13610.422598001049
CAL120,AZD1775,10.0,$k_{S}$,0.00023542665397620956,27785.23663828486
CAL120,AZD1775,10.0,$k_{G2}$,0.015059642910534129,27785.23663828486
CAL120,AZD1775,10.0,$k_{M}$$k_{G1}$,0.025081651877570502,27785.23663828486
CAL120,AZD1775,10.0,$k_{\phi}$,1e-07,27785.23663828486
CAL120,AZD1775,0.001,$k_{S}$,0.0834801650947847,1.6608194033298456e-09
CAL120,AZD1775,0.001,$k_{G2}$,0.09894916384852369,1.6608194033298456e-09
CAL120,AZD1775,0.001,$k_{M}$$k_{G1}$,0.21124666751415358,1.6608194033298456e-09
CAL120,AZD1775,0.001,$k_{\phi}$,0.4245027298704576,1.6608194033298456e-09
CAL120,AZD1775,0.001,$k_{S}$,0.07858952798750068,6.083811589502387e-10
CAL120,AZD1775,0.001,$k_{G2}$,0.09053094179364397,6.083811589502387e-10
CAL120,AZD1775,0.001,$k_{M}$$k_{G1}$,0.1819371175990452,6.083811589502387e-10
CAL120,AZD1775,0.001,$k_{\phi}$,0.4202595928358982,6.083811589502387e-10
CAL120,AZD1775,0.001,$k_{S}$,0.0829179080611542,1.5857978821365038e-09
CAL120,AZD1775,0.001,$k_{G2}$,0.08663023824097237,1.5857978821365038e-09
CAL120,AZD1775,0.001,$k_{M}$$k_{G1}$,0.22395080414674867,1.5857978821365038e-09
CAL120,AZD1775,0.001,$k_{\phi}$,0.39080926984899755,1.5857978821365038e-09
CAL120,AZD1775,3.162278,$k_{S}$,1e-07,173.17218878920406
CAL120,AZD1775,3.162278,$k_{G2}$,0.008162560702365354,173.17218878920406
CAL120,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.035499073546199494,173.17218878920406
CAL120,AZD1775,3.162278,$k_{\phi}$,0.013459004450679156,173.17218878920406
CAL120,AZD1775,3.162278,$k_{S}$,0.011945494224764422,6.778732594111655e-11
CAL120,AZD1775,3.162278,$k_{G2}$,0.016768982498222944,6.778732594111655e-11
CAL120,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.14352718682255666,6.778732594111655e-11
CAL120,AZD1775,3.162278,$k_{\phi}$,0.06294402174448321,6.778732594111655e-11
CAL120,AZD1775,3.162278,$k_{S}$,1e-07,621.3455034602207
CAL120,AZD1775,3.162278,$k_{G2}$,0.006453802207621698,621.3455034602207
CAL120,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.0356514884892867,621.3455034602207
CAL120,AZD1775,3.162278,$k_{\phi}$,0.007622732829098921,621.3455034602207
CAL120,AZD1775,1.0,$k_{S}$,0.052950937308484866,5.862293079162536e-11
CAL120,AZD1775,1.0,$k_{G2}$,0.053358677359167696,5.862293079162536e-11
CAL120,AZD1775,1.0,$k_{M}$$k_{G1}$,0.04358944687714916,5.862293079162536e-11
CAL120,AZD1775,1.0,$k_{\phi}$,0.11328080607749931,5.862293079162536e-11
CAL120,AZD1775,1.0,$k_{S}$,0.0422972555960197,4.62888254801868e-11
CAL120,AZD1775,1.0,$k_{G2}$,0.037855067669647594,4.62888254801868e-11
CAL120,AZD1775,1.0,$k_{M}$$k_{G1}$,0.032537859522960344,4.62888254801868e-11
CAL120,AZD1775,1.0,$k_{\phi}$,0.08365688997067144,4.62888254801868e-11
CAL120,AZD1775,1.0,$k_{S}$,0.05138672636434288,1.7158924818437266e-11
CAL120,AZD1775,1.0,$k_{G2}$,0.037014981063339496,1.7158924818437266e-11
CAL120,AZD1775,1.0,$k_{M}$$k_{G1}$,0.03827622717853081,1.7158924818437266e-11
CAL120,AZD1775,1.0,$k_{\phi}$,0.09106507003496053,1.7158924818437266e-11
CAL120,AZD1775,0.1,$k_{S}$,0.05681432620523167,1.928858054180013e-10
CAL120,AZD1775,0.1,$k_{G2}$,0.06813890616441742,1.928858054180013e-10
CAL120,AZD1775,0.1,$k_{M}$$k_{G1}$,0.13800630335229058,1.928858054180013e-10
CAL120,AZD1775,0.1,$k_{\phi}$,0.21538135715341564,1.928858054180013e-10
CAL120,AZD1775,0.1,$k_{S}$,0.046322892312966345,1.0379408569671581e-10
CAL120,AZD1775,0.1,$k_{G2}$,0.06772584692604917,1.0379408569671581e-10
CAL120,AZD1775,0.1,$k_{M}$$k_{G1}$,0.11740263864581085,1.0379408569671581e-10
CAL120,AZD1775,0.1,$k_{\phi}$,0.2692677921075642,1.0379408569671581e-10
CAL120,AZD1775,0.1,$k_{S}$,0.04937581023212644,1.0371651191831321e-10
CAL120,AZD1775,0.1,$k_{G2}$,0.06173442637771816,1.0371651191831321e-10
CAL120,AZD1775,0.1,$k_{M}$$k_{G1}$,0.11365361432533574,1.0371651191831321e-10
CAL120,AZD1775,0.1,$k_{\phi}$,0.18382960244397045,1.0371651191831321e-10
CAL120,AZD1775,0.316228,$k_{S}$,0.04466421900105208,6.157085275193155e-11
CAL120,AZD1775,0.316228,$k_{G2}$,0.04830041261304369,6.157085275193155e-11
CAL120,AZD1775,0.316228,$k_{M}$$k_{G1}$,0.0564256650120754,6.157085275193155e-11
CAL120,AZD1775,0.316228,$k_{\phi}$,0.1174476543931078,6.157085275193155e-11
CAL120,AZD1775,0.316228,$k_{S}$,0.04141705949820827,1.1058358989198948e-10
CAL120,AZD1775,0.316228,$k_{G2}$,0.09197601715812344,1.1058358989198948e-10
CAL120,AZD1775,0.316228,$k_{M}$$k_{G1}$,0.05460375687914757,1.1058358989198948e-10
CAL120,AZD1775,0.316228,$k_{\phi}$,0.15788991072682088,1.1058358989198948e-10
CAL120,AZD1775,0.316228,$k_{S}$,0.045130265484600966,1.0664256878965161e-10
CAL120,AZD1775,0.316228,$k_{G2}$,0.056877973223724905,1.0664256878965161e-10
CAL120,AZD1775,0.316228,$k_{M}$$k_{G1}$,0.04638543792923592,1.0664256878965161e-10
CAL120,AZD1775,0.316228,$k_{\phi}$,0.16886716864635484,1.0664256878965161e-10
CAL120,AZD1775,0.01,$k_{S}$,0.06644694020899451,1.3155013398430363e-09
CAL120,AZD1775,0.01,$k_{G2}$,0.07645899277852662,1.3155013398430363e-09
CAL120,AZD1775,0.01,$k_{M}$$k_{G1}$,0.2334632881744758,1.3155013398430363e-09
CAL120,AZD1775,0.01,$k_{\phi}$,0.3966257266211876,1.3155013398430363e-09
CAL120,AZD1775,0.01,$k_{S}$,0.05952142536441235,7.845735897607161e-10
CAL120,AZD1775,0.01,$k_{G2}$,0.08930547391163551,7.845735897607161e-10
CAL120,AZD1775,0.01,$k_{M}$$k_{G1}$,0.22811601048735078,7.845735897607161e-10
CAL120,AZD1775,0.01,$k_{\phi}$,0.4143893785954184,7.845735897607161e-10
CAL120,AZD1775,0.01,$k_{S}$,0.05799934502586426,6.058832792389584e-10
