cell_line,agent,concentration,parameter,rate,obj_func
CAL120,BSJ-03-124,0.01,$k_{S}$,0.0882291262198342,6.347626225712286e-10
CAL120,BSJ-03-124,0.01,$k_{G2}$,0.07427712031190807,6.347626225712286e-10
CAL120,BSJ-03-124,0.01,$k_{M}$$k_{G1}$,0.13928005419787312,6.347626225712286e-10
CAL120,BSJ-03-124,0.01,$k_{\phi}$,0.4455881283947443,6.347626225712286e-10
CAL120,BSJ-03-124,0.01,$k_{S}$,0.10050629311658812,236.72030447795564
CAL120,BSJ-03-124,0.01,$k_{G2}$,0.07805394950919213,236.72030447795564
CAL120,BSJ-03-124,0.01,$k_{M}$$k_{G1}$,0.13453867956133753,236.72030447795564
CAL120,BSJ-03-124,0.01,$k_{\phi}$,0.44674491412850875,236.72030447795564
CAL120,BSJ-03-124,0.01,$k_{S}$,0.09965673844438361,2.9721256093190765e-10
CAL120,BSJ-03-124,0.01,$k_{G2}$,0.0839514412103269,2.9721256093190765e-10
CAL120,BSJ-03-124,0.01,$k_{M}$$k_{G1}$,0.1318323407538512,2.9721256093190765e-10
CAL120,BSJ-03-124,0.01,$k_{\phi}$,0.4669246875742102,2.9721256093190765e-10
CAL120,BSJ-03-124,0.001,$k_{S}$,0.09690342124059978,3.44681239085775e-10
CAL120,BSJ-03-124,0.001,$k_{G2}$,0.0741191090620777,3.44681239085775e-10
CAL120,BSJ-03-124,0.001,$k_{M}$$k_{G1}$,0.1224865121358475,3.44681239085775e-10
CAL120,BSJ-03-124,0.001,$k_{\phi}$,0.40632026203977956,3.44681239085775e-10
CAL120,BSJ-03-124,0.001,$k_{S}$,0.10107814285468472,11.467247631977397
CAL120,BSJ-03-124,0.001,$k_{G2}$,0.07744335895880537,11.467247631977397
CAL120,BSJ-03-124,0.001,$k_{M}$$k_{G1}$,0.15103802956639908,11.467247631977397
CAL120,BSJ-03-124,0.001,$k_{\phi}$,0.5076166590648384,11.467247631977397
CAL120,BSJ-03-124,0.001,$k_{S}$,0.09695956642044815,5.694200806750613
CAL120,BSJ-03-124,0.001,$k_{G2}$,0.08269233534954504,5.694200806750613
CAL120,BSJ-03-124,0.001,$k_{M}$$k_{G1}$,0.14016834904712855,5.694200806750613
CAL120,BSJ-03-124,0.001,$k_{\phi}$,0.5079817572288718,5.694200806750613
CAL120,BSJ-03-124,0.1,$k_{S}$,0.08633342569486994,7.742272838887258e-10
CAL120,BSJ-03-124,0.1,$k_{G2}$,0.07646062870495676,7.742272838887258e-10
CAL120,BSJ-03-124,0.1,$k_{M}$$k_{G1}$,0.11461486337173958,7.742272838887258e-10
CAL120,BSJ-03-124,0.1,$k_{\phi}$,0.43608873881137844,7.742272838887258e-10
CAL120,BSJ-03-124,0.1,$k_{S}$,0.08300843935859084,88.09491718812963
