cell_line,agent,concentration,parameter,rate,obj_func
CAL120,SY-1365,1e-05,$k_{S}$,0.09933353245308849,8.595416693715616e-10
CAL120,SY-1365,1e-05,$k_{G2}$,0.08327347214798675,8.595416693715616e-10
CAL120,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.1370789000406729,8.595416693715616e-10
CAL120,SY-1365,1e-05,$k_{\phi}$,0.4940026147279068,8.595416693715616e-10
CAL120,SY-1365,1e-05,$k_{S}$,0.10706544673130645,1.0804307407906076e-09
CAL120,SY-1365,1e-05,$k_{G2}$,0.09098905750698717,1.0804307407906076e-09
CAL120,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.13873025416179638,1.0804307407906076e-09
CAL120,SY-1365,1e-05,$k_{\phi}$,0.5133600570119538,1.0804307407906076e-09
CAL120,SY-1365,1e-05,$k_{S}$,0.10400876801420832,1.53377032560516e-09
CAL120,SY-1365,1e-05,$k_{G2}$,0.08844877809292813,1.53377032560516e-09
CAL120,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.14862011120532317,1.53377032560516e-09
CAL120,SY-1365,1e-05,$k_{\phi}$,0.461487501219593,1.53377032560516e-09
CAL120,SY-1365,0.031623,$k_{S}$,1e-07,3826.9773661678755
CAL120,SY-1365,0.031623,$k_{G2}$,0.03436817982658874,3826.9773661678755
CAL120,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.005639454872500059,3826.9773661678755
CAL120,SY-1365,0.031623,$k_{\phi}$,0.015104736258146574,3826.9773661678755
CAL120,SY-1365,0.031623,$k_{S}$,1e-07,5793.937991942711
CAL120,SY-1365,0.031623,$k_{G2}$,0.031514323986408334,5793.937991942711
CAL120,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.004396978108797631,5793.937991942711
CAL120,SY-1365,0.031623,$k_{\phi}$,0.0071235579640649025,5793.937991942711
CAL120,SY-1365,0.031623,$k_{S}$,1e-07,3417.3353134415775
CAL120,SY-1365,0.031623,$k_{G2}$,0.03502121982585063,3417.3353134415775
CAL120,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.006135152112179382,3417.3353134415775
CAL120,SY-1365,0.031623,$k_{\phi}$,0.019413900803760747,3417.3353134415775
CAL120,SY-1365,0.000316,$k_{S}$,0.10670044794681315,7.835879756581601e-10
CAL120,SY-1365,0.000316,$k_{G2}$,0.08991143545151095,7.835879756581601e-10
CAL120,SY-1365,0.000316,$k_{M}$$k_{G1}$,0.1399382769764087,7.835879756581601e-10
CAL120,SY-1365,0.000316,$k_{\phi}$,0.4533943285940627,7.835879756581601e-10
CAL120,SY-1365,0.000316,$k_{S}$,0.11458996902407365,1.1820697892256559e-09
CAL120,SY-1365,0.000316,$k_{G2}$,0.0752125660030043,1.1820697892256559e-09
CAL120,SY-1365,0.000316,$k_{M}$$k_{G1}$,0.13535783238210172,1.1820697892256559e-09
CAL120,SY-1365,0.000316,$k_{\phi}$,0.5289386667320087,1.1820697892256559e-09
CAL120,SY-1365,0.000316,$k_{S}$,0.10653413222156388,8.080362332350906e-10
CAL120,SY-1365,0.000316,$k_{G2}$,0.09607111393897502,8.080362332350906e-10
CAL120,SY-1365,0.000316,$k_{M}$$k_{G1}$,0.13314089665443749,8.080362332350906e-10
CAL120,SY-1365,0.000316,$k_{\phi}$,0.4881011646699556,8.080362332350906e-10
CAL120,SY-1365,0.001,$k_{S}$,0.04099705711745036,9.233069180623394e-11
CAL120,SY-1365,0.001,$k_{G2}$,0.11196085274701068,9.233069180623394e-11
CAL120,SY-1365,0.001,$k_{M}$$k_{G1}$,0.04446093626440202,9.233069180623394e-11
CAL120,SY-1365,0.001,$k_{\phi}$,0.15075443908334502,9.233069180623394e-11
CAL120,SY-1365,0.001,$k_{S}$,0.039838419926155715,7.627741337580146e-11
CAL120,SY-1365,0.001,$k_{G2}$,0.059396816238953015,7.627741337580146e-11
CAL120,SY-1365,0.001,$k_{M}$$k_{G1}$,0.03828300289339606,7.627741337580146e-11
CAL120,SY-1365,0.001,$k_{\phi}$,0.16678549049383828,7.627741337580146e-11
CAL120,SY-1365,0.001,$k_{S}$,0.04105678316767634,2.3156522152794353e-11
