cell_line,agent,concentration,parameter,rate,obj_func
CAL120,THZ531,0.0001,$k_{S}$,0.09188560645607524,1.0370240369420622e-09
CAL120,THZ531,0.0001,$k_{G2}$,0.09191103997865975,1.0370240369420622e-09
CAL120,THZ531,0.0001,$k_{M}$$k_{G1}$,0.13260772934853718,1.0370240369420622e-09
CAL120,THZ531,0.0001,$k_{\phi}$,0.43122988516497596,1.0370240369420622e-09
CAL120,THZ531,0.0001,$k_{S}$,0.10935940598878324,9.43077538371097e-10
CAL120,THZ531,0.0001,$k_{G2}$,0.0857663523036339,9.43077538371097e-10
CAL120,THZ531,0.0001,$k_{M}$$k_{G1}$,0.15282074077616442,9.43077538371097e-10
CAL120,THZ531,0.0001,$k_{\phi}$,0.6044126416574025,9.43077538371097e-10
CAL120,THZ531,0.0001,$k_{S}$,0.10997423581292523,1.3786482133988271e-09
CAL120,THZ531,0.0001,$k_{G2}$,0.08269021731814291,1.3786482133988271e-09
CAL120,THZ531,0.0001,$k_{M}$$k_{G1}$,0.1362759835150803,1.3786482133988271e-09
CAL120,THZ531,0.0001,$k_{\phi}$,0.4884695642558572,1.3786482133988271e-09
CAL120,THZ531,0.000316,$k_{S}$,0.10606148332769759,1.9657589997723394e-09
CAL120,THZ531,0.000316,$k_{G2}$,0.08956442264122316,1.9657589997723394e-09
CAL120,THZ531,0.000316,$k_{M}$$k_{G1}$,0.15254279421926065,1.9657589997723394e-09
CAL120,THZ531,0.000316,$k_{\phi}$,0.4763347126860795,1.9657589997723394e-09
CAL120,THZ531,0.000316,$k_{S}$,0.10136533810080305,1.59920723643726e-09
CAL120,THZ531,0.000316,$k_{G2}$,0.09050436541744783,1.59920723643726e-09
CAL120,THZ531,0.000316,$k_{M}$$k_{G1}$,0.13466451352593517,1.59920723643726e-09
CAL120,THZ531,0.000316,$k_{\phi}$,0.6466864765831621,1.59920723643726e-09
CAL120,THZ531,0.000316,$k_{S}$,0.10108119916243295,1.1958771391969796e-09
CAL120,THZ531,0.000316,$k_{G2}$,0.08888857904176314,1.1958771391969796e-09
CAL120,THZ531,0.000316,$k_{M}$$k_{G1}$,0.12118071310309328,1.1958771391969796e-09
CAL120,THZ531,0.000316,$k_{\phi}$,0.4591246667758212,1.1958771391969796e-09
CAL120,THZ531,0.031623,$k_{S}$,0.10290788165166177,5.575197754941282e-10
CAL120,THZ531,0.031623,$k_{G2}$,0.08198770741013714,5.575197754941282e-10
CAL120,THZ531,0.031623,$k_{M}$$k_{G1}$,0.12652704668298168,5.575197754941282e-10
CAL120,THZ531,0.031623,$k_{\phi}$,0.4152051171816827,5.575197754941282e-10
CAL120,THZ531,0.031623,$k_{S}$,0.09203839703657866,2.5921529831659523e-10
CAL120,THZ531,0.031623,$k_{G2}$,0.07803067647074229,2.5921529831659523e-10
CAL120,THZ531,0.031623,$k_{M}$$k_{G1}$,0.11513002257516217,2.5921529831659523e-10
CAL120,THZ531,0.031623,$k_{\phi}$,0.4707378552552646,2.5921529831659523e-10
CAL120,THZ531,0.031623,$k_{S}$,0.10806120148362788,6.525790517013938e-10
CAL120,THZ531,0.031623,$k_{G2}$,0.08022383988986329,6.525790517013938e-10
CAL120,THZ531,0.031623,$k_{M}$$k_{G1}$,0.14191158973133872,6.525790517013938e-10
CAL120,THZ531,0.031623,$k_{\phi}$,0.47691628166503464,6.525790517013938e-10
CAL120,THZ531,0.316228,$k_{S}$,0.03684741698504131,1.8798441219452382e-10
CAL120,THZ531,0.316228,$k_{G2}$,0.07297083626176726,1.8798441219452382e-10
CAL120,THZ531,0.316228,$k_{M}$$k_{G1}$,0.02342751307197692,1.8798441219452382e-10
CAL120,THZ531,0.316228,$k_{\phi}$,0.3361386269345709,1.8798441219452382e-10
CAL120,THZ531,0.316228,$k_{S}$,0.024080658414767343,7.564710995542782e-11
CAL120,THZ531,0.316228,$k_{G2}$,0.04945849894569677,7.564710995542782e-11
CAL120,THZ531,0.316228,$k_{M}$$k_{G1}$,0.014744864058502397,7.564710995542782e-11
CAL120,THZ531,0.316228,$k_{\phi}$,0.19465858473624686,7.564710995542782e-11
CAL120,THZ531,0.316228,$k_{S}$,0.03594393082077191,1.1671242521258418e-10
CAL120,THZ531,0.316228,$k_{G2}$,0.07030146648328574,1.1671242521258418e-10
CAL120,THZ531,0.316228,$k_{M}$$k_{G1}$,0.01946895467083511,1.1671242521258418e-10
CAL120,THZ531,0.316228,$k_{\phi}$,0.17696638767407127,1.1671242521258418e-10
CAL120,THZ531,0.01,$k_{S}$,0.10914524558519317,2.0830814753486147e-09
CAL120,THZ531,0.01,$k_{G2}$,0.08767775833528876,2.0830814753486147e-09
CAL120,THZ531,0.01,$k_{M}$$k_{G1}$,0.1455268253993967,2.0830814753486147e-09
CAL120,THZ531,0.01,$k_{\phi}$,0.5493721691162764,2.0830814753486147e-09
CAL120,THZ531,0.01,$k_{S}$,0.12028786418220563,2.4550826863042538e-09
CAL120,THZ531,0.01,$k_{G2}$,0.08964832795154946,2.4550826863042538e-09
CAL120,THZ531,0.01,$k_{M}$$k_{G1}$,0.1331233793631288,2.4550826863042538e-09
CAL120,THZ531,0.01,$k_{\phi}$,0.5106010149242746,2.4550826863042538e-09
CAL120,THZ531,0.01,$k_{S}$,0.10968514886149733,6.933496344906598e-10
CAL120,THZ531,0.01,$k_{G2}$,0.09006053330799368,6.933496344906598e-10
CAL120,THZ531,0.01,$k_{M}$$k_{G1}$,0.1501885991301421,6.933496344906598e-10
CAL120,THZ531,0.01,$k_{\phi}$,0.4180942606513881,6.933496344906598e-10
CAL120,THZ531,0.003162,$k_{S}$,0.11852763005560847,1.1934793117292644e-09
CAL120,THZ531,0.003162,$k_{G2}$,0.08723873743885781,1.1934793117292644e-09
CAL120,THZ531,0.003162,$k_{M}$$k_{G1}$,0.14967163752115964,1.1934793117292644e-09
CAL120,THZ531,0.003162,$k_{\phi}$,0.4440867258545194,1.1934793117292644e-09
CAL120,THZ531,0.003162,$k_{S}$,0.11572079113977893,29.019909832679428
CAL120,THZ531,0.003162,$k_{G2}$,0.08894653637157404,29.019909832679428
CAL120,THZ531,0.003162,$k_{M}$$k_{G1}$,0.12658439114677966,29.019909832679428
CAL120,THZ531,0.003162,$k_{\phi}$,0.5687786514732278,29.019909832679428
CAL120,THZ531,0.003162,$k_{S}$,0.10060311418413835,1.2803400003782006e-09
CAL120,THZ531,0.003162,$k_{G2}$,0.08756183078211069,1.2803400003782006e-09
CAL120,THZ531,0.003162,$k_{M}$$k_{G1}$,0.13306841316569643,1.2803400003782006e-09
CAL120,THZ531,0.003162,$k_{\phi}$,0.43009190043853074,1.2803400003782006e-09
CAL120,THZ531,0.1,$k_{S}$,0.08420083554120109,3.9433950502002095e-10
CAL120,THZ531,0.1,$k_{G2}$,0.05799883452031077,3.9433950502002095e-10
CAL120,THZ531,0.1,$k_{M}$$k_{G1}$,0.11986434424571835,3.9433950502002095e-10
CAL120,THZ531,0.1,$k_{\phi}$,0.36247182481285967,3.9433950502002095e-10
