cell_line,agent,concentration,parameter,rate,obj_func
CAL51,BMS-265246,10.0,$k_{S}$,0.04113371210561835,2.980817936061491e-10
CAL51,BMS-265246,10.0,$k_{G2}$,0.1612063538007001,2.980817936061491e-10
CAL51,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.018414081530100518,2.980817936061491e-10
CAL51,BMS-265246,10.0,$k_{\phi}$,0.3155597960664707,2.980817936061491e-10
CAL51,BMS-265246,10.0,$k_{S}$,0.066942874004313,6.952870245105659e-10
CAL51,BMS-265246,10.0,$k_{G2}$,0.061804425571207335,6.952870245105659e-10
CAL51,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.037617696645238306,6.952870245105659e-10
CAL51,BMS-265246,10.0,$k_{\phi}$,0.5639627944066068,6.952870245105659e-10
CAL51,BMS-265246,10.0,$k_{S}$,0.056153471293960304,3.717359537426591e-10
CAL51,BMS-265246,10.0,$k_{G2}$,0.10412363244231485,3.717359537426591e-10
CAL51,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.03151558761736335,3.717359537426591e-10
CAL51,BMS-265246,10.0,$k_{\phi}$,0.3250763170923866,3.717359537426591e-10
CAL51,BMS-265246,0.003162,$k_{S}$,0.11201494740966716,7.664690456649262e-09
CAL51,BMS-265246,0.003162,$k_{G2}$,0.07661361050373272,7.664690456649262e-09
CAL51,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.18672679619933863,7.664690456649262e-09
CAL51,BMS-265246,0.003162,$k_{\phi}$,1.1944999792239963,7.664690456649262e-09
CAL51,BMS-265246,0.003162,$k_{S}$,0.1278699918660509,1.8868187935055354e-08
CAL51,BMS-265246,0.003162,$k_{G2}$,0.08145470008409184,1.8868187935055354e-08
CAL51,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.18027676968321082,1.8868187935055354e-08
CAL51,BMS-265246,0.003162,$k_{\phi}$,1.019292155130975,1.8868187935055354e-08
CAL51,BMS-265246,0.003162,$k_{S}$,0.13472342538775137,1.8798809338929954e-08
CAL51,BMS-265246,0.003162,$k_{G2}$,0.09313311921083638,1.8798809338929954e-08
CAL51,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.1952141802601471,1.8798809338929954e-08
CAL51,BMS-265246,0.003162,$k_{\phi}$,1.1706333768999957,1.8798809338929954e-08
CAL51,BMS-265246,0.001,$k_{S}$,0.1231241039758153,1.3353488958051498e-08
CAL51,BMS-265246,0.001,$k_{G2}$,0.07974954813192323,1.3353488958051498e-08
CAL51,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.16774504803935275,1.3353488958051498e-08
CAL51,BMS-265246,0.001,$k_{\phi}$,1.2506715698184714,1.3353488958051498e-08
CAL51,BMS-265246,0.001,$k_{S}$,0.12150198556542806,1.0421516857284837e-08
CAL51,BMS-265246,0.001,$k_{G2}$,0.07758226499580839,1.0421516857284837e-08
CAL51,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.17965995537938836,1.0421516857284837e-08
CAL51,BMS-265246,0.001,$k_{\phi}$,0.9325374908562372,1.0421516857284837e-08
CAL51,BMS-265246,0.001,$k_{S}$,0.11674287717055955,1.6166866955683543e-08
CAL51,BMS-265246,0.001,$k_{G2}$,0.08444206964683552,1.6166866955683543e-08
CAL51,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.1695496403945594,1.6166866955683543e-08
CAL51,BMS-265246,0.001,$k_{\phi}$,1.0858955272225896,1.6166866955683543e-08
CAL51,BMS-265246,1.0,$k_{S}$,0.08779442653357146,1.4714508923103477e-09
CAL51,BMS-265246,1.0,$k_{G2}$,0.07383212888414449,1.4714508923103477e-09
CAL51,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.13794750038712553,1.4714508923103477e-09
CAL51,BMS-265246,1.0,$k_{\phi}$,0.9412208529009829,1.4714508923103477e-09
CAL51,BMS-265246,1.0,$k_{S}$,0.09305009402743587,5.217206107629838e-09
CAL51,BMS-265246,1.0,$k_{G2}$,0.08429686884909028,5.217206107629838e-09
CAL51,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.1349276002753328,5.217206107629838e-09
CAL51,BMS-265246,1.0,$k_{\phi}$,0.8260877350145737,5.217206107629838e-09
CAL51,BMS-265246,1.0,$k_{S}$,0.10307030708867589,3.38727019254238e-05
