cell_line,agent,concentration,parameter,rate,obj_func
CAL51,LEE011_Ribociclib,0.316228,$k_{S}$,0.05131607350033437,6.152837597719868e-09
CAL51,LEE011_Ribociclib,0.316228,$k_{G2}$,0.08665197157661189,6.152837597719868e-09
CAL51,LEE011_Ribociclib,0.316228,$k_{M}$$k_{G1}$,0.16297563399977638,6.152837597719868e-09
CAL51,LEE011_Ribociclib,0.316228,$k_{\phi}$,1.2887714250263906,6.152837597719868e-09
CAL51,LEE011_Ribociclib,0.316228,$k_{S}$,0.05854226052439035,7.254529870829149e-09
CAL51,LEE011_Ribociclib,0.316228,$k_{G2}$,0.08636455656965238,7.254529870829149e-09
CAL51,LEE011_Ribociclib,0.316228,$k_{M}$$k_{G1}$,0.1391859675697126,7.254529870829149e-09
CAL51,LEE011_Ribociclib,0.316228,$k_{\phi}$,1.3992459168599827,7.254529870829149e-09
CAL51,LEE011_Ribociclib,0.316228,$k_{S}$,0.05849980228369415,2.473772226267178e-09
CAL51,LEE011_Ribociclib,0.316228,$k_{G2}$,0.09423834140071911,2.473772226267178e-09
CAL51,LEE011_Ribociclib,0.316228,$k_{M}$$k_{G1}$,0.17482932624212127,2.473772226267178e-09
CAL51,LEE011_Ribociclib,0.316228,$k_{\phi}$,1.3601026707243211,2.473772226267178e-09
CAL51,LEE011_Ribociclib,3.162278,$k_{S}$,0.04186292616237268,4.802652590591408e-10
CAL51,LEE011_Ribociclib,3.162278,$k_{G2}$,0.08880260547281654,4.802652590591408e-10
CAL51,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.12084630837839937,4.802652590591408e-10
CAL51,LEE011_Ribociclib,3.162278,$k_{\phi}$,1.7194471378177223,4.802652590591408e-10
CAL51,LEE011_Ribociclib,3.162278,$k_{S}$,0.03934988285387015,1.2023283973858084e-09
CAL51,LEE011_Ribociclib,3.162278,$k_{G2}$,0.09846671315443362,1.2023283973858084e-09
CAL51,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.1304642677286156,1.2023283973858084e-09
CAL51,LEE011_Ribociclib,3.162278,$k_{\phi}$,1.6511536987520519,1.2023283973858084e-09
CAL51,LEE011_Ribociclib,3.162278,$k_{S}$,0.04523283847760989,0.0001213337533050319
CAL51,LEE011_Ribociclib,3.162278,$k_{G2}$,0.09748310451549917,0.0001213337533050319
CAL51,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.15885389035080255,0.0001213337533050319
CAL51,LEE011_Ribociclib,3.162278,$k_{\phi}$,1.4117571927613437,0.0001213337533050319
CAL51,LEE011_Ribociclib,0.001,$k_{S}$,0.10376021426659249,1.1528407210047475e-08
CAL51,LEE011_Ribociclib,0.001,$k_{G2}$,0.08649400604293314,1.1528407210047475e-08
CAL51,LEE011_Ribociclib,0.001,$k_{M}$$k_{G1}$,0.16906431765375565,1.1528407210047475e-08
CAL51,LEE011_Ribociclib,0.001,$k_{\phi}$,1.0255663574619178,1.1528407210047475e-08
CAL51,LEE011_Ribociclib,0.001,$k_{S}$,0.10483566737226678,0.007505557742745905
