cell_line,agent,concentration,parameter,rate,obj_func
CAL51,LY2606368,1e-05,$k_{S}$,0.10915026396924973,1.530934229081195e-08
CAL51,LY2606368,1e-05,$k_{G2}$,0.07160656118519733,1.530934229081195e-08
CAL51,LY2606368,1e-05,$k_{M}$$k_{G1}$,0.18308794557560917,1.530934229081195e-08
CAL51,LY2606368,1e-05,$k_{\phi}$,1.2052154262442216,1.530934229081195e-08
CAL51,LY2606368,1e-05,$k_{S}$,0.1310672420164536,1.550845083604384e-08
CAL51,LY2606368,1e-05,$k_{G2}$,0.07755517736311689,1.550845083604384e-08
CAL51,LY2606368,1e-05,$k_{M}$$k_{G1}$,0.15645733681579296,1.550845083604384e-08
CAL51,LY2606368,1e-05,$k_{\phi}$,1.0605014367919408,1.550845083604384e-08
CAL51,LY2606368,1e-05,$k_{S}$,0.1287833794385998,2.2725697159134913e-08
CAL51,LY2606368,1e-05,$k_{G2}$,0.07954666872106536,2.2725697159134913e-08
CAL51,LY2606368,1e-05,$k_{M}$$k_{G1}$,0.18991511745812975,2.2725697159134913e-08
CAL51,LY2606368,1e-05,$k_{\phi}$,1.0889596423058945,2.2725697159134913e-08
CAL51,LY2606368,0.01,$k_{S}$,0.023108621004296646,2.9317918145299267e-10
CAL51,LY2606368,0.01,$k_{G2}$,0.012280455017261434,2.9317918145299267e-10
CAL51,LY2606368,0.01,$k_{M}$$k_{G1}$,0.025713506965970793,2.9317918145299267e-10
CAL51,LY2606368,0.01,$k_{\phi}$,0.17862141891173192,2.9317918145299267e-10
CAL51,LY2606368,0.01,$k_{S}$,0.04978967490441099,1.659158158681837e-10
CAL51,LY2606368,0.01,$k_{G2}$,0.019690952810226384,1.659158158681837e-10
CAL51,LY2606368,0.01,$k_{M}$$k_{G1}$,0.04168297632807981,1.659158158681837e-10
CAL51,LY2606368,0.01,$k_{\phi}$,0.13139325542278116,1.659158158681837e-10
CAL51,LY2606368,0.01,$k_{S}$,0.04517770358193495,9.298788382618976e-11
CAL51,LY2606368,0.01,$k_{G2}$,0.017007689209346113,9.298788382618976e-11
CAL51,LY2606368,0.01,$k_{M}$$k_{G1}$,0.03939211881821154,9.298788382618976e-11
CAL51,LY2606368,0.01,$k_{\phi}$,0.5833617186192769,9.298788382618976e-11
CAL51,LY2606368,0.1,$k_{S}$,0.06157810580981941,1.9817474425879617e-10
CAL51,LY2606368,0.1,$k_{G2}$,0.01825971808175144,1.9817474425879617e-10
CAL51,LY2606368,0.1,$k_{M}$$k_{G1}$,0.04735189285093118,1.9817474425879617e-10
CAL51,LY2606368,0.1,$k_{\phi}$,0.16185621302288256,1.9817474425879617e-10
CAL51,LY2606368,0.1,$k_{S}$,0.0550003319874826,1.7222848776865515e-10
CAL51,LY2606368,0.1,$k_{G2}$,0.016719629906620573,1.7222848776865515e-10
CAL51,LY2606368,0.1,$k_{M}$$k_{G1}$,0.03859262847468659,1.7222848776865515e-10
CAL51,LY2606368,0.1,$k_{\phi}$,0.19522123420509377,1.7222848776865515e-10
CAL51,LY2606368,0.1,$k_{S}$,0.04606625356186845,1.4020472778613357e-10
CAL51,LY2606368,0.1,$k_{G2}$,0.022769709729869223,1.4020472778613357e-10
CAL51,LY2606368,0.1,$k_{M}$$k_{G1}$,0.05350373089284606,1.4020472778613357e-10
CAL51,LY2606368,0.1,$k_{\phi}$,0.12625426290426311,1.4020472778613357e-10
CAL51,LY2606368,3.2e-05,$k_{S}$,0.13432809170166807,2.064859601260545e-08
CAL51,LY2606368,3.2e-05,$k_{G2}$,0.0804273288635584,2.064859601260545e-08
CAL51,LY2606368,3.2e-05,$k_{M}$$k_{G1}$,0.18172744138952354,2.064859601260545e-08
CAL51,LY2606368,3.2e-05,$k_{\phi}$,1.0365539280641956,2.064859601260545e-08
CAL51,LY2606368,3.2e-05,$k_{S}$,0.1260265339074864,3.954335043736063e-09
CAL51,LY2606368,3.2e-05,$k_{G2}$,0.07807751028308828,3.954335043736063e-09
CAL51,LY2606368,3.2e-05,$k_{M}$$k_{G1}$,0.1772553452107207,3.954335043736063e-09
CAL51,LY2606368,3.2e-05,$k_{\phi}$,1.1418468725937936,3.954335043736063e-09
CAL51,LY2606368,3.2e-05,$k_{S}$,0.14499799516136994,5.700132721993029e-08
CAL51,LY2606368,3.2e-05,$k_{G2}$,0.09235332312213065,5.700132721993029e-08
CAL51,LY2606368,3.2e-05,$k_{M}$$k_{G1}$,0.20622188015496443,5.700132721993029e-08
CAL51,LY2606368,3.2e-05,$k_{\phi}$,1.3912915169951823,5.700132721993029e-08
CAL51,LY2606368,0.001,$k_{S}$,0.059135886384936824,1.7596985957899098e-10
CAL51,LY2606368,0.001,$k_{G2}$,0.024028552490300698,1.7596985957899098e-10
CAL51,LY2606368,0.001,$k_{M}$$k_{G1}$,0.05523534234574378,1.7596985957899098e-10
CAL51,LY2606368,0.001,$k_{\phi}$,0.49654339643514417,1.7596985957899098e-10
CAL51,LY2606368,0.001,$k_{S}$,0.03105557929637977,1.8913060254922324e-10
CAL51,LY2606368,0.001,$k_{G2}$,0.01670079206055464,1.8913060254922324e-10
CAL51,LY2606368,0.001,$k_{M}$$k_{G1}$,0.13905724354799426,1.8913060254922324e-10
CAL51,LY2606368,0.001,$k_{\phi}$,0.05027586142927105,1.8913060254922324e-10
CAL51,LY2606368,0.001,$k_{S}$,0.05642709927758475,2.2043518998642617e-10
CAL51,LY2606368,0.001,$k_{G2}$,0.03190040606767297,2.2043518998642617e-10
CAL51,LY2606368,0.001,$k_{M}$$k_{G1}$,0.06439467777733929,2.2043518998642617e-10
CAL51,LY2606368,0.001,$k_{\phi}$,0.24912262535100543,2.2043518998642617e-10
CAL51,LY2606368,0.003162,$k_{S}$,0.027172002958506497,1.8948669373742302e-10
