cell_line,agent,concentration,parameter,rate,obj_func
CAL51,R0-3306,10.0,$k_{S}$,0.04943304715146698,4.754238041497182e-10
CAL51,R0-3306,10.0,$k_{G2}$,0.09361076098859418,4.754238041497182e-10
CAL51,R0-3306,10.0,$k_{M}$$k_{G1}$,0.04257814786361984,4.754238041497182e-10
CAL51,R0-3306,10.0,$k_{\phi}$,0.6857511074045757,4.754238041497182e-10
CAL51,R0-3306,10.0,$k_{S}$,0.04463720138777904,2.657608013860762e-10
CAL51,R0-3306,10.0,$k_{G2}$,0.05481491477534261,2.657608013860762e-10
CAL51,R0-3306,10.0,$k_{M}$$k_{G1}$,0.02718956018122821,2.657608013860762e-10
CAL51,R0-3306,10.0,$k_{\phi}$,0.34029595893429315,2.657608013860762e-10
CAL51,R0-3306,10.0,$k_{S}$,0.04372415198601467,4.487041173716378e-10
CAL51,R0-3306,10.0,$k_{G2}$,0.11609593653788836,4.487041173716378e-10
CAL51,R0-3306,10.0,$k_{M}$$k_{G1}$,0.036826120252910176,4.487041173716378e-10
CAL51,R0-3306,10.0,$k_{\phi}$,0.5393767495663466,4.487041173716378e-10
CAL51,R0-3306,0.031623,$k_{S}$,0.13765573291206895,0.0018611536821769071
CAL51,R0-3306,0.031623,$k_{G2}$,0.08212499112751392,0.0018611536821769071
CAL51,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.1958555697341398,0.0018611536821769071
CAL51,R0-3306,0.031623,$k_{\phi}$,1.551685510525244,0.0018611536821769071
CAL51,R0-3306,0.031623,$k_{S}$,0.13722362515382533,2.221124218338615e-08
CAL51,R0-3306,0.031623,$k_{G2}$,0.0760885199393751,2.221124218338615e-08
CAL51,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.18679202908964654,2.221124218338615e-08
CAL51,R0-3306,0.031623,$k_{\phi}$,1.0758901396768819,2.221124218338615e-08
CAL51,R0-3306,0.031623,$k_{S}$,0.12112211607106305,1.0053935248088268e-08
CAL51,R0-3306,0.031623,$k_{G2}$,0.08599978096586151,1.0053935248088268e-08
CAL51,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.1901576580261909,1.0053935248088268e-08
CAL51,R0-3306,0.031623,$k_{\phi}$,1.1371177312254874,1.0053935248088268e-08
CAL51,R0-3306,0.01,$k_{S}$,0.12679177414612716,5.189396088577804e-09
CAL51,R0-3306,0.01,$k_{G2}$,0.07778489848196338,5.189396088577804e-09
CAL51,R0-3306,0.01,$k_{M}$$k_{G1}$,0.1696368215680724,5.189396088577804e-09
CAL51,R0-3306,0.01,$k_{\phi}$,1.0051761324349762,5.189396088577804e-09
CAL51,R0-3306,0.01,$k_{S}$,0.14052735553249393,1.3213428007396343e-08
CAL51,R0-3306,0.01,$k_{G2}$,0.08123231577065974,1.3213428007396343e-08
CAL51,R0-3306,0.01,$k_{M}$$k_{G1}$,0.16517628269104045,1.3213428007396343e-08
CAL51,R0-3306,0.01,$k_{\phi}$,0.9760109041774334,1.3213428007396343e-08
CAL51,R0-3306,0.01,$k_{S}$,0.14854876195356967,3.644846556483478e-08
CAL51,R0-3306,0.01,$k_{G2}$,0.0816987501981664,3.644846556483478e-08
CAL51,R0-3306,0.01,$k_{M}$$k_{G1}$,0.20581789973534936,3.644846556483478e-08
CAL51,R0-3306,0.01,$k_{\phi}$,1.1557979822177677,3.644846556483478e-08
CAL51,R0-3306,0.003162,$k_{S}$,0.13763631208081006,2.736601767593829e-08
CAL51,R0-3306,0.003162,$k_{G2}$,0.07721929813927442,2.736601767593829e-08
CAL51,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.204936953706215,2.736601767593829e-08
CAL51,R0-3306,0.003162,$k_{\phi}$,1.6177732856034306,2.736601767593829e-08
CAL51,R0-3306,0.003162,$k_{S}$,0.13453789047156875,0.013186786036244205
CAL51,R0-3306,0.003162,$k_{G2}$,0.07632144212142956,0.013186786036244205
CAL51,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.16327678289606087,0.013186786036244205
CAL51,R0-3306,0.003162,$k_{\phi}$,0.9957062633844227,0.013186786036244205
CAL51,R0-3306,0.003162,$k_{S}$,0.143961002800419,1.9723676183516144e-08
CAL51,R0-3306,0.003162,$k_{G2}$,0.08194502332239159,1.9723676183516144e-08
CAL51,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.18896070157656455,1.9723676183516144e-08
CAL51,R0-3306,0.003162,$k_{\phi}$,1.2164321992933411,1.9723676183516144e-08
CAL51,R0-3306,1.0,$k_{S}$,0.13767194343741,1.770544343975127e-08
CAL51,R0-3306,1.0,$k_{G2}$,0.08045408349404054,1.770544343975127e-08
CAL51,R0-3306,1.0,$k_{M}$$k_{G1}$,0.20856413942527866,1.770544343975127e-08
CAL51,R0-3306,1.0,$k_{\phi}$,1.1308541384221276,1.770544343975127e-08
CAL51,R0-3306,1.0,$k_{S}$,0.13090385400216198,0.00018675304286038083
CAL51,R0-3306,1.0,$k_{G2}$,0.08098275211269067,0.00018675304286038083
CAL51,R0-3306,1.0,$k_{M}$$k_{G1}$,0.1784173449834864,0.00018675304286038083
CAL51,R0-3306,1.0,$k_{\phi}$,1.2841298363468625,0.00018675304286038083
CAL51,R0-3306,1.0,$k_{S}$,0.1344928261925958,2.8953952776516184e-08
CAL51,R0-3306,1.0,$k_{G2}$,0.08168067757610464,2.8953952776516184e-08
CAL51,R0-3306,1.0,$k_{M}$$k_{G1}$,0.19578868668795885,2.8953952776516184e-08
CAL51,R0-3306,1.0,$k_{\phi}$,1.1638495979451404,2.8953952776516184e-08
CAL51,R0-3306,0.316228,$k_{S}$,0.14330249799503667,0.0009225493320134813
CAL51,R0-3306,0.316228,$k_{G2}$,0.07912136309717943,0.0009225493320134813
CAL51,R0-3306,0.316228,$k_{M}$$k_{G1}$,0.18597473772458506,0.0009225493320134813
CAL51,R0-3306,0.316228,$k_{\phi}$,1.06785176648544,0.0009225493320134813
CAL51,R0-3306,0.316228,$k_{S}$,0.13898626274133172,1.2629905297974982e-08
CAL51,R0-3306,0.316228,$k_{G2}$,0.07888162449326225,1.2629905297974982e-08
CAL51,R0-3306,0.316228,$k_{M}$$k_{G1}$,0.16856120522910756,1.2629905297974982e-08
CAL51,R0-3306,0.316228,$k_{\phi}$,1.1261222518288905,1.2629905297974982e-08
CAL51,R0-3306,0.316228,$k_{S}$,0.12949173997038527,8.31947151014686e-09
CAL51,R0-3306,0.316228,$k_{G2}$,0.07986297271974983,8.31947151014686e-09
CAL51,R0-3306,0.316228,$k_{M}$$k_{G1}$,0.16525816130348794,8.31947151014686e-09
CAL51,R0-3306,0.316228,$k_{\phi}$,1.0654338745872922,8.31947151014686e-09
CAL51,R0-3306,0.1,$k_{S}$,0.12794736586169367,3.208366790041777e-09
CAL51,R0-3306,0.1,$k_{G2}$,0.0755919073519175,3.208366790041777e-09
CAL51,R0-3306,0.1,$k_{M}$$k_{G1}$,0.19308779113342536,3.208366790041777e-09
CAL51,R0-3306,0.1,$k_{\phi}$,1.0468022828125072,3.208366790041777e-09
CAL51,R0-3306,0.1,$k_{S}$,0.14415579304529166,1.9608622302658903e-08
CAL51,R0-3306,0.1,$k_{G2}$,0.08852455093266004,1.9608622302658903e-08
CAL51,R0-3306,0.1,$k_{M}$$k_{G1}$,0.1821539375881113,1.9608622302658903e-08
CAL51,R0-3306,0.1,$k_{\phi}$,1.0321547661082102,1.9608622302658903e-08
CAL51,R0-3306,0.1,$k_{S}$,0.13988565366720718,3.45012584463311e-08
CAL51,R0-3306,0.1,$k_{G2}$,0.08309488069856405,3.45012584463311e-08
