cell_line,agent,concentration,parameter,rate,obj_func
CAL851,E17,0.031623,$k_{S}$,0.0014449651189400795,17289.55686690764
CAL851,E17,0.031623,$k_{G2}$,0.02233647450284109,17289.55686690764
CAL851,E17,0.031623,$k_{M}$$k_{G1}$,0.006203715936864068,17289.55686690764
CAL851,E17,0.031623,$k_{\phi}$,1e-07,17289.55686690764
CAL851,E17,0.031623,$k_{S}$,0.00570750965616798,19098.67053826055
CAL851,E17,0.031623,$k_{G2}$,0.001430696851665558,19098.67053826055
CAL851,E17,0.031623,$k_{M}$$k_{G1}$,0.008005245828159539,19098.67053826055
CAL851,E17,0.031623,$k_{\phi}$,1e-07,19098.67053826055
CAL851,E17,0.031623,$k_{S}$,1e-07,1725.9105424126778
CAL851,E17,0.031623,$k_{G2}$,0.014832218414435517,1725.9105424126778
CAL851,E17,0.031623,$k_{M}$$k_{G1}$,0.003763036983958874,1725.9105424126778
CAL851,E17,0.031623,$k_{\phi}$,0.0007959636266433684,1725.9105424126778
CAL851,E17,0.001,$k_{S}$,0.015109207554178366,6.236368831624316e-11
CAL851,E17,0.001,$k_{G2}$,0.039939824216669174,6.236368831624316e-11
CAL851,E17,0.001,$k_{M}$$k_{G1}$,0.02665197164578307,6.236368831624316e-11
CAL851,E17,0.001,$k_{\phi}$,0.10175537315358496,6.236368831624316e-11
CAL851,E17,0.001,$k_{S}$,0.011575525456693336,3.494345107122258e-10
CAL851,E17,0.001,$k_{G2}$,0.05183582258379116,3.494345107122258e-10
CAL851,E17,0.001,$k_{M}$$k_{G1}$,0.014330931855003367,3.494345107122258e-10
CAL851,E17,0.001,$k_{\phi}$,0.13645192555133762,3.494345107122258e-10
CAL851,E17,0.001,$k_{S}$,1e-07,288.8023702129778
CAL851,E17,0.001,$k_{G2}$,0.010175111222598635,288.8023702129778
CAL851,E17,0.001,$k_{M}$$k_{G1}$,0.0053976995014416934,288.8023702129778
CAL851,E17,0.001,$k_{\phi}$,0.06624778605493226,288.8023702129778
CAL851,E17,0.316228,$k_{S}$,1e-07,8085.183054821661
CAL851,E17,0.316228,$k_{G2}$,0.016697934881198286,8085.183054821661
CAL851,E17,0.316228,$k_{M}$$k_{G1}$,0.0027213248447121655,8085.183054821661
CAL851,E17,0.316228,$k_{\phi}$,1e-07,8085.183054821661
CAL851,E17,0.316228,$k_{S}$,0.001946579287964905,49207.17392546061
CAL851,E17,0.316228,$k_{G2}$,0.009777165411440004,49207.17392546061
CAL851,E17,0.316228,$k_{M}$$k_{G1}$,0.007543524110593276,49207.17392546061
