cell_line,agent,concentration,parameter,rate,obj_func
CAL851,Flavopiridol,1.0,$k_{S}$,0.008577686748446946,8324.819243789838
CAL851,Flavopiridol,1.0,$k_{G2}$,4.6142498049163366e-05,8324.819243789838
CAL851,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.00397705343653871,8324.819243789838
CAL851,Flavopiridol,1.0,$k_{\phi}$,1e-07,8324.819243789838
CAL851,Flavopiridol,1.0,$k_{S}$,1e-07,13702.100262803953
CAL851,Flavopiridol,1.0,$k_{G2}$,0.013902629743104432,13702.100262803953
CAL851,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.002031693363727434,13702.100262803953
CAL851,Flavopiridol,1.0,$k_{\phi}$,1e-07,13702.100262803953
CAL851,Flavopiridol,1.0,$k_{S}$,1e-07,32385.56672129802
CAL851,Flavopiridol,1.0,$k_{G2}$,0.00842475590357793,32385.56672129802
CAL851,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.007714889162201871,32385.56672129802
CAL851,Flavopiridol,1.0,$k_{\phi}$,0.0010618863726415916,32385.56672129802
CAL851,Flavopiridol,0.1,$k_{S}$,0.07627684595821316,3.5914020602010896e-10
CAL851,Flavopiridol,0.1,$k_{G2}$,0.05674515386922545,3.5914020602010896e-10
CAL851,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.06173800795153429,3.5914020602010896e-10
CAL851,Flavopiridol,0.1,$k_{\phi}$,0.23511512662025072,3.5914020602010896e-10
CAL851,Flavopiridol,0.1,$k_{S}$,0.06638596351056485,3.836962646702636e-10
CAL851,Flavopiridol,0.1,$k_{G2}$,0.04986376545356044,3.836962646702636e-10
CAL851,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.06174557348358654,3.836962646702636e-10
CAL851,Flavopiridol,0.1,$k_{\phi}$,0.265432803623642,3.836962646702636e-10
CAL851,Flavopiridol,0.1,$k_{S}$,0.05787897529203236,3.778547011410535e-10
CAL851,Flavopiridol,0.1,$k_{G2}$,0.05373719389490662,3.778547011410535e-10
CAL851,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.05920490394047986,3.778547011410535e-10
CAL851,Flavopiridol,0.1,$k_{\phi}$,0.32696126707496126,3.778547011410535e-10
CAL851,Flavopiridol,0.003162,$k_{S}$,0.0507080848166491,8.141190118724692e-11
CAL851,Flavopiridol,0.003162,$k_{G2}$,0.06330476904930774,8.141190118724692e-11
CAL851,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.06955485657777381,8.141190118724692e-11
