cell_line,agent,concentration,parameter,rate,obj_func
CAL851,MFH-2-90,0.031623,$k_{S}$,0.004750260096157638,25779.098127282843
CAL851,MFH-2-90,0.031623,$k_{G2}$,0.007656834613360417,25779.098127282843
CAL851,MFH-2-90,0.031623,$k_{M}$$k_{G1}$,0.012609957820363494,25779.098127282843
CAL851,MFH-2-90,0.031623,$k_{\phi}$,1e-07,25779.098127282843
CAL851,MFH-2-90,0.031623,$k_{S}$,0.005643686504602205,3026.7800273562502
CAL851,MFH-2-90,0.031623,$k_{G2}$,0.0008789427849675472,3026.7800273562502
CAL851,MFH-2-90,0.031623,$k_{M}$$k_{G1}$,0.005466357226435834,3026.7800273562502
CAL851,MFH-2-90,0.031623,$k_{\phi}$,1e-07,3026.7800273562502
CAL851,MFH-2-90,0.031623,$k_{S}$,0.0005638187573229624,35620.228172268886
CAL851,MFH-2-90,0.031623,$k_{G2}$,0.014225546435953543,35620.228172268886
CAL851,MFH-2-90,0.031623,$k_{M}$$k_{G1}$,0.014931814432774554,35620.228172268886
CAL851,MFH-2-90,0.031623,$k_{\phi}$,1e-07,35620.228172268886
CAL851,MFH-2-90,0.01,$k_{S}$,0.007754019540053436,13835.933391357494
CAL851,MFH-2-90,0.01,$k_{G2}$,0.00401218812046647,13835.933391357494
CAL851,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.017367180498180455,13835.933391357494
CAL851,MFH-2-90,0.01,$k_{\phi}$,1e-07,13835.933391357494
CAL851,MFH-2-90,0.01,$k_{S}$,0.0003283481182120424,13314.872667198837
CAL851,MFH-2-90,0.01,$k_{G2}$,0.022192718230737672,13314.872667198837
CAL851,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.006697897687598901,13314.872667198837
CAL851,MFH-2-90,0.01,$k_{\phi}$,1e-07,13314.872667198837
CAL851,MFH-2-90,0.01,$k_{S}$,1e-07,631.4790501549793
CAL851,MFH-2-90,0.01,$k_{G2}$,0.0401121301227888,631.4790501549793
CAL851,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.007981648956625693,631.4790501549793
CAL851,MFH-2-90,0.01,$k_{\phi}$,0.0038673634055330485,631.4790501549793
CAL851,MFH-2-90,0.0001,$k_{S}$,0.061002601525735126,6.848028803014691
CAL851,MFH-2-90,0.0001,$k_{G2}$,0.07238204474176882,6.848028803014691
CAL851,MFH-2-90,0.0001,$k_{M}$$k_{G1}$,0.09810656750418079,6.848028803014691
CAL851,MFH-2-90,0.0001,$k_{\phi}$,0.33786037764772775,6.848028803014691
CAL851,MFH-2-90,0.0001,$k_{S}$,0.03622738911592752,3.40502052292241e-10
CAL851,MFH-2-90,0.0001,$k_{G2}$,0.058786659315083485,3.40502052292241e-10
CAL851,MFH-2-90,0.0001,$k_{M}$$k_{G1}$,0.060168121640482124,3.40502052292241e-10
CAL851,MFH-2-90,0.0001,$k_{\phi}$,0.28010157380965833,3.40502052292241e-10
CAL851,MFH-2-90,0.0001,$k_{S}$,0.041788310430699326,9.838278352644706e-10
CAL851,MFH-2-90,0.0001,$k_{G2}$,0.06598888685874693,9.838278352644706e-10
CAL851,MFH-2-90,0.0001,$k_{M}$$k_{G1}$,0.07276326946971924,9.838278352644706e-10
CAL851,MFH-2-90,0.0001,$k_{\phi}$,0.4852071841098136,9.838278352644706e-10
CAL851,MFH-2-90,3.2e-05,$k_{S}$,0.053026746554763575,3.179384902564211e-10
CAL851,MFH-2-90,3.2e-05,$k_{G2}$,0.06630079084365961,3.179384902564211e-10
CAL851,MFH-2-90,3.2e-05,$k_{M}$$k_{G1}$,0.08216368700090224,3.179384902564211e-10
CAL851,MFH-2-90,3.2e-05,$k_{\phi}$,0.2753827778544662,3.179384902564211e-10
CAL851,MFH-2-90,3.2e-05,$k_{S}$,0.05546561021420048,1.8190451134124446e-10
CAL851,MFH-2-90,3.2e-05,$k_{G2}$,0.08629497555982442,1.8190451134124446e-10
CAL851,MFH-2-90,3.2e-05,$k_{M}$$k_{G1}$,0.09474223863122316,1.8190451134124446e-10
CAL851,MFH-2-90,3.2e-05,$k_{\phi}$,0.467592309371951,1.8190451134124446e-10
CAL851,MFH-2-90,3.2e-05,$k_{S}$,0.05145314008718886,3.1571896296793747e-10
CAL851,MFH-2-90,3.2e-05,$k_{G2}$,0.07883604513572043,3.1571896296793747e-10
CAL851,MFH-2-90,3.2e-05,$k_{M}$$k_{G1}$,0.08693087511111969,3.1571896296793747e-10
CAL851,MFH-2-90,3.2e-05,$k_{\phi}$,0.3794509048656272,3.1571896296793747e-10
CAL851,MFH-2-90,1e-05,$k_{S}$,0.04648756520518272,1.9157440544951092e-11
CAL851,MFH-2-90,1e-05,$k_{G2}$,0.05685719859230231,1.9157440544951092e-11
CAL851,MFH-2-90,1e-05,$k_{M}$$k_{G1}$,0.07324457730172439,1.9157440544951092e-11
CAL851,MFH-2-90,1e-05,$k_{\phi}$,0.27992223837326513,1.9157440544951092e-11
CAL851,MFH-2-90,1e-05,$k_{S}$,0.05765600959193564,3.0332125733681413e-10
CAL851,MFH-2-90,1e-05,$k_{G2}$,0.07575155047077851,3.0332125733681413e-10
CAL851,MFH-2-90,1e-05,$k_{M}$$k_{G1}$,0.09641646271157032,3.0332125733681413e-10
CAL851,MFH-2-90,1e-05,$k_{\phi}$,0.3718124639190866,3.0332125733681413e-10
CAL851,MFH-2-90,1e-05,$k_{S}$,0.02765182856218097,2.1580323565797098e-10
CAL851,MFH-2-90,1e-05,$k_{G2}$,0.04279474984066732,2.1580323565797098e-10
CAL851,MFH-2-90,1e-05,$k_{M}$$k_{G1}$,0.042739525140052116,2.1580323565797098e-10
CAL851,MFH-2-90,1e-05,$k_{\phi}$,0.3094035134079397,2.1580323565797098e-10
CAL851,MFH-2-90,0.001,$k_{S}$,1e-07,7913.86262363723
CAL851,MFH-2-90,0.001,$k_{G2}$,0.0019932417634974924,7913.86262363723
CAL851,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.002170337776662536,7913.86262363723
CAL851,MFH-2-90,0.001,$k_{\phi}$,1e-07,7913.86262363723
CAL851,MFH-2-90,0.001,$k_{S}$,0.004239849625441399,15459.002788357388
CAL851,MFH-2-90,0.001,$k_{G2}$,0.004260070025761815,15459.002788357388
CAL851,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.002692496653129428,15459.002788357388
CAL851,MFH-2-90,0.001,$k_{\phi}$,1e-07,15459.002788357388
CAL851,MFH-2-90,0.001,$k_{S}$,1e-07,19362.553218333036
CAL851,MFH-2-90,0.001,$k_{G2}$,0.01487347652097595,19362.553218333036
