cell_line,agent,concentration,parameter,rate,obj_func
CAMA1,AZD1775,0.003162,$k_{S}$,0.029803116102868683,1.205923609590075e-09
CAMA1,AZD1775,0.003162,$k_{G2}$,0.05627326895182771,1.205923609590075e-09
CAMA1,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.06385597746705238,1.205923609590075e-09
CAMA1,AZD1775,0.003162,$k_{\phi}$,0.8338425569524288,1.205923609590075e-09
CAMA1,AZD1775,0.003162,$k_{S}$,0.03756789766569076,1.3967649537037371e-09
CAMA1,AZD1775,0.003162,$k_{G2}$,0.05464527898385991,1.3967649537037371e-09
CAMA1,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.07507963465121882,1.3967649537037371e-09
CAMA1,AZD1775,0.003162,$k_{\phi}$,0.8178410565457707,1.3967649537037371e-09
CAMA1,AZD1775,0.003162,$k_{S}$,0.028747278179721756,9.510429298559195e-10
CAMA1,AZD1775,0.003162,$k_{G2}$,0.04951896653377373,9.510429298559195e-10
CAMA1,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.05818951498017688,9.510429298559195e-10
CAMA1,AZD1775,0.003162,$k_{\phi}$,1.2628392153823182,9.510429298559195e-10
CAMA1,AZD1775,10.0,$k_{S}$,0.0048174276847765185,10805.548284011931
CAMA1,AZD1775,10.0,$k_{G2}$,0.035923765059372254,10805.548284011931
CAMA1,AZD1775,10.0,$k_{M}$$k_{G1}$,0.003340611576688487,10805.548284011931
CAMA1,AZD1775,10.0,$k_{\phi}$,1e-07,10805.548284011931
CAMA1,AZD1775,10.0,$k_{S}$,0.00838429690410226,22772.991735096526
CAMA1,AZD1775,10.0,$k_{G2}$,0.014962183488259702,22772.991735096526
CAMA1,AZD1775,10.0,$k_{M}$$k_{G1}$,0.005437088229657736,22772.991735096526
CAMA1,AZD1775,10.0,$k_{\phi}$,1e-07,22772.991735096526
CAMA1,AZD1775,10.0,$k_{S}$,0.011236014252106526,1564.3078321665278
CAMA1,AZD1775,10.0,$k_{G2}$,0.009124505956569355,1564.3078321665278
CAMA1,AZD1775,10.0,$k_{M}$$k_{G1}$,0.016411616430175156,1564.3078321665278
CAMA1,AZD1775,10.0,$k_{\phi}$,1e-07,1564.3078321665278
CAMA1,AZD1775,0.001,$k_{S}$,0.03432812464251653,1.1822307970347076e-09
CAMA1,AZD1775,0.001,$k_{G2}$,0.06130557127881909,1.1822307970347076e-09
CAMA1,AZD1775,0.001,$k_{M}$$k_{G1}$,0.07072903618320565,1.1822307970347076e-09
CAMA1,AZD1775,0.001,$k_{\phi}$,3.5283700492563166,1.1822307970347076e-09
CAMA1,AZD1775,0.001,$k_{S}$,0.03468132266159901,3.8073085329981025e-10
CAMA1,AZD1775,0.001,$k_{G2}$,0.0502843858690526,3.8073085329981025e-10
