cell_line,agent,concentration,parameter,rate,obj_func
CAMA1,BSJ-01-175,0.1,$k_{S}$,0.015701336502879547,2.644253581306514e-10
CAMA1,BSJ-01-175,0.1,$k_{G2}$,0.05792634137199065,2.644253581306514e-10
CAMA1,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.03705224320866671,2.644253581306514e-10
CAMA1,BSJ-01-175,0.1,$k_{\phi}$,0.959556960786441,2.644253581306514e-10
CAMA1,BSJ-01-175,0.1,$k_{S}$,0.015923573202627682,5.111818436245064e-10
CAMA1,BSJ-01-175,0.1,$k_{G2}$,0.04952675859778917,5.111818436245064e-10
CAMA1,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.03362040648715204,5.111818436245064e-10
CAMA1,BSJ-01-175,0.1,$k_{\phi}$,1.1220610257007124,5.111818436245064e-10
CAMA1,BSJ-01-175,0.1,$k_{S}$,0.012410586775167863,3.7434936403524164e-10
CAMA1,BSJ-01-175,0.1,$k_{G2}$,0.04892771060539296,3.7434936403524164e-10
CAMA1,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.025987670899713756,3.7434936403524164e-10
CAMA1,BSJ-01-175,0.1,$k_{\phi}$,1.0287945973081216,3.7434936403524164e-10
CAMA1,BSJ-01-175,10.0,$k_{S}$,0.004473170081528491,116567.82926323375
CAMA1,BSJ-01-175,10.0,$k_{G2}$,0.016890464397629857,116567.82926323375
CAMA1,BSJ-01-175,10.0,$k_{M}$$k_{G1}$,0.009683242279317614,116567.82926323375
CAMA1,BSJ-01-175,10.0,$k_{\phi}$,1e-07,116567.82926323375
CAMA1,BSJ-01-175,10.0,$k_{S}$,0.007222404604460812,196193.95794729187
CAMA1,BSJ-01-175,10.0,$k_{G2}$,0.018647058811878787,196193.95794729187
CAMA1,BSJ-01-175,10.0,$k_{M}$$k_{G1}$,0.011757978716606632,196193.95794729187
CAMA1,BSJ-01-175,10.0,$k_{\phi}$,1e-07,196193.95794729187
CAMA1,BSJ-01-175,10.0,$k_{S}$,0.006002856913626897,165052.31381646503
CAMA1,BSJ-01-175,10.0,$k_{G2}$,0.017407190563758876,165052.31381646503
CAMA1,BSJ-01-175,10.0,$k_{M}$$k_{G1}$,0.010380186660873736,165052.31381646503
CAMA1,BSJ-01-175,10.0,$k_{\phi}$,1e-07,165052.31381646503
CAMA1,BSJ-01-175,1.0,$k_{S}$,0.00033181827242356054,2758.357345328083
CAMA1,BSJ-01-175,1.0,$k_{G2}$,0.0014791617493257185,2758.357345328083
CAMA1,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.0009369085047514595,2758.357345328083
CAMA1,BSJ-01-175,1.0,$k_{\phi}$,1e-07,2758.357345328083
CAMA1,BSJ-01-175,1.0,$k_{S}$,0.0013242127134808883,1.7545923449587866e-10
CAMA1,BSJ-01-175,1.0,$k_{G2}$,0.02412762773559953,1.7545923449587866e-10
CAMA1,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.007492737461834472,1.7545923449587866e-10
CAMA1,BSJ-01-175,1.0,$k_{\phi}$,0.003476437785604598,1.7545923449587866e-10
CAMA1,BSJ-01-175,1.0,$k_{S}$,0.0017378111116307417,2.504468120143078e-10
CAMA1,BSJ-01-175,1.0,$k_{G2}$,0.016697898743009535,2.504468120143078e-10
CAMA1,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.004913058380965171,2.504468120143078e-10
CAMA1,BSJ-01-175,1.0,$k_{\phi}$,0.339187699900909,2.504468120143078e-10
CAMA1,BSJ-01-175,0.003162,$k_{S}$,0.02579138565085511,6.681045480779782e-10
CAMA1,BSJ-01-175,0.003162,$k_{G2}$,0.05431968518313197,6.681045480779782e-10
CAMA1,BSJ-01-175,0.003162,$k_{M}$$k_{G1}$,0.05543212445435044,6.681045480779782e-10
CAMA1,BSJ-01-175,0.003162,$k_{\phi}$,0.7878071559395156,6.681045480779782e-10
CAMA1,BSJ-01-175,0.003162,$k_{S}$,0.02612026427375392,8.114380593927295e-10
CAMA1,BSJ-01-175,0.003162,$k_{G2}$,0.04612854142999987,8.114380593927295e-10
CAMA1,BSJ-01-175,0.003162,$k_{M}$$k_{G1}$,0.056657584800999826,8.114380593927295e-10
CAMA1,BSJ-01-175,0.003162,$k_{\phi}$,0.8526259507992929,8.114380593927295e-10
CAMA1,BSJ-01-175,0.003162,$k_{S}$,0.02779232739329203,5.550627845949888e-10
CAMA1,BSJ-01-175,0.003162,$k_{G2}$,0.0527826762483451,5.550627845949888e-10
CAMA1,BSJ-01-175,0.003162,$k_{M}$$k_{G1}$,0.060742860615540586,5.550627845949888e-10
CAMA1,BSJ-01-175,0.003162,$k_{\phi}$,0.15990132625558684,5.550627845949888e-10
CAMA1,BSJ-01-175,0.316228,$k_{S}$,0.006154766677002311,4.8115690876828e-10
CAMA1,BSJ-01-175,0.316228,$k_{G2}$,0.08227413168618165,4.8115690876828e-10
CAMA1,BSJ-01-175,0.316228,$k_{M}$$k_{G1}$,0.014079032083232267,4.8115690876828e-10
CAMA1,BSJ-01-175,0.316228,$k_{\phi}$,0.03169051719904421,4.8115690876828e-10
CAMA1,BSJ-01-175,0.316228,$k_{S}$,0.011756380548455023,8.046892778791573e-10
CAMA1,BSJ-01-175,0.316228,$k_{G2}$,0.039361939702496414,8.046892778791573e-10
CAMA1,BSJ-01-175,0.316228,$k_{M}$$k_{G1}$,0.02631254257164746,8.046892778791573e-10
CAMA1,BSJ-01-175,0.316228,$k_{\phi}$,0.9387334473581456,8.046892778791573e-10
CAMA1,BSJ-01-175,0.316228,$k_{S}$,0.01356872283838109,4.860676943881427e-10
CAMA1,BSJ-01-175,0.316228,$k_{G2}$,0.052547868733728145,4.860676943881427e-10
CAMA1,BSJ-01-175,0.316228,$k_{M}$$k_{G1}$,0.03173959861634246,4.860676943881427e-10
CAMA1,BSJ-01-175,0.316228,$k_{\phi}$,0.0727682409949068,4.860676943881427e-10
CAMA1,BSJ-01-175,3.162278,$k_{S}$,0.004057584083257998,90973.64150483317
CAMA1,BSJ-01-175,3.162278,$k_{G2}$,0.019334118649286917,90973.64150483317
CAMA1,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.012052648973212803,90973.64150483317
CAMA1,BSJ-01-175,3.162278,$k_{\phi}$,1e-07,90973.64150483317
CAMA1,BSJ-01-175,3.162278,$k_{S}$,0.005893157378796229,160720.6921927911
CAMA1,BSJ-01-175,3.162278,$k_{G2}$,0.020234344065683148,160720.6921927911
CAMA1,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.013352515769323893,160720.6921927911
CAMA1,BSJ-01-175,3.162278,$k_{\phi}$,1e-07,160720.6921927911
CAMA1,BSJ-01-175,3.162278,$k_{S}$,0.007696386743075344,216086.80797332487
CAMA1,BSJ-01-175,3.162278,$k_{G2}$,0.019073979178806696,216086.80797332487
CAMA1,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.013172128317439786,216086.80797332487
CAMA1,BSJ-01-175,3.162278,$k_{\phi}$,1e-07,216086.80797332487
CAMA1,BSJ-01-175,0.031623,$k_{S}$,0.014935926929573063,7.369741384379721e-10
CAMA1,BSJ-01-175,0.031623,$k_{G2}$,0.06760728014660906,7.369741384379721e-10
CAMA1,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.03109616162929607,7.369741384379721e-10
CAMA1,BSJ-01-175,0.031623,$k_{\phi}$,4.3150450414877595,7.369741384379721e-10
CAMA1,BSJ-01-175,0.031623,$k_{S}$,0.01682739620374504,2.6452918297468596e-10
CAMA1,BSJ-01-175,0.031623,$k_{G2}$,0.06309552082954646,2.6452918297468596e-10
CAMA1,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.03744462751984345,2.6452918297468596e-10
CAMA1,BSJ-01-175,0.031623,$k_{\phi}$,0.8532038488631766,2.6452918297468596e-10
CAMA1,BSJ-01-175,0.031623,$k_{S}$,0.013509142272059326,6.014450738752465e-10
CAMA1,BSJ-01-175,0.031623,$k_{G2}$,0.037549944090527435,6.014450738752465e-10
CAMA1,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.025261627284264045,6.014450738752465e-10
CAMA1,BSJ-01-175,0.031623,$k_{\phi}$,0.5597905361453029,6.014450738752465e-10
CAMA1,BSJ-01-175,0.001,$k_{S}$,0.03237812587317135,1.1737545620084661e-09
CAMA1,BSJ-01-175,0.001,$k_{G2}$,0.06138505928353989,1.1737545620084661e-09
