cell_line,agent,concentration,parameter,rate,obj_func
CAMA1,CDK1_2iIII,0.1,$k_{S}$,0.013665016396275983,4.555765884551455e-10
CAMA1,CDK1_2iIII,0.1,$k_{G2}$,0.04408411873209631,4.555765884551455e-10
CAMA1,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.003192521824500117,4.555765884551455e-10
CAMA1,CDK1_2iIII,0.1,$k_{\phi}$,0.0837138014774187,4.555765884551455e-10
CAMA1,CDK1_2iIII,0.1,$k_{S}$,0.013579235921785,1.6294966761630333e-10
CAMA1,CDK1_2iIII,0.1,$k_{G2}$,0.056739885205315345,1.6294966761630333e-10
CAMA1,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.0021838401550416157,1.6294966761630333e-10
CAMA1,CDK1_2iIII,0.1,$k_{\phi}$,0.045764906944953956,1.6294966761630333e-10
CAMA1,CDK1_2iIII,0.1,$k_{S}$,0.010075976672597919,2308.606459014759
CAMA1,CDK1_2iIII,0.1,$k_{G2}$,0.039157940726852525,2308.606459014759
CAMA1,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.0011725791711191783,2308.606459014759
CAMA1,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,2308.606459014759
CAMA1,CDK1_2iIII,0.1,$k_{S}$,0.012523110105665983,6.57464009602641e-10
CAMA1,CDK1_2iIII,0.1,$k_{G2}$,0.02112511226705132,6.57464009602641e-10
CAMA1,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.001965717087256343,6.57464009602641e-10
CAMA1,CDK1_2iIII,0.1,$k_{\phi}$,0.02007613281699131,6.57464009602641e-10
CAMA1,CDK1_2iIII,0.1,$k_{S}$,0.011481134421949679,251.17672327346315
CAMA1,CDK1_2iIII,0.1,$k_{G2}$,0.020421240264515028,251.17672327346315
CAMA1,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.0007898064031919294,251.17672327346315
CAMA1,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,251.17672327346315
CAMA1,CDK1_2iIII,0.1,$k_{S}$,0.011420165793248116,1294.068125349885
CAMA1,CDK1_2iIII,0.1,$k_{G2}$,0.03452444129018315,1294.068125349885
CAMA1,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.0005355452294849065,1294.068125349885
CAMA1,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,1294.068125349885
