cell_line,agent,concentration,parameter,rate,obj_func
CAMA1,LEE011_Ribociclib,10.0,$k_{S}$,0.0013902290440046578,1.7796002809228685e-10
CAMA1,LEE011_Ribociclib,10.0,$k_{G2}$,0.2803556931517915,1.7796002809228685e-10
CAMA1,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.012584504671211891,1.7796002809228685e-10
CAMA1,LEE011_Ribociclib,10.0,$k_{\phi}$,0.016502495766798887,1.7796002809228685e-10
CAMA1,LEE011_Ribociclib,10.0,$k_{S}$,0.003118735443533198,4.187332179866881e-11
CAMA1,LEE011_Ribociclib,10.0,$k_{G2}$,0.36566277344769826,4.187332179866881e-11
CAMA1,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.018319665293036094,4.187332179866881e-11
CAMA1,LEE011_Ribociclib,10.0,$k_{\phi}$,0.03832789589230192,4.187332179866881e-11
CAMA1,LEE011_Ribociclib,10.0,$k_{S}$,0.0039868365300070275,2.743351785182332e-10
CAMA1,LEE011_Ribociclib,10.0,$k_{G2}$,0.1301250839005745,2.743351785182332e-10
CAMA1,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.02200328926057954,2.743351785182332e-10
CAMA1,LEE011_Ribociclib,10.0,$k_{\phi}$,0.048074789917944664,2.743351785182332e-10
CAMA1,LEE011_Ribociclib,1.0,$k_{S}$,0.00855630915161321,2.4156583429638133e-10
CAMA1,LEE011_Ribociclib,1.0,$k_{G2}$,0.13425048829744413,2.4156583429638133e-10
CAMA1,LEE011_Ribociclib,1.0,$k_{M}$$k_{G1}$,0.03727018294103989,2.4156583429638133e-10
CAMA1,LEE011_Ribociclib,1.0,$k_{\phi}$,0.05324198548741642,2.4156583429638133e-10
CAMA1,LEE011_Ribociclib,1.0,$k_{S}$,0.0032790864678147193,3.675914046682758e-10
CAMA1,LEE011_Ribociclib,1.0,$k_{G2}$,0.05735716755443336,3.675914046682758e-10
