cell_line,agent,concentration,parameter,rate,obj_func
CAMA1,LY3023414,0.316228,$k_{S}$,0.0005349250232658095,7.2877799059609e-11
CAMA1,LY3023414,0.316228,$k_{G2}$,0.33514481363107534,7.2877799059609e-11
CAMA1,LY3023414,0.316228,$k_{M}$$k_{G1}$,0.010280743801071619,7.2877799059609e-11
CAMA1,LY3023414,0.316228,$k_{\phi}$,0.020418929599053663,7.2877799059609e-11
CAMA1,LY3023414,0.316228,$k_{S}$,0.0017331159724503482,2.189180177709861e-10
CAMA1,LY3023414,0.316228,$k_{G2}$,0.06819474623675012,2.189180177709861e-10
CAMA1,LY3023414,0.316228,$k_{M}$$k_{G1}$,0.012431072094481584,2.189180177709861e-10
CAMA1,LY3023414,0.316228,$k_{\phi}$,0.04329989711023288,2.189180177709861e-10
CAMA1,LY3023414,0.316228,$k_{S}$,0.0011764336942419263,0.00023894200349014233
CAMA1,LY3023414,0.316228,$k_{G2}$,100.0,0.00023894200349014233
CAMA1,LY3023414,0.316228,$k_{M}$$k_{G1}$,0.01288297912053237,0.00023894200349014233
CAMA1,LY3023414,0.316228,$k_{\phi}$,0.028181147551589892,0.00023894200349014233
CAMA1,LY3023414,0.01,$k_{S}$,0.002766748022541463,0.053293239608404985
CAMA1,LY3023414,0.01,$k_{G2}$,0.2999562593104169,0.053293239608404985
CAMA1,LY3023414,0.01,$k_{M}$$k_{G1}$,0.010926211615367233,0.053293239608404985
CAMA1,LY3023414,0.01,$k_{\phi}$,5.34194160677856,0.053293239608404985
CAMA1,LY3023414,0.01,$k_{S}$,0.0017397273257519213,9.984729951476404e-08
CAMA1,LY3023414,0.01,$k_{G2}$,0.1277484309691232,9.984729951476404e-08
CAMA1,LY3023414,0.01,$k_{M}$$k_{G1}$,0.01396385543347583,9.984729951476404e-08
CAMA1,LY3023414,0.01,$k_{\phi}$,3.858025407671703,9.984729951476404e-08
CAMA1,LY3023414,0.01,$k_{S}$,0.0032287435628337666,3.5241609912886374e-10
CAMA1,LY3023414,0.01,$k_{G2}$,0.2902325444075472,3.5241609912886374e-10
CAMA1,LY3023414,0.01,$k_{M}$$k_{G1}$,0.020964596667488285,3.5241609912886374e-10
CAMA1,LY3023414,0.01,$k_{\phi}$,0.043188367583274385,3.5241609912886374e-10
CAMA1,LY3023414,0.003162,$k_{S}$,0.0035904490567748733,3.499104941103281e-10
CAMA1,LY3023414,0.003162,$k_{G2}$,0.132008074270909,3.499104941103281e-10
CAMA1,LY3023414,0.003162,$k_{M}$$k_{G1}$,0.01981171514005148,3.499104941103281e-10
CAMA1,LY3023414,0.003162,$k_{\phi}$,0.03234854535127287,3.499104941103281e-10
CAMA1,LY3023414,0.003162,$k_{S}$,0.0002483622957095527,1.7930844953847636e-10
CAMA1,LY3023414,0.003162,$k_{G2}$,0.016114675967709192,1.7930844953847636e-10
CAMA1,LY3023414,0.003162,$k_{M}$$k_{G1}$,0.0065428386359021795,1.7930844953847636e-10
CAMA1,LY3023414,0.003162,$k_{\phi}$,1.8288801096337084,1.7930844953847636e-10
CAMA1,LY3023414,0.003162,$k_{S}$,0.002589686139471376,3.276190022190794e-10
CAMA1,LY3023414,0.003162,$k_{G2}$,0.04618256108122171,3.276190022190794e-10
