cell_line,agent,concentration,parameter,rate,obj_func
CAMA1,SY-1365,1e-05,$k_{S}$,0.029498916796678563,3.728630000465324e-10
CAMA1,SY-1365,1e-05,$k_{G2}$,0.052519575837476164,3.728630000465324e-10
CAMA1,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.05466379800915015,3.728630000465324e-10
CAMA1,SY-1365,1e-05,$k_{\phi}$,0.8707311460904666,3.728630000465324e-10
CAMA1,SY-1365,1e-05,$k_{S}$,0.035987747718289685,1.5007048871154207e-09
CAMA1,SY-1365,1e-05,$k_{G2}$,0.054258287780408775,1.5007048871154207e-09
CAMA1,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.07557138566071311,1.5007048871154207e-09
CAMA1,SY-1365,1e-05,$k_{\phi}$,0.8650930867347574,1.5007048871154207e-09
CAMA1,SY-1365,1e-05,$k_{S}$,0.033315229755478175,1.335993898328307e-09
CAMA1,SY-1365,1e-05,$k_{G2}$,0.05313196600509505,1.335993898328307e-09
CAMA1,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.06963389343111354,1.335993898328307e-09
CAMA1,SY-1365,1e-05,$k_{\phi}$,0.6969877374507992,1.335993898328307e-09
CAMA1,SY-1365,0.031623,$k_{S}$,0.0013300824988666418,12344.375070311846
CAMA1,SY-1365,0.031623,$k_{G2}$,0.027488981315575214,12344.375070311846
CAMA1,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.006566606428543376,12344.375070311846
CAMA1,SY-1365,0.031623,$k_{\phi}$,1e-07,12344.375070311846
CAMA1,SY-1365,0.031623,$k_{S}$,0.0017139696830005685,29099.099551332212
CAMA1,SY-1365,0.031623,$k_{G2}$,0.01921979633338128,29099.099551332212
CAMA1,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.004819385861562944,29099.099551332212
CAMA1,SY-1365,0.031623,$k_{\phi}$,1e-07,29099.099551332212
CAMA1,SY-1365,0.031623,$k_{S}$,0.002694315984138787,38095.80130956647
CAMA1,SY-1365,0.031623,$k_{G2}$,0.02319876811742895,38095.80130956647
CAMA1,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.009040173997464063,38095.80130956647
CAMA1,SY-1365,0.031623,$k_{\phi}$,1e-07,38095.80130956647
CAMA1,SY-1365,0.000316,$k_{S}$,0.01521702643698184,1.3268082893020066e-08
CAMA1,SY-1365,0.000316,$k_{G2}$,0.07094137861940952,1.3268082893020066e-08
CAMA1,SY-1365,0.000316,$k_{M}$$k_{G1}$,0.03169367157635533,1.3268082893020066e-08
CAMA1,SY-1365,0.000316,$k_{\phi}$,1.6233764685007908,1.3268082893020066e-08
CAMA1,SY-1365,0.000316,$k_{S}$,0.032460905266409615,1.2876429306218785e-09
CAMA1,SY-1365,0.000316,$k_{G2}$,0.06593263927516388,1.2876429306218785e-09
CAMA1,SY-1365,0.000316,$k_{M}$$k_{G1}$,0.07330232839581236,1.2876429306218785e-09
CAMA1,SY-1365,0.000316,$k_{\phi}$,0.8897478461928632,1.2876429306218785e-09
CAMA1,SY-1365,0.000316,$k_{S}$,0.03265497924101973,8.604824549757534e-10
CAMA1,SY-1365,0.000316,$k_{G2}$,0.046032626752308084,8.604824549757534e-10
CAMA1,SY-1365,0.000316,$k_{M}$$k_{G1}$,0.05483890912594675,8.604824549757534e-10
CAMA1,SY-1365,0.000316,$k_{\phi}$,0.8025000249213347,8.604824549757534e-10
CAMA1,SY-1365,0.001,$k_{S}$,0.0033220145247971847,2.38904404629353e-10
CAMA1,SY-1365,0.001,$k_{G2}$,0.07439458739165303,2.38904404629353e-10
CAMA1,SY-1365,0.001,$k_{M}$$k_{G1}$,0.017593152204682036,2.38904404629353e-10
CAMA1,SY-1365,0.001,$k_{\phi}$,0.05711878369083587,2.38904404629353e-10
CAMA1,SY-1365,0.001,$k_{S}$,0.0030873550294765193,6.19537193875537e-10
CAMA1,SY-1365,0.001,$k_{G2}$,0.045570244069741334,6.19537193875537e-10
CAMA1,SY-1365,0.001,$k_{M}$$k_{G1}$,0.01239681780924406,6.19537193875537e-10
CAMA1,SY-1365,0.001,$k_{\phi}$,4.202716702964193,6.19537193875537e-10
CAMA1,SY-1365,0.001,$k_{S}$,0.005527263299434729,6.869666191130605e-11
CAMA1,SY-1365,0.001,$k_{G2}$,0.10109502824704213,6.869666191130605e-11
CAMA1,SY-1365,0.001,$k_{M}$$k_{G1}$,0.020192919176262796,6.869666191130605e-11
CAMA1,SY-1365,0.001,$k_{\phi}$,0.060203159433679584,6.869666191130605e-11
CAMA1,SY-1365,0.0001,$k_{S}$,0.024145836905761053,7.159475961704118e-10
CAMA1,SY-1365,0.0001,$k_{G2}$,0.05114324890957918,7.159475961704118e-10
CAMA1,SY-1365,0.0001,$k_{M}$$k_{G1}$,0.047495450930895126,7.159475961704118e-10
CAMA1,SY-1365,0.0001,$k_{\phi}$,0.6428701277380658,7.159475961704118e-10
CAMA1,SY-1365,0.0001,$k_{S}$,0.02868098274564403,8.141936491662374e-10
CAMA1,SY-1365,0.0001,$k_{G2}$,0.04596680976583488,8.141936491662374e-10
CAMA1,SY-1365,0.0001,$k_{M}$$k_{G1}$,0.0579968888246769,8.141936491662374e-10
CAMA1,SY-1365,0.0001,$k_{\phi}$,0.7815830857197499,8.141936491662374e-10
CAMA1,SY-1365,0.0001,$k_{S}$,0.030037222394805156,1.3027297407487651e-09
CAMA1,SY-1365,0.0001,$k_{G2}$,0.06373909971045824,1.3027297407487651e-09
CAMA1,SY-1365,0.0001,$k_{M}$$k_{G1}$,0.06347716047717589,1.3027297407487651e-09
CAMA1,SY-1365,0.0001,$k_{\phi}$,3.2593663244071718,1.3027297407487651e-09
CAMA1,SY-1365,0.003162,$k_{S}$,0.0006995358943765107,6368.076151416886
CAMA1,SY-1365,0.003162,$k_{G2}$,0.016861601140950037,6368.076151416886
