cell_line,agent,concentration,parameter,rate,obj_func
CAMA1,THZ531,0.0001,$k_{S}$,0.03093163720864194,2.686562718590832e-09
CAMA1,THZ531,0.0001,$k_{G2}$,0.054885369582393685,2.686562718590832e-09
CAMA1,THZ531,0.0001,$k_{M}$$k_{G1}$,0.06022405099763031,2.686562718590832e-09
CAMA1,THZ531,0.0001,$k_{\phi}$,0.8834512297193275,2.686562718590832e-09
CAMA1,THZ531,0.0001,$k_{S}$,0.036040216765996516,8.612655638166011e-10
CAMA1,THZ531,0.0001,$k_{G2}$,0.05742264851369445,8.612655638166011e-10
CAMA1,THZ531,0.0001,$k_{M}$$k_{G1}$,0.06571977323071758,8.612655638166011e-10
CAMA1,THZ531,0.0001,$k_{\phi}$,0.8694774992199131,8.612655638166011e-10
CAMA1,THZ531,0.0001,$k_{S}$,0.03413062633015211,1.0988557964179498e-09
CAMA1,THZ531,0.0001,$k_{G2}$,0.05351480242739595,1.0988557964179498e-09
CAMA1,THZ531,0.0001,$k_{M}$$k_{G1}$,0.06883930975125141,1.0988557964179498e-09
CAMA1,THZ531,0.0001,$k_{\phi}$,0.8270266364737613,1.0988557964179498e-09
CAMA1,THZ531,0.000316,$k_{S}$,0.01976580113628072,3.0191815760373387e-10
CAMA1,THZ531,0.000316,$k_{G2}$,0.08031895062722665,3.0191815760373387e-10
CAMA1,THZ531,0.000316,$k_{M}$$k_{G1}$,0.04067177004420204,3.0191815760373387e-10
CAMA1,THZ531,0.000316,$k_{\phi}$,0.1481767617514679,3.0191815760373387e-10
CAMA1,THZ531,0.000316,$k_{S}$,0.030830945986266692,6.728340060433609e-10
CAMA1,THZ531,0.000316,$k_{G2}$,0.047676287120825986,6.728340060433609e-10
CAMA1,THZ531,0.000316,$k_{M}$$k_{G1}$,0.05394972170508694,6.728340060433609e-10
CAMA1,THZ531,0.000316,$k_{\phi}$,0.6283913039027794,6.728340060433609e-10
CAMA1,THZ531,0.000316,$k_{S}$,0.03502030337329307,8.232865488508243e-10
CAMA1,THZ531,0.000316,$k_{G2}$,0.05609590078937284,8.232865488508243e-10
CAMA1,THZ531,0.000316,$k_{M}$$k_{G1}$,0.06428382817018319,8.232865488508243e-10
CAMA1,THZ531,0.000316,$k_{\phi}$,0.6727254387702686,8.232865488508243e-10
CAMA1,THZ531,0.031623,$k_{S}$,0.02968631831074959,5.63233531831973e-10
CAMA1,THZ531,0.031623,$k_{G2}$,0.0559885037796636,5.63233531831973e-10
CAMA1,THZ531,0.031623,$k_{M}$$k_{G1}$,0.06393377744219546,5.63233531831973e-10
CAMA1,THZ531,0.031623,$k_{\phi}$,0.23803948454162024,5.63233531831973e-10
CAMA1,THZ531,0.031623,$k_{S}$,0.029294824732746166,1.1248914419607103e-09
CAMA1,THZ531,0.031623,$k_{G2}$,0.046480668220233425,1.1248914419607103e-09
CAMA1,THZ531,0.031623,$k_{M}$$k_{G1}$,0.0532141762231409,1.1248914419607103e-09
CAMA1,THZ531,0.031623,$k_{\phi}$,0.906660186773287,1.1248914419607103e-09
CAMA1,THZ531,0.031623,$k_{S}$,0.028790944178126294,8.347060209659857e-10
CAMA1,THZ531,0.031623,$k_{G2}$,0.04069381282225026,8.347060209659857e-10
