cell_line,agent,concentration,parameter,rate,obj_func
CAMA1,Torin2,0.1,$k_{S}$,0.0010189743051064134,4.951818434250061e-11
CAMA1,Torin2,0.1,$k_{G2}$,0.0430936561294505,4.951818434250061e-11
CAMA1,Torin2,0.1,$k_{M}$$k_{G1}$,0.011948566535652546,4.951818434250061e-11
CAMA1,Torin2,0.1,$k_{\phi}$,0.03100093224669493,4.951818434250061e-11
CAMA1,Torin2,0.1,$k_{S}$,1e-07,12.065144780328533
CAMA1,Torin2,0.1,$k_{G2}$,0.04080272362976628,12.065144780328533
CAMA1,Torin2,0.1,$k_{M}$$k_{G1}$,0.011786184574516224,12.065144780328533
CAMA1,Torin2,0.1,$k_{\phi}$,0.02233699517321531,12.065144780328533
CAMA1,Torin2,0.1,$k_{S}$,0.0029001801419486803,5.870801230135234e-11
CAMA1,Torin2,0.1,$k_{G2}$,0.057698865217140884,5.870801230135234e-11
CAMA1,Torin2,0.1,$k_{M}$$k_{G1}$,0.018642524630952593,5.870801230135234e-11
CAMA1,Torin2,0.1,$k_{\phi}$,0.04961340464790544,5.870801230135234e-11
CAMA1,Torin2,0.1,$k_{S}$,0.001199344894026916,2.0392341298003745e-10
CAMA1,Torin2,0.1,$k_{G2}$,0.038643475833531865,2.0392341298003745e-10
CAMA1,Torin2,0.1,$k_{M}$$k_{G1}$,0.012951576365371673,2.0392341298003745e-10
CAMA1,Torin2,0.1,$k_{\phi}$,0.051017200401511066,2.0392341298003745e-10
CAMA1,Torin2,0.1,$k_{S}$,0.002397505698875577,3.050648509622441e-10
CAMA1,Torin2,0.1,$k_{G2}$,0.23970796794293342,3.050648509622441e-10
CAMA1,Torin2,0.1,$k_{M}$$k_{G1}$,0.01696094857397029,3.050648509622441e-10
CAMA1,Torin2,0.1,$k_{\phi}$,0.04932493484912856,3.050648509622441e-10
CAMA1,Torin2,0.1,$k_{S}$,0.0011347568612035109,2.0674767011313936e-10
CAMA1,Torin2,0.1,$k_{G2}$,0.06584344759228312,2.0674767011313936e-10
CAMA1,Torin2,0.1,$k_{M}$$k_{G1}$,0.014193335541100735,2.0674767011313936e-10
CAMA1,Torin2,0.1,$k_{\phi}$,0.026305666088523454,2.0674767011313936e-10
