cell_line,agent,concentration,parameter,rate,obj_func
CAMA1,senexinb,0.031623,$k_{S}$,0.016390643262783947,4.2301601171201376e-10
CAMA1,senexinb,0.031623,$k_{G2}$,0.036528720608812446,4.2301601171201376e-10
CAMA1,senexinb,0.031623,$k_{M}$$k_{G1}$,0.02345840590773353,4.2301601171201376e-10
CAMA1,senexinb,0.031623,$k_{\phi}$,0.6860038238906543,4.2301601171201376e-10
CAMA1,senexinb,0.031623,$k_{S}$,0.03653935339907472,7.30116582323342e-10
CAMA1,senexinb,0.031623,$k_{G2}$,0.033118332156786834,7.30116582323342e-10
CAMA1,senexinb,0.031623,$k_{M}$$k_{G1}$,0.04624917673415776,7.30116582323342e-10
CAMA1,senexinb,0.031623,$k_{\phi}$,0.5498973446115588,7.30116582323342e-10
CAMA1,senexinb,0.031623,$k_{S}$,0.029621521493474766,7.88004051795896e-10
CAMA1,senexinb,0.031623,$k_{G2}$,0.03434882679451759,7.88004051795896e-10
CAMA1,senexinb,0.031623,$k_{M}$$k_{G1}$,0.038692016383906985,7.88004051795896e-10
CAMA1,senexinb,0.031623,$k_{\phi}$,0.5150248923582631,7.88004051795896e-10
CAMA1,senexinb,0.001,$k_{S}$,0.019865403513106557,4.716750696030736e-10
CAMA1,senexinb,0.001,$k_{G2}$,0.03177218985736169,4.716750696030736e-10
CAMA1,senexinb,0.001,$k_{M}$$k_{G1}$,0.042520147972467684,4.716750696030736e-10
CAMA1,senexinb,0.001,$k_{\phi}$,2.266325810349832,4.716750696030736e-10
CAMA1,senexinb,0.001,$k_{S}$,0.025892805640908893,4.915497236677796e-07
CAMA1,senexinb,0.001,$k_{G2}$,0.028600826986681437,4.915497236677796e-07
CAMA1,senexinb,0.001,$k_{M}$$k_{G1}$,0.03434341216364883,4.915497236677796e-07
CAMA1,senexinb,0.001,$k_{\phi}$,0.853222426350243,4.915497236677796e-07
CAMA1,senexinb,0.001,$k_{S}$,0.028520968676458876,3.155012938108565e-10
CAMA1,senexinb,0.001,$k_{G2}$,0.044674382551476204,3.155012938108565e-10
CAMA1,senexinb,0.001,$k_{M}$$k_{G1}$,0.04563886107442028,3.155012938108565e-10
CAMA1,senexinb,0.001,$k_{\phi}$,0.6713596780383542,3.155012938108565e-10
CAMA1,senexinb,0.01,$k_{S}$,0.0293616860222746,6.552907499098538e-10
CAMA1,senexinb,0.01,$k_{G2}$,0.03568110139087988,6.552907499098538e-10
CAMA1,senexinb,0.01,$k_{M}$$k_{G1}$,0.03753591300596029,6.552907499098538e-10
CAMA1,senexinb,0.01,$k_{\phi}$,0.5606403230906503,6.552907499098538e-10
CAMA1,senexinb,0.01,$k_{S}$,0.033404353907315255,8.978949274130194e-10
CAMA1,senexinb,0.01,$k_{G2}$,0.037658525036435055,8.978949274130194e-10
CAMA1,senexinb,0.01,$k_{M}$$k_{G1}$,0.04206980907302025,8.978949274130194e-10
CAMA1,senexinb,0.01,$k_{\phi}$,1.3531516311594862,8.978949274130194e-10
CAMA1,senexinb,0.01,$k_{S}$,0.03829579870397918,1.8553477571017051e-10
CAMA1,senexinb,0.01,$k_{G2}$,0.03968312295017614,1.8553477571017051e-10
CAMA1,senexinb,0.01,$k_{M}$$k_{G1}$,0.05626436713360822,1.8553477571017051e-10
CAMA1,senexinb,0.01,$k_{\phi}$,0.12402842072010005,1.8553477571017051e-10
CAMA1,senexinb,0.1,$k_{S}$,0.0397477288899573,9.235855604910216e-10
CAMA1,senexinb,0.1,$k_{G2}$,0.04195033798297025,9.235855604910216e-10
CAMA1,senexinb,0.1,$k_{M}$$k_{G1}$,0.048297942298629534,9.235855604910216e-10
CAMA1,senexinb,0.1,$k_{\phi}$,0.8484360274070246,9.235855604910216e-10
CAMA1,senexinb,0.1,$k_{S}$,0.025219955131782542,5.309282755892968e-10
CAMA1,senexinb,0.1,$k_{G2}$,0.02219060681977941,5.309282755892968e-10
CAMA1,senexinb,0.1,$k_{M}$$k_{G1}$,0.027987879908797274,5.309282755892968e-10
CAMA1,senexinb,0.1,$k_{\phi}$,0.4569838763440539,5.309282755892968e-10
CAMA1,senexinb,0.1,$k_{S}$,0.03805165938595704,6.406000266932962e-11
CAMA1,senexinb,0.1,$k_{G2}$,0.04369192238717633,6.406000266932962e-11
CAMA1,senexinb,0.1,$k_{M}$$k_{G1}$,0.05358078550327741,6.406000266932962e-11
CAMA1,senexinb,0.1,$k_{\phi}$,0.1313641099839113,6.406000266932962e-11
CAMA1,senexinb,1.0,$k_{S}$,0.022321325366091282,8.002604667477914e-10
CAMA1,senexinb,1.0,$k_{G2}$,0.02637294844688837,8.002604667477914e-10
CAMA1,senexinb,1.0,$k_{M}$$k_{G1}$,0.026092536054523243,8.002604667477914e-10
CAMA1,senexinb,1.0,$k_{\phi}$,0.3543526530013674,8.002604667477914e-10
CAMA1,senexinb,1.0,$k_{S}$,0.033205671260926675,4.427499541515454e-10
CAMA1,senexinb,1.0,$k_{G2}$,0.029558041952103233,4.427499541515454e-10
CAMA1,senexinb,1.0,$k_{M}$$k_{G1}$,0.04110531411964727,4.427499541515454e-10
CAMA1,senexinb,1.0,$k_{\phi}$,3.273150719690715,4.427499541515454e-10
CAMA1,senexinb,1.0,$k_{S}$,0.022833211886274535,5.626403633791081e-10
CAMA1,senexinb,1.0,$k_{G2}$,0.02743072565252107,5.626403633791081e-10
CAMA1,senexinb,1.0,$k_{M}$$k_{G1}$,0.026265033089217828,5.626403633791081e-10
CAMA1,senexinb,1.0,$k_{\phi}$,0.38136721723827194,5.626403633791081e-10
CAMA1,senexinb,0.003162,$k_{S}$,0.03355616550503034,8.829173326485395e-10
CAMA1,senexinb,0.003162,$k_{G2}$,0.041312209041212244,8.829173326485395e-10
CAMA1,senexinb,0.003162,$k_{M}$$k_{G1}$,0.0468838496796165,8.829173326485395e-10
CAMA1,senexinb,0.003162,$k_{\phi}$,1.0340006048693617,8.829173326485395e-10
CAMA1,senexinb,0.003162,$k_{S}$,0.03775181996953847,8.872361836640296e-10
CAMA1,senexinb,0.003162,$k_{G2}$,0.0367214824014697,8.872361836640296e-10
CAMA1,senexinb,0.003162,$k_{M}$$k_{G1}$,0.05437533397622541,8.872361836640296e-10
CAMA1,senexinb,0.003162,$k_{\phi}$,0.6172936658111349,8.872361836640296e-10
CAMA1,senexinb,0.003162,$k_{S}$,0.040501600872453955,1.2473953035325838e-09
CAMA1,senexinb,0.003162,$k_{G2}$,0.047361207704514484,1.2473953035325838e-09
CAMA1,senexinb,0.003162,$k_{M}$$k_{G1}$,0.059666929174477315,1.2473953035325838e-09
CAMA1,senexinb,0.003162,$k_{\phi}$,0.6404398643840878,1.2473953035325838e-09
CAMA1,senexinb,3.162278,$k_{S}$,0.02575858317072478,1.987445580156128e-08
CAMA1,senexinb,3.162278,$k_{G2}$,0.032976249655406756,1.987445580156128e-08
CAMA1,senexinb,3.162278,$k_{M}$$k_{G1}$,0.032983747248343964,1.987445580156128e-08
CAMA1,senexinb,3.162278,$k_{\phi}$,1.552562336685896,1.987445580156128e-08
CAMA1,senexinb,3.162278,$k_{S}$,0.01821704008764254,1.0220324042634047e-09
CAMA1,senexinb,3.162278,$k_{G2}$,0.019987875210899068,1.0220324042634047e-09
CAMA1,senexinb,3.162278,$k_{M}$$k_{G1}$,0.020395333609436458,1.0220324042634047e-09
CAMA1,senexinb,3.162278,$k_{\phi}$,0.32020015601618546,1.0220324042634047e-09
CAMA1,senexinb,3.162278,$k_{S}$,0.01950815852386016,4.837802783202568e-10
CAMA1,senexinb,3.162278,$k_{G2}$,0.022773535948094836,4.837802783202568e-10
CAMA1,senexinb,3.162278,$k_{M}$$k_{G1}$,0.021343217513040764,4.837802783202568e-10
CAMA1,senexinb,3.162278,$k_{\phi}$,0.5162271541553534,4.837802783202568e-10
CAMA1,senexinb,10.0,$k_{S}$,0.014284626308705481,5.5304148586754476e-11
CAMA1,senexinb,10.0,$k_{G2}$,0.02656000820185018,5.5304148586754476e-11
CAMA1,senexinb,10.0,$k_{M}$$k_{G1}$,0.019382267197051613,5.5304148586754476e-11
CAMA1,senexinb,10.0,$k_{\phi}$,0.031959371105816196,5.5304148586754476e-11
CAMA1,senexinb,10.0,$k_{S}$,0.01011045667204428,5.047393619827451e-10
CAMA1,senexinb,10.0,$k_{G2}$,0.02526407717098151,5.047393619827451e-10
CAMA1,senexinb,10.0,$k_{M}$$k_{G1}$,0.014702988144093274,5.047393619827451e-10
