cell_line,agent,concentration,parameter,rate,obj_func
EFM19,AZD1775,0.003162,$k_{S}$,0.036621384892638185,2105.6680870987043
EFM19,AZD1775,0.003162,$k_{G2}$,0.07242424933431643,2105.6680870987043
EFM19,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.11788690784739973,2105.6680870987043
EFM19,AZD1775,0.003162,$k_{\phi}$,0.6612013609284931,2105.6680870987043
EFM19,AZD1775,0.003162,$k_{S}$,0.03372667835510379,285.17673480076877
EFM19,AZD1775,0.003162,$k_{G2}$,0.07536857239614968,285.17673480076877
EFM19,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.11082977987347939,285.17673480076877
EFM19,AZD1775,0.003162,$k_{\phi}$,0.5721997749412527,285.17673480076877
EFM19,AZD1775,0.003162,$k_{S}$,0.031378661891676374,1435.3486901313483
EFM19,AZD1775,0.003162,$k_{G2}$,0.06018407446366896,1435.3486901313483
EFM19,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.10023918532854559,1435.3486901313483
EFM19,AZD1775,0.003162,$k_{\phi}$,0.40894264513592465,1435.3486901313483
EFM19,AZD1775,10.0,$k_{S}$,1e-07,38080.01470323206
EFM19,AZD1775,10.0,$k_{G2}$,0.009455543097230202,38080.01470323206
EFM19,AZD1775,10.0,$k_{M}$$k_{G1}$,0.012729794892425442,38080.01470323206
EFM19,AZD1775,10.0,$k_{\phi}$,0.0052125517961205455,38080.01470323206
EFM19,AZD1775,10.0,$k_{S}$,1e-07,41342.162893166096
EFM19,AZD1775,10.0,$k_{G2}$,0.007974073720141119,41342.162893166096
EFM19,AZD1775,10.0,$k_{M}$$k_{G1}$,0.01402064856668012,41342.162893166096
EFM19,AZD1775,10.0,$k_{\phi}$,0.004229727561637107,41342.162893166096
EFM19,AZD1775,0.001,$k_{S}$,0.03898014875316219,670.1648202421696
EFM19,AZD1775,0.001,$k_{G2}$,0.07437262419758292,670.1648202421696
EFM19,AZD1775,0.001,$k_{M}$$k_{G1}$,0.09939440165112971,670.1648202421696
EFM19,AZD1775,0.001,$k_{\phi}$,1.0191347172933254,670.1648202421696
EFM19,AZD1775,0.001,$k_{S}$,0.0353561458796867,2.3347188011793013e-10
EFM19,AZD1775,0.001,$k_{G2}$,0.07089170426594277,2.3347188011793013e-10
EFM19,AZD1775,0.001,$k_{M}$$k_{G1}$,0.12311274142716239,2.3347188011793013e-10
EFM19,AZD1775,0.001,$k_{\phi}$,0.5973681788184961,2.3347188011793013e-10
EFM19,AZD1775,0.001,$k_{S}$,0.03385043498231768,356.698657321741
EFM19,AZD1775,0.001,$k_{G2}$,0.06467670082841989,356.698657321741
EFM19,AZD1775,0.001,$k_{M}$$k_{G1}$,0.09109868783835562,356.698657321741
EFM19,AZD1775,0.001,$k_{\phi}$,0.8487005750607494,356.698657321741
EFM19,AZD1775,3.162278,$k_{S}$,0.028752482119794084,2.996452517304243e-10
EFM19,AZD1775,3.162278,$k_{G2}$,0.057392394258978366,2.996452517304243e-10
EFM19,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.07033453258820839,2.996452517304243e-10
EFM19,AZD1775,3.162278,$k_{\phi}$,0.39116069471945475,2.996452517304243e-10
EFM19,AZD1775,3.162278,$k_{S}$,0.02478359136800411,395.39044839000724
EFM19,AZD1775,3.162278,$k_{G2}$,0.0604533804660306,395.39044839000724
EFM19,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.05978342251786407,395.39044839000724
EFM19,AZD1775,3.162278,$k_{\phi}$,0.29896492745013653,395.39044839000724
EFM19,AZD1775,3.162278,$k_{S}$,0.03180286773668679,619.3065021027619
EFM19,AZD1775,3.162278,$k_{G2}$,0.06737025694612173,619.3065021027619
EFM19,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.08818416522218386,619.3065021027619
