cell_line,agent,concentration,parameter,rate,obj_func
EFM19,BMS-265246,3.162278,$k_{S}$,0.019339588916985652,722.7149629216667
EFM19,BMS-265246,3.162278,$k_{G2}$,0.07680590702833509,722.7149629216667
EFM19,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.031697961668014675,722.7149629216667
EFM19,BMS-265246,3.162278,$k_{\phi}$,0.38512591569502835,722.7149629216667
EFM19,BMS-265246,3.162278,$k_{S}$,0.012868915573442488,669.8937032788652
EFM19,BMS-265246,3.162278,$k_{G2}$,0.06619202576720068,669.8937032788652
EFM19,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.02122612101582025,669.8937032788652
EFM19,BMS-265246,3.162278,$k_{\phi}$,0.19399856237995616,669.8937032788652
EFM19,BMS-265246,3.162278,$k_{S}$,0.013504409920637325,47.36623721559161
EFM19,BMS-265246,3.162278,$k_{G2}$,0.05552602568897165,47.36623721559161
EFM19,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.022522949807194076,47.36623721559161
EFM19,BMS-265246,3.162278,$k_{\phi}$,0.19323483985639917,47.36623721559161
EFM19,BMS-265246,0.316228,$k_{S}$,0.020435570693435413,97.68371589851746
EFM19,BMS-265246,0.316228,$k_{G2}$,0.06626900137028827,97.68371589851746
EFM19,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.036403329264300205,97.68371589851746
EFM19,BMS-265246,0.316228,$k_{\phi}$,0.35609603643581506,97.68371589851746
EFM19,BMS-265246,0.316228,$k_{S}$,0.018206368673284134,1838.9832837163638
EFM19,BMS-265246,0.316228,$k_{G2}$,0.06508441400485453,1838.9832837163638
EFM19,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.036357809657257226,1838.9832837163638
EFM19,BMS-265246,0.316228,$k_{\phi}$,0.30488147821812084,1838.9832837163638
EFM19,BMS-265246,0.316228,$k_{S}$,0.01846292102417416,319.8284033273932
EFM19,BMS-265246,0.316228,$k_{G2}$,0.06912347005078402,319.8284033273932
EFM19,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.041627631466096805,319.8284033273932
EFM19,BMS-265246,0.316228,$k_{\phi}$,0.3914443620572145,319.8284033273932
EFM19,BMS-265246,10.0,$k_{S}$,0.011677120967458038,1511.8056879522858
EFM19,BMS-265246,10.0,$k_{G2}$,0.15898687654940966,1511.8056879522858
EFM19,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.013051600962314145,1511.8056879522858
EFM19,BMS-265246,10.0,$k_{\phi}$,0.2018812423933811,1511.8056879522858
EFM19,BMS-265246,10.0,$k_{S}$,0.011023190056672488,1.378874679024659e-06
EFM19,BMS-265246,10.0,$k_{G2}$,0.052848809066537064,1.378874679024659e-06
EFM19,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.007058523147856375,1.378874679024659e-06
EFM19,BMS-265246,10.0,$k_{\phi}$,0.8301381987314758,1.378874679024659e-06
EFM19,BMS-265246,10.0,$k_{S}$,0.007643411439618795,4.06849301122017e-10
EFM19,BMS-265246,10.0,$k_{G2}$,0.049243336680326835,4.06849301122017e-10
EFM19,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.0075235632917939185,4.06849301122017e-10
EFM19,BMS-265246,10.0,$k_{\phi}$,0.22587272542605086,4.06849301122017e-10
EFM19,BMS-265246,0.1,$k_{S}$,0.01795230953109406,2292.813834878125
EFM19,BMS-265246,0.1,$k_{G2}$,0.048114419086759584,2292.813834878125
EFM19,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.03966815623862611,2292.813834878125
EFM19,BMS-265246,0.1,$k_{\phi}$,0.3987893649378432,2292.813834878125
EFM19,BMS-265246,0.1,$k_{S}$,0.020491409696912623,834.2713218937049
EFM19,BMS-265246,0.1,$k_{G2}$,0.05443608435731227,834.2713218937049
EFM19,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.04679408887534858,834.2713218937049
EFM19,BMS-265246,0.1,$k_{\phi}$,0.3397350885701766,834.2713218937049
EFM19,BMS-265246,0.1,$k_{S}$,0.019440831947165498,2.7109375372655257e-10
EFM19,BMS-265246,0.1,$k_{G2}$,0.02826303984913837,2.7109375372655257e-10
EFM19,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.04346488217897586,2.7109375372655257e-10
EFM19,BMS-265246,0.1,$k_{\phi}$,0.14516088579215922,2.7109375372655257e-10
EFM19,BMS-265246,1.0,$k_{S}$,0.017362575675843803,1287.6071793569658
EFM19,BMS-265246,1.0,$k_{G2}$,0.06597889648890863,1287.6071793569658
EFM19,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.0337486726381743,1287.6071793569658
EFM19,BMS-265246,1.0,$k_{\phi}$,0.3205922821827353,1287.6071793569658
EFM19,BMS-265246,1.0,$k_{S}$,0.014160893888629199,523.6146484421421
EFM19,BMS-265246,1.0,$k_{G2}$,0.059858994650054426,523.6146484421421
EFM19,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.02633047903683125,523.6146484421421
EFM19,BMS-265246,1.0,$k_{\phi}$,0.2351638499703034,523.6146484421421
EFM19,BMS-265246,1.0,$k_{S}$,0.012179771846471241,2.9014795853871497e-10
EFM19,BMS-265246,1.0,$k_{G2}$,0.03988180216160426,2.9014795853871497e-10
EFM19,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.03834980002607253,2.9014795853871497e-10
EFM19,BMS-265246,1.0,$k_{\phi}$,0.1758350554147027,2.9014795853871497e-10
EFM19,BMS-265246,0.001,$k_{S}$,0.028292326525155974,1081.4058485814737
EFM19,BMS-265246,0.001,$k_{G2}$,0.05221538150649348,1081.4058485814737
EFM19,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.06651652261262396,1081.4058485814737
EFM19,BMS-265246,0.001,$k_{\phi}$,0.4169204527798689,1081.4058485814737
EFM19,BMS-265246,0.001,$k_{S}$,0.024885832566383142,23.858937886908738
EFM19,BMS-265246,0.001,$k_{G2}$,0.05259567470960624,23.858937886908738
EFM19,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.06481463220583478,23.858937886908738
EFM19,BMS-265246,0.001,$k_{\phi}$,0.4286868332591915,23.858937886908738
EFM19,BMS-265246,0.001,$k_{S}$,0.02709489186234557,4.0642887592243394e-10
EFM19,BMS-265246,0.001,$k_{G2}$,0.056745605042786036,4.0642887592243394e-10
EFM19,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.05874641415324653,4.0642887592243394e-10
EFM19,BMS-265246,0.001,$k_{\phi}$,0.3995779099242058,4.0642887592243394e-10
EFM19,BMS-265246,0.003162,$k_{S}$,0.025594004115207934,2292.909074327422
EFM19,BMS-265246,0.003162,$k_{G2}$,0.0573165815543693,2292.909074327422
EFM19,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.05522799854128077,2292.909074327422
EFM19,BMS-265246,0.003162,$k_{\phi}$,0.36010954571891113,2292.909074327422
EFM19,BMS-265246,0.003162,$k_{S}$,0.026591653274577985,1839.08708586941
EFM19,BMS-265246,0.003162,$k_{G2}$,0.059220066535124766,1839.08708586941
EFM19,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.055663991186484234,1839.08708586941
EFM19,BMS-265246,0.003162,$k_{\phi}$,0.5274574487525082,1839.08708586941
EFM19,BMS-265246,0.003162,$k_{S}$,0.027346268701564435,62.16619023149378
EFM19,BMS-265246,0.003162,$k_{G2}$,0.05783212435412169,62.16619023149378
EFM19,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.058195460446380035,62.16619023149378
EFM19,BMS-265246,0.003162,$k_{\phi}$,0.3918682693270435,62.16619023149378
EFM19,BMS-265246,0.031623,$k_{S}$,0.024200968892099092,2105.3933710353963
EFM19,BMS-265246,0.031623,$k_{G2}$,0.07294668004664591,2105.3933710353963
EFM19,BMS-265246,0.031623,$k_{M}$$k_{G1}$,0.056609502637519994,2105.3933710353963
EFM19,BMS-265246,0.031623,$k_{\phi}$,0.31985522038221986,2105.3933710353963
EFM19,BMS-265246,0.031623,$k_{S}$,0.021565697834644862,669.9688294093346
EFM19,BMS-265246,0.031623,$k_{G2}$,0.06597459621105607,669.9688294093346
EFM19,BMS-265246,0.031623,$k_{M}$$k_{G1}$,0.04128191991715268,669.9688294093346
EFM19,BMS-265246,0.031623,$k_{\phi}$,0.33985913248002314,669.9688294093346
EFM19,BMS-265246,0.031623,$k_{S}$,0.021975849111280036,523.6780329759071
EFM19,BMS-265246,0.031623,$k_{G2}$,0.06809758050202275,523.6780329759071
EFM19,BMS-265246,0.031623,$k_{M}$$k_{G1}$,0.04778384613137929,523.6780329759071
EFM19,BMS-265246,0.031623,$k_{\phi}$,0.2919262216803055,523.6780329759071
EFM19,BMS-265246,0.01,$k_{S}$,0.021640094524103506,2014.5322798683399
EFM19,BMS-265246,0.01,$k_{G2}$,0.05021104578566278,2014.5322798683399
EFM19,BMS-265246,0.01,$k_{M}$$k_{G1}$,0.04305408939553741,2014.5322798683399
EFM19,BMS-265246,0.01,$k_{\phi}$,0.3122208777330043,2014.5322798683399
EFM19,BMS-265246,0.01,$k_{S}$,0.020471308542009983,1287.6324220297654
EFM19,BMS-265246,0.01,$k_{G2}$,0.05128231389371302,1287.6324220297654
EFM19,BMS-265246,0.01,$k_{M}$$k_{G1}$,0.0445784182739171,1287.6324220297654
EFM19,BMS-265246,0.01,$k_{\phi}$,0.3226744904955853,1287.6324220297654
EFM19,BMS-265246,0.01,$k_{S}$,0.025091948388828604,34.6230564962515
EFM19,BMS-265246,0.01,$k_{G2}$,0.0595559725597105,34.6230564962515
EFM19,BMS-265246,0.01,$k_{M}$$k_{G1}$,0.054611873828565353,34.6230564962515
EFM19,BMS-265246,0.01,$k_{\phi}$,0.2433997724556198,34.6230564962515
