cell_line,agent,concentration,parameter,rate,obj_func
EFM19,BSJ-03-123,0.1,$k_{S}$,0.0316186199480948,1926.0458852203246
EFM19,BSJ-03-123,0.1,$k_{G2}$,0.0642864089325976,1926.0458852203246
EFM19,BSJ-03-123,0.1,$k_{M}$$k_{G1}$,0.11145382030150329,1926.0458852203246
EFM19,BSJ-03-123,0.1,$k_{\phi}$,0.7420122829060611,1926.0458852203246
EFM19,BSJ-03-123,0.1,$k_{S}$,0.02597966232256456,1839.1959063725283
EFM19,BSJ-03-123,0.1,$k_{G2}$,0.05664639215425655,1839.1959063725283
EFM19,BSJ-03-123,0.1,$k_{M}$$k_{G1}$,0.10434423607952201,1839.1959063725283
EFM19,BSJ-03-123,0.1,$k_{\phi}$,0.6883124646180375,1839.1959063725283
EFM19,BSJ-03-123,0.1,$k_{S}$,0.024432491250328717,1217.0162217687775
EFM19,BSJ-03-123,0.1,$k_{G2}$,0.05625215481280604,1217.0162217687775
EFM19,BSJ-03-123,0.1,$k_{M}$$k_{G1}$,0.10906201136710911,1217.0162217687775
EFM19,BSJ-03-123,0.1,$k_{\phi}$,0.6155042079200308,1217.0162217687775
EFM19,BSJ-03-123,1.0,$k_{S}$,0.021079817465113556,1512.0480089021648
EFM19,BSJ-03-123,1.0,$k_{G2}$,0.05688162407869187,1512.0480089021648
EFM19,BSJ-03-123,1.0,$k_{M}$$k_{G1}$,0.08852979194407559,1512.0480089021648
EFM19,BSJ-03-123,1.0,$k_{\phi}$,0.45783552513637055,1512.0480089021648
EFM19,BSJ-03-123,1.0,$k_{S}$,0.01584395233222087,47.387104907565885
EFM19,BSJ-03-123,1.0,$k_{G2}$,0.04604285175579025,47.387104907565885
EFM19,BSJ-03-123,1.0,$k_{M}$$k_{G1}$,0.055809384232942454,47.387104907565885
EFM19,BSJ-03-123,1.0,$k_{\phi}$,0.572189436085007,47.387104907565885
EFM19,BSJ-03-123,1.0,$k_{S}$,0.016012357181308785,356.60802338111915
EFM19,BSJ-03-123,1.0,$k_{G2}$,0.051714956992275636,356.60802338111915
EFM19,BSJ-03-123,1.0,$k_{M}$$k_{G1}$,0.0639194028198586,356.60802338111915
EFM19,BSJ-03-123,1.0,$k_{\phi}$,0.39428397734032383,356.60802338111915
EFM19,BSJ-03-123,10.0,$k_{S}$,0.004374069115572323,2197.951024241006
EFM19,BSJ-03-123,10.0,$k_{G2}$,1.1551491730311998,2197.951024241006
EFM19,BSJ-03-123,10.0,$k_{M}$$k_{G1}$,0.013960056263839487,2197.951024241006
EFM19,BSJ-03-123,10.0,$k_{\phi}$,4.9286044941375895,2197.951024241006
EFM19,BSJ-03-123,10.0,$k_{S}$,1e-07,602.1778204506439
EFM19,BSJ-03-123,10.0,$k_{G2}$,0.05373342096351451,602.1778204506439
EFM19,BSJ-03-123,10.0,$k_{M}$$k_{G1}$,0.008390811100579659,602.1778204506439
EFM19,BSJ-03-123,10.0,$k_{\phi}$,0.5004566458731343,602.1778204506439
EFM19,BSJ-03-123,10.0,$k_{S}$,1e-07,990.3729519474579
EFM19,BSJ-03-123,10.0,$k_{G2}$,0.04189326454937219,990.3729519474579
EFM19,BSJ-03-123,10.0,$k_{M}$$k_{G1}$,0.008987223676398516,990.3729519474579
EFM19,BSJ-03-123,10.0,$k_{\phi}$,0.1923828125407673,990.3729519474579
EFM19,BSJ-03-123,3.162278,$k_{S}$,0.01847265075946484,893.0796605744591
EFM19,BSJ-03-123,3.162278,$k_{G2}$,0.05707564109902399,893.0796605744591
EFM19,BSJ-03-123,3.162278,$k_{M}$$k_{G1}$,0.061869080005767046,893.0796605744591
EFM19,BSJ-03-123,3.162278,$k_{\phi}$,0.7680800355293941,893.0796605744591
EFM19,BSJ-03-123,3.162278,$k_{S}$,0.01464003230701185,1590.7247620657622
EFM19,BSJ-03-123,3.162278,$k_{G2}$,0.046067724811229754,1590.7247620657622
EFM19,BSJ-03-123,3.162278,$k_{M}$$k_{G1}$,0.056299796697473536,1590.7247620657622
EFM19,BSJ-03-123,3.162278,$k_{\phi}$,1.1102941999481304,1590.7247620657622
EFM19,BSJ-03-123,3.162278,$k_{S}$,0.01335884603863408,1360.3946968067348
EFM19,BSJ-03-123,3.162278,$k_{G2}$,0.044744626723924034,1360.3946968067348
EFM19,BSJ-03-123,3.162278,$k_{M}$$k_{G1}$,0.04951759507124745,1360.3946968067348
EFM19,BSJ-03-123,3.162278,$k_{\phi}$,0.5977145391606956,1360.3946968067348
EFM19,BSJ-03-123,0.01,$k_{S}$,0.03611625470181793,670.1478971415007
EFM19,BSJ-03-123,0.01,$k_{G2}$,0.06425311201741889,670.1478971415007
EFM19,BSJ-03-123,0.01,$k_{M}$$k_{G1}$,0.11968543822936371,670.1478971415007
EFM19,BSJ-03-123,0.01,$k_{\phi}$,0.6806521529173829,670.1478971415007
EFM19,BSJ-03-123,0.01,$k_{S}$,0.03403553081694995,777.6356126673413
EFM19,BSJ-03-123,0.01,$k_{G2}$,0.05042682643686228,777.6356126673413
EFM19,BSJ-03-123,0.01,$k_{M}$$k_{G1}$,0.11177541656100597,777.6356126673413
EFM19,BSJ-03-123,0.01,$k_{\phi}$,0.5309278983837912,777.6356126673413
EFM19,BSJ-03-123,0.01,$k_{S}$,0.032800931061049046,23.875921972590405
EFM19,BSJ-03-123,0.01,$k_{G2}$,0.05367371174343112,23.875921972590405
EFM19,BSJ-03-123,0.01,$k_{M}$$k_{G1}$,0.1253235135826141,23.875921972590405
EFM19,BSJ-03-123,0.01,$k_{\phi}$,0.4289278095989633,23.875921972590405
EFM19,BSJ-03-123,0.001,$k_{S}$,0.03834748141025675,954.0478402836353
EFM19,BSJ-03-123,0.001,$k_{G2}$,0.06418363183027098,954.0478402836353
EFM19,BSJ-03-123,0.001,$k_{M}$$k_{G1}$,0.13375656470565406,954.0478402836353
EFM19,BSJ-03-123,0.001,$k_{\phi}$,0.6739993969083511,954.0478402836353
EFM19,BSJ-03-123,0.001,$k_{S}$,0.03387793263711709,1360.6393484095413
