cell_line,agent,concentration,parameter,rate,obj_func
EFM19,LY2606368,0.01,$k_{S}$,0.03356420014064221,722.9063263429498
EFM19,LY2606368,0.01,$k_{G2}$,0.08045425457799946,722.9063263429498
EFM19,LY2606368,0.01,$k_{M}$$k_{G1}$,0.09421728479598253,722.9063263429498
EFM19,LY2606368,0.01,$k_{\phi}$,0.6088183736754902,722.9063263429498
EFM19,LY2606368,0.01,$k_{S}$,0.03184785156779838,34.65410630174831
EFM19,LY2606368,0.01,$k_{G2}$,0.07525435096920541,34.65410630174831
EFM19,LY2606368,0.01,$k_{M}$$k_{G1}$,0.10591463711145954,34.65410630174831
EFM19,LY2606368,0.01,$k_{\phi}$,0.4737895418442974,34.65410630174831
EFM19,LY2606368,0.01,$k_{S}$,0.035669300787809326,395.50590964528095
EFM19,LY2606368,0.01,$k_{G2}$,0.07725187494500689,395.50590964528095
EFM19,LY2606368,0.01,$k_{M}$$k_{G1}$,0.10438587726530241,395.50590964528095
EFM19,LY2606368,0.01,$k_{\phi}$,0.6683020333048267,395.50590964528095
EFM19,LY2606368,0.000316,$k_{S}$,0.034591545453496624,118.50768951917144
EFM19,LY2606368,0.000316,$k_{G2}$,0.05781641358623242,118.50768951917144
EFM19,LY2606368,0.000316,$k_{M}$$k_{G1}$,0.09433955509878125,118.50768951917144
EFM19,LY2606368,0.000316,$k_{\phi}$,0.5389345351009422,118.50768951917144
EFM19,LY2606368,0.000316,$k_{S}$,0.03652142658807743,834.4571014357657
EFM19,LY2606368,0.000316,$k_{G2}$,0.06454044253474153,834.4571014357657
EFM19,LY2606368,0.000316,$k_{M}$$k_{G1}$,0.10861787290932248,834.4571014357657
EFM19,LY2606368,0.000316,$k_{\phi}$,0.6369988277725334,834.4571014357657
EFM19,LY2606368,0.000316,$k_{S}$,0.03530079629574055,670.1271910374007
EFM19,LY2606368,0.000316,$k_{G2}$,0.06683513147503897,670.1271910374007
EFM19,LY2606368,0.000316,$k_{M}$$k_{G1}$,0.11021419080090006,670.1271910374007
EFM19,LY2606368,0.000316,$k_{\phi}$,0.46507471869783795,670.1271910374007
EFM19,LY2606368,0.001,$k_{S}$,0.035824590242451146,1148.3326903779396
EFM19,LY2606368,0.001,$k_{G2}$,0.07448553221671733,1148.3326903779396
EFM19,LY2606368,0.001,$k_{M}$$k_{G1}$,0.10461534451461253,1148.3326903779396
EFM19,LY2606368,0.001,$k_{\phi}$,0.5002768041278096,1148.3326903779396
EFM19,LY2606368,0.001,$k_{S}$,0.03244581992847106,4.729303676595081e-10
EFM19,LY2606368,0.001,$k_{G2}$,0.06981339108069984,4.729303676595081e-10
EFM19,LY2606368,0.001,$k_{M}$$k_{G1}$,0.1052415829725825,4.729303676595081e-10
EFM19,LY2606368,0.001,$k_{\phi}$,0.4726228726309017,4.729303676595081e-10
EFM19,LY2606368,0.001,$k_{S}$,0.03465913197558491,1217.1804456298296
EFM19,LY2606368,0.001,$k_{G2}$,0.0848443590814584,1217.1804456298296
EFM19,LY2606368,0.001,$k_{M}$$k_{G1}$,0.13667040233843467,1217.1804456298296
EFM19,LY2606368,0.001,$k_{\phi}$,0.5293735617896392,1217.1804456298296
EFM19,LY2606368,1e-05,$k_{S}$,0.03427304685687302,2014.8550115113846
EFM19,LY2606368,1e-05,$k_{G2}$,0.06550010476957839,2014.8550115113846
EFM19,LY2606368,1e-05,$k_{M}$$k_{G1}$,0.12293110201757512,2014.8550115113846
EFM19,LY2606368,1e-05,$k_{\phi}$,0.6149460975884823,2014.8550115113846
EFM19,LY2606368,1e-05,$k_{S}$,0.03935811013269099,166.10065486550636
