cell_line,agent,concentration,parameter,rate,obj_func
EFM19,SY-1365,1e-05,$k_{S}$,0.043254389498179835,1081.5886306384443
EFM19,SY-1365,1e-05,$k_{G2}$,0.0661983418200902,1081.5886306384443
EFM19,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.1115272843387557,1081.5886306384443
EFM19,SY-1365,1e-05,$k_{\phi}$,0.5716103115965707,1081.5886306384443
EFM19,SY-1365,1e-05,$k_{S}$,0.03406423863444155,1217.1276186848047
EFM19,SY-1365,1e-05,$k_{G2}$,0.06565637159883563,1217.1276186848047
EFM19,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.1323492169138926,1217.1276186848047
EFM19,SY-1365,1e-05,$k_{\phi}$,0.673391422769341,1217.1276186848047
EFM19,SY-1365,1e-05,$k_{S}$,0.03867214670527464,97.78177081308313
EFM19,SY-1365,1e-05,$k_{G2}$,0.07537612385978616,97.78177081308313
EFM19,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.14764634177669056,97.78177081308313
EFM19,SY-1365,1e-05,$k_{\phi}$,0.6240963272133634,97.78177081308313
EFM19,SY-1365,0.031623,$k_{S}$,0.005494747275350771,2903.1845677236797
EFM19,SY-1365,0.031623,$k_{G2}$,0.0328204112742654,2903.1845677236797
EFM19,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.009188201068856358,2903.1845677236797
EFM19,SY-1365,0.031623,$k_{\phi}$,0.1424247768482948,2903.1845677236797
EFM19,SY-1365,0.031623,$k_{S}$,1e-07,1057.9296711363172
EFM19,SY-1365,0.031623,$k_{G2}$,0.026957292144884425,1057.9296711363172
EFM19,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.002788853391046201,1057.9296711363172
EFM19,SY-1365,0.031623,$k_{\phi}$,0.06826077112348382,1057.9296711363172
EFM19,SY-1365,0.031623,$k_{S}$,1e-07,5394.68913255011
EFM19,SY-1365,0.031623,$k_{G2}$,0.021405167642199647,5394.68913255011
EFM19,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.004396535363477359,5394.68913255011
EFM19,SY-1365,0.031623,$k_{\phi}$,0.01624033003393811,5394.68913255011
EFM19,SY-1365,0.000316,$k_{S}$,0.034664791451174216,0.7847191745194175
EFM19,SY-1365,0.000316,$k_{G2}$,0.056831078932541294,0.7847191745194175
