cell_line,agent,concentration,parameter,rate,obj_func
EFM19,THZ1,0.003162,$k_{S}$,0.03764709670817209,141.30786659854783
EFM19,THZ1,0.003162,$k_{G2}$,0.06773039220832154,141.30786659854783
EFM19,THZ1,0.003162,$k_{M}$$k_{G1}$,0.1158238647530656,141.30786659854783
EFM19,THZ1,0.003162,$k_{\phi}$,0.5747369384458496,141.30786659854783
EFM19,THZ1,0.003162,$k_{S}$,0.03222862243353112,1926.04650542241
EFM19,THZ1,0.003162,$k_{G2}$,0.05916906205227088,1926.04650542241
EFM19,THZ1,0.003162,$k_{M}$$k_{G1}$,0.12766869798796854,1926.04650542241
EFM19,THZ1,0.003162,$k_{\phi}$,0.5825488889739341,1926.04650542241
EFM19,THZ1,0.003162,$k_{S}$,0.034676600807558154,1839.2917302001115
EFM19,THZ1,0.003162,$k_{G2}$,0.07210226539472667,1839.2917302001115
EFM19,THZ1,0.003162,$k_{M}$$k_{G1}$,0.11067132606106685,1839.2917302001115
EFM19,THZ1,0.003162,$k_{\phi}$,0.45485947828002793,1839.2917302001115
EFM19,THZ1,0.01,$k_{S}$,0.03864275755625096,1360.7256662084856
EFM19,THZ1,0.01,$k_{G2}$,0.07167881255502331,1360.7256662084856
EFM19,THZ1,0.01,$k_{M}$$k_{G1}$,0.12483605490372,1360.7256662084856
EFM19,THZ1,0.01,$k_{\phi}$,0.8596090697569576,1360.7256662084856
EFM19,THZ1,0.01,$k_{S}$,0.03291141024372797,1435.3909002213309
EFM19,THZ1,0.01,$k_{G2}$,0.06337969858075126,1435.3909002213309
EFM19,THZ1,0.01,$k_{M}$$k_{G1}$,0.10907520762129438,1435.3909002213309
EFM19,THZ1,0.01,$k_{\phi}$,0.5147697838411706,1435.3909002213309
EFM19,THZ1,0.01,$k_{S}$,0.03848474037289874,395.5150270606565
EFM19,THZ1,0.01,$k_{G2}$,0.06810752955719188,395.5150270606565
EFM19,THZ1,0.01,$k_{M}$$k_{G1}$,0.11464839209179031,395.5150270606565
EFM19,THZ1,0.01,$k_{\phi}$,0.8160493660915465,395.5150270606565
EFM19,THZ1,0.000316,$k_{S}$,0.03940596949312861,1512.295750998798
EFM19,THZ1,0.000316,$k_{G2}$,0.06820506755991963,1512.295750998798
EFM19,THZ1,0.000316,$k_{M}$$k_{G1}$,0.14596108902036484,1512.295750998798
EFM19,THZ1,0.000316,$k_{\phi}$,0.7261620636092235,1512.295750998798
EFM19,THZ1,0.000316,$k_{S}$,0.037154582306221304,1081.5619750476828
EFM19,THZ1,0.000316,$k_{G2}$,0.06977156302164307,1081.5619750476828
EFM19,THZ1,0.000316,$k_{M}$$k_{G1}$,0.10845835279536375,1081.5619750476828
EFM19,THZ1,0.000316,$k_{\phi}$,0.5248368208074112,1081.5619750476828
EFM19,THZ1,0.000316,$k_{S}$,0.03948792427434422,5.651928100787759e-10
EFM19,THZ1,0.000316,$k_{G2}$,0.0774932877823998,5.651928100787759e-10
EFM19,THZ1,0.000316,$k_{M}$$k_{G1}$,0.14047645395242803,5.651928100787759e-10
EFM19,THZ1,0.000316,$k_{\phi}$,0.6570702019031255,5.651928100787759e-10
EFM19,THZ1,0.316228,$k_{S}$,0.023727713014381452,1839.1164471869588
EFM19,THZ1,0.316228,$k_{G2}$,0.07370286426072455,1839.1164471869588
EFM19,THZ1,0.316228,$k_{M}$$k_{G1}$,0.0606281027444442,1839.1164471869588
EFM19,THZ1,0.316228,$k_{\phi}$,0.5222272837192121,1839.1164471869588
EFM19,THZ1,0.316228,$k_{S}$,0.026541892730804487,893.1535073702731
EFM19,THZ1,0.316228,$k_{G2}$,0.07940140775659038,893.1535073702731
EFM19,THZ1,0.316228,$k_{M}$$k_{G1}$,0.075364455398584,893.1535073702731
EFM19,THZ1,0.316228,$k_{\phi}$,0.4840368162598591,893.1535073702731
EFM19,THZ1,0.316228,$k_{S}$,0.02024397841681678,118.4661402906456
EFM19,THZ1,0.316228,$k_{G2}$,0.07119373230941992,118.4661402906456
EFM19,THZ1,0.316228,$k_{M}$$k_{G1}$,0.04591348335556553,118.4661402906456
EFM19,THZ1,0.316228,$k_{\phi}$,0.7751305990733417,118.4661402906456
EFM19,THZ1,0.031623,$k_{S}$,0.034473910590466346,118.51634705839626
EFM19,THZ1,0.031623,$k_{G2}$,0.0629801205127036,118.51634705839626
