cell_line,agent,concentration,parameter,rate,obj_func
HCC1143,SY-1365,0.003162,$k_{S}$,1e-07,12800.986081564375
HCC1143,SY-1365,0.003162,$k_{G2}$,0.01310088222672378,12800.986081564375
HCC1143,SY-1365,0.003162,$k_{M}$$k_{G1}$,0.008895520641567047,12800.986081564375
HCC1143,SY-1365,0.003162,$k_{\phi}$,1e-07,12800.986081564375
HCC1143,SY-1365,0.003162,$k_{S}$,0.0023827530325117533,38248.4069959785
HCC1143,SY-1365,0.003162,$k_{G2}$,0.013957322194829015,38248.4069959785
HCC1143,SY-1365,0.003162,$k_{M}$$k_{G1}$,0.011024264217043181,38248.4069959785
HCC1143,SY-1365,0.003162,$k_{\phi}$,1e-07,38248.4069959785
HCC1143,SY-1365,0.003162,$k_{S}$,1e-07,13.938680596416043
HCC1143,SY-1365,0.003162,$k_{G2}$,0.016639927992670153,13.938680596416043
HCC1143,SY-1365,0.003162,$k_{M}$$k_{G1}$,0.004190508387622194,13.938680596416043
HCC1143,SY-1365,0.003162,$k_{\phi}$,0.030090014739961615,13.938680596416043
HCC1143,SY-1365,0.01,$k_{S}$,0.003932777688068075,30312.83395475405
HCC1143,SY-1365,0.01,$k_{G2}$,0.014600954577116323,30312.83395475405
HCC1143,SY-1365,0.01,$k_{M}$$k_{G1}$,0.015292222401603005,30312.83395475405
HCC1143,SY-1365,0.01,$k_{\phi}$,1e-07,30312.83395475405
HCC1143,SY-1365,0.01,$k_{S}$,1e-07,49693.61382639076
HCC1143,SY-1365,0.01,$k_{G2}$,0.017425120539309023,49693.61382639076
HCC1143,SY-1365,0.01,$k_{M}$$k_{G1}$,0.020974238771384848,49693.61382639076
HCC1143,SY-1365,0.01,$k_{\phi}$,0.00022571574870128817,49693.61382639076
HCC1143,SY-1365,0.01,$k_{S}$,1e-07,32108.954220021355
HCC1143,SY-1365,0.01,$k_{G2}$,0.02108213787730762,32108.954220021355
HCC1143,SY-1365,0.01,$k_{M}$$k_{G1}$,0.010060313383442885,32108.954220021355
HCC1143,SY-1365,0.01,$k_{\phi}$,1e-07,32108.954220021355
HCC1143,SY-1365,0.0001,$k_{S}$,0.07363050287170152,7.413871630678479e-10
HCC1143,SY-1365,0.0001,$k_{G2}$,0.04316946868168849,7.413871630678479e-10
HCC1143,SY-1365,0.0001,$k_{M}$$k_{G1}$,0.12705925578205168,7.413871630678479e-10
HCC1143,SY-1365,0.0001,$k_{\phi}$,0.5941682260531046,7.413871630678479e-10
HCC1143,SY-1365,0.0001,$k_{S}$,0.08260481548619676,157.6729674815688
HCC1143,SY-1365,0.0001,$k_{G2}$,0.038446579211972615,157.6729674815688
HCC1143,SY-1365,0.0001,$k_{M}$$k_{G1}$,0.12096383423375653,157.6729674815688
HCC1143,SY-1365,0.0001,$k_{\phi}$,0.5577802482345126,157.6729674815688
HCC1143,SY-1365,0.0001,$k_{S}$,0.0714141821605796,42.99017222550738
HCC1143,SY-1365,0.0001,$k_{G2}$,0.03986161441554894,42.99017222550738
HCC1143,SY-1365,0.0001,$k_{M}$$k_{G1}$,0.11625627024184526,42.99017222550738
HCC1143,SY-1365,0.0001,$k_{\phi}$,0.6475475182683734,42.99017222550738
HCC1143,SY-1365,1e-05,$k_{S}$,0.0843030761853674,5.458611828305218e-10
HCC1143,SY-1365,1e-05,$k_{G2}$,0.038041179558619735,5.458611828305218e-10
HCC1143,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.14885712303096973,5.458611828305218e-10
HCC1143,SY-1365,1e-05,$k_{\phi}$,0.6506744271986816,5.458611828305218e-10
HCC1143,SY-1365,1e-05,$k_{S}$,0.07746520719331149,12.651810515325169
HCC1143,SY-1365,1e-05,$k_{G2}$,0.040415475380026676,12.651810515325169
HCC1143,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.1137308374314732,12.651810515325169
HCC1143,SY-1365,1e-05,$k_{\phi}$,0.8385133179638266,12.651810515325169
HCC1143,SY-1365,1e-05,$k_{S}$,0.07486089902637162,1.0159985991324161e-09
HCC1143,SY-1365,1e-05,$k_{G2}$,0.04241355481946128,1.0159985991324161e-09
HCC1143,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.1481794201526704,1.0159985991324161e-09
HCC1143,SY-1365,1e-05,$k_{\phi}$,0.5605339875338076,1.0159985991324161e-09
HCC1143,SY-1365,0.031623,$k_{S}$,0.004126510847244743,18521.20516513726
HCC1143,SY-1365,0.031623,$k_{G2}$,0.009410629994118399,18521.20516513726
HCC1143,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.01891966765501817,18521.20516513726
HCC1143,SY-1365,0.031623,$k_{\phi}$,1e-07,18521.20516513726
HCC1143,SY-1365,0.031623,$k_{S}$,1e-07,17956.634631200737
HCC1143,SY-1365,0.031623,$k_{G2}$,0.02248602499005253,17956.634631200737
HCC1143,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.01423327527583191,17956.634631200737
HCC1143,SY-1365,0.031623,$k_{\phi}$,1e-07,17956.634631200737
HCC1143,SY-1365,0.031623,$k_{S}$,0.004360811129474476,110205.5645069982
HCC1143,SY-1365,0.031623,$k_{G2}$,0.0165485799544678,110205.5645069982
HCC1143,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.01739062690800407,110205.5645069982
HCC1143,SY-1365,0.031623,$k_{\phi}$,1e-07,110205.5645069982
HCC1143,SY-1365,0.1,$k_{S}$,0.0004553987006769676,21035.707480774705
HCC1143,SY-1365,0.1,$k_{G2}$,0.018043944662040172,21035.707480774705
HCC1143,SY-1365,0.1,$k_{M}$$k_{G1}$,0.013673826856790772,21035.707480774705
HCC1143,SY-1365,0.1,$k_{\phi}$,1e-07,21035.707480774705
HCC1143,SY-1365,0.1,$k_{S}$,1e-07,38118.05820045565
