cell_line,agent,concentration,parameter,rate,obj_func
HCC1143,senexinb,0.031623,$k_{S}$,0.08117000534960628,5.966108394081693e-10
HCC1143,senexinb,0.031623,$k_{G2}$,0.03712426784576087,5.966108394081693e-10
HCC1143,senexinb,0.031623,$k_{M}$$k_{G1}$,0.11266908212335176,5.966108394081693e-10
HCC1143,senexinb,0.031623,$k_{\phi}$,0.5201505914854058,5.966108394081693e-10
HCC1143,senexinb,0.031623,$k_{S}$,0.08426660788143144,12.642602434998777
HCC1143,senexinb,0.031623,$k_{G2}$,0.03329868814535497,12.642602434998777
HCC1143,senexinb,0.031623,$k_{M}$$k_{G1}$,0.09036430854349611,12.642602434998777
HCC1143,senexinb,0.031623,$k_{\phi}$,0.4375200266268682,12.642602434998777
HCC1143,senexinb,0.031623,$k_{S}$,0.1015408015205768,2.9705057361019254e-10
HCC1143,senexinb,0.031623,$k_{G2}$,0.037832956926905546,2.9705057361019254e-10
HCC1143,senexinb,0.031623,$k_{M}$$k_{G1}$,0.10149419821683485,2.9705057361019254e-10
HCC1143,senexinb,0.031623,$k_{\phi}$,0.5326176250004566,2.9705057361019254e-10
HCC1143,senexinb,0.003162,$k_{S}$,0.08941604814178523,0.0005558545422284472
HCC1143,senexinb,0.003162,$k_{G2}$,0.03312577451459409,0.0005558545422284472
HCC1143,senexinb,0.003162,$k_{M}$$k_{G1}$,0.12415189227517608,0.0005558545422284472
HCC1143,senexinb,0.003162,$k_{\phi}$,0.5510720138832643,0.0005558545422284472
HCC1143,senexinb,0.003162,$k_{S}$,0.07954275799270642,5.374445181092066e-10
HCC1143,senexinb,0.003162,$k_{G2}$,0.03731178814155603,5.374445181092066e-10
HCC1143,senexinb,0.003162,$k_{M}$$k_{G1}$,0.10693125673493813,5.374445181092066e-10
HCC1143,senexinb,0.003162,$k_{\phi}$,0.4807532996848525,5.374445181092066e-10
HCC1143,senexinb,0.003162,$k_{S}$,0.06623954897592205,2.9013151341383697e-06
HCC1143,senexinb,0.003162,$k_{G2}$,0.03729819081195484,2.9013151341383697e-06
HCC1143,senexinb,0.003162,$k_{M}$$k_{G1}$,0.10930267901428098,2.9013151341383697e-06
HCC1143,senexinb,0.003162,$k_{\phi}$,0.4108084435565017,2.9013151341383697e-06
HCC1143,senexinb,1.0,$k_{S}$,0.08989889992811291,1.2139528816001192e-10
HCC1143,senexinb,1.0,$k_{G2}$,0.03092043017205233,1.2139528816001192e-10
HCC1143,senexinb,1.0,$k_{M}$$k_{G1}$,0.08245568296499833,1.2139528816001192e-10
HCC1143,senexinb,1.0,$k_{\phi}$,0.3708520170567855,1.2139528816001192e-10
HCC1143,senexinb,1.0,$k_{S}$,0.08232779521760766,1.1693316973046776e-10
HCC1143,senexinb,1.0,$k_{G2}$,0.030634790999018717,1.1693316973046776e-10
HCC1143,senexinb,1.0,$k_{M}$$k_{G1}$,0.054506170316848214,1.1693316973046776e-10
HCC1143,senexinb,1.0,$k_{\phi}$,0.31208435286967007,1.1693316973046776e-10
HCC1143,senexinb,1.0,$k_{S}$,0.08879078500339396,3.3238964234814e-10
HCC1143,senexinb,1.0,$k_{G2}$,0.03393305428325832,3.3238964234814e-10
HCC1143,senexinb,1.0,$k_{M}$$k_{G1}$,0.0806476438449169,3.3238964234814e-10
HCC1143,senexinb,1.0,$k_{\phi}$,0.4025218071764061,3.3238964234814e-10
HCC1143,senexinb,0.001,$k_{S}$,0.09093758146553266,7.029672646248285e-10
HCC1143,senexinb,0.001,$k_{G2}$,0.03566769486639672,7.029672646248285e-10
HCC1143,senexinb,0.001,$k_{M}$$k_{G1}$,0.13871520579936608,7.029672646248285e-10
