cell_line,agent,concentration,parameter,rate,obj_func
HCC1395,BMS-265246,10.0,$k_{S}$,0.011863052100359947,4477.182890071303
HCC1395,BMS-265246,10.0,$k_{G2}$,0.016562180058390816,4477.182890071303
HCC1395,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.0031523920302169613,4477.182890071303
HCC1395,BMS-265246,10.0,$k_{\phi}$,1e-07,4477.182890071303
HCC1395,BMS-265246,10.0,$k_{S}$,0.011267384413760828,4125.29291383163
HCC1395,BMS-265246,10.0,$k_{G2}$,0.020516695354421858,4125.29291383163
HCC1395,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.0017685341677310174,4125.29291383163
HCC1395,BMS-265246,10.0,$k_{\phi}$,1e-07,4125.29291383163
HCC1395,BMS-265246,10.0,$k_{S}$,0.009337683352369258,3056.3417657501436
HCC1395,BMS-265246,10.0,$k_{G2}$,0.02829511393168836,3056.3417657501436
HCC1395,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.0023405566967822367,3056.3417657501436
HCC1395,BMS-265246,10.0,$k_{\phi}$,1e-07,3056.3417657501436
HCC1395,BMS-265246,0.003162,$k_{S}$,0.018471726957263204,2.440220498368087e-11
HCC1395,BMS-265246,0.003162,$k_{G2}$,0.04003126463318696,2.440220498368087e-11
HCC1395,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.0396707732556646,2.440220498368087e-11
HCC1395,BMS-265246,0.003162,$k_{\phi}$,0.07757491497454501,2.440220498368087e-11
HCC1395,BMS-265246,0.003162,$k_{S}$,0.01753444321099192,9.034039686803208e-11
HCC1395,BMS-265246,0.003162,$k_{G2}$,0.054322738975302806,9.034039686803208e-11
HCC1395,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.027054961126803643,9.034039686803208e-11
HCC1395,BMS-265246,0.003162,$k_{\phi}$,0.13118142696928223,9.034039686803208e-11
HCC1395,BMS-265246,0.003162,$k_{S}$,0.017322456419635375,1.2106463811052689e-10
HCC1395,BMS-265246,0.003162,$k_{G2}$,0.0438766591204848,1.2106463811052689e-10
HCC1395,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.03524910677931017,1.2106463811052689e-10
HCC1395,BMS-265246,0.003162,$k_{\phi}$,0.2238455514736242,1.2106463811052689e-10
HCC1395,BMS-265246,0.001,$k_{S}$,0.01681518899801154,1.1623056746756718e-10
HCC1395,BMS-265246,0.001,$k_{G2}$,0.06044287178494961,1.1623056746756718e-10
HCC1395,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.03010375115132476,1.1623056746756718e-10
HCC1395,BMS-265246,0.001,$k_{\phi}$,0.12383713211553798,1.1623056746756718e-10
HCC1395,BMS-265246,0.001,$k_{S}$,0.018100390259097057,1.0584566532185816e-10
HCC1395,BMS-265246,0.001,$k_{G2}$,0.07939776267954388,1.0584566532185816e-10
HCC1395,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.032586351968367594,1.0584566532185816e-10
HCC1395,BMS-265246,0.001,$k_{\phi}$,0.2501392036861717,1.0584566532185816e-10
HCC1395,BMS-265246,0.001,$k_{S}$,0.017793421304311368,6.844756129544746e-11
HCC1395,BMS-265246,0.001,$k_{G2}$,0.04271946788964463,6.844756129544746e-11
HCC1395,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.030292732337691492,6.844756129544746e-11
HCC1395,BMS-265246,0.001,$k_{\phi}$,0.16492796019567582,6.844756129544746e-11
HCC1395,BMS-265246,1.0,$k_{S}$,0.011516648203242769,1945.1504997039578
HCC1395,BMS-265246,1.0,$k_{G2}$,0.005888294491253726,1945.1504997039578
HCC1395,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.004296485737087192,1945.1504997039578
HCC1395,BMS-265246,1.0,$k_{\phi}$,1e-07,1945.1504997039578
HCC1395,BMS-265246,1.0,$k_{S}$,0.006377637776533421,532.907767250831
HCC1395,BMS-265246,1.0,$k_{G2}$,0.0178008822774747,532.907767250831
HCC1395,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.001777360295238195,532.907767250831
HCC1395,BMS-265246,1.0,$k_{\phi}$,1e-07,532.907767250831
HCC1395,BMS-265246,1.0,$k_{S}$,0.01918214350493827,7.988513486415215e-11
HCC1395,BMS-265246,1.0,$k_{G2}$,0.0294064091564195,7.988513486415215e-11
HCC1395,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.011391259132933353,7.988513486415215e-11
HCC1395,BMS-265246,1.0,$k_{\phi}$,0.03541875103751352,7.988513486415215e-11
HCC1395,BMS-265246,3.162278,$k_{S}$,0.01314606698642389,2814.100651028088
HCC1395,BMS-265246,3.162278,$k_{G2}$,0.005119191449347643,2814.100651028088
HCC1395,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.0021096079751474458,2814.100651028088
HCC1395,BMS-265246,3.162278,$k_{\phi}$,1e-07,2814.100651028088
HCC1395,BMS-265246,3.162278,$k_{S}$,0.008078931217422357,1365.1863332273133
HCC1395,BMS-265246,3.162278,$k_{G2}$,0.02040409910401859,1365.1863332273133
HCC1395,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.002348803632624759,1365.1863332273133
HCC1395,BMS-265246,3.162278,$k_{\phi}$,1e-07,1365.1863332273133
HCC1395,BMS-265246,3.162278,$k_{S}$,0.0070761701922403535,298.2883314963165
HCC1395,BMS-265246,3.162278,$k_{G2}$,0.017608637546639223,298.2883314963165
HCC1395,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.0025868543779074614,298.2883314963165
HCC1395,BMS-265246,3.162278,$k_{\phi}$,1e-07,298.2883314963165
HCC1395,BMS-265246,0.316228,$k_{S}$,0.007835925025125574,7.229745538586795e-11
HCC1395,BMS-265246,0.316228,$k_{G2}$,0.01797771425956293,7.229745538586795e-11
HCC1395,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.0015657378041465954,7.229745538586795e-11
HCC1395,BMS-265246,0.316228,$k_{\phi}$,0.003477007225409739,7.229745538586795e-11
HCC1395,BMS-265246,0.316228,$k_{S}$,0.005304878744366359,0.5243412171302952
HCC1395,BMS-265246,0.316228,$k_{G2}$,0.027948655964922502,0.5243412171302952
HCC1395,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.001581063098790195,0.5243412171302952
HCC1395,BMS-265246,0.316228,$k_{\phi}$,1e-07,0.5243412171302952
