cell_line,agent,concentration,parameter,rate,obj_func
HCC1395,Torin2,0.1,$k_{S}$,0.006465566351141893,3.138033678585697e-11
HCC1395,Torin2,0.1,$k_{G2}$,0.05083594616948607,3.138033678585697e-11
HCC1395,Torin2,0.1,$k_{M}$$k_{G1}$,0.04403186126139661,3.138033678585697e-11
HCC1395,Torin2,0.1,$k_{\phi}$,0.1973424749179411,3.138033678585697e-11
HCC1395,Torin2,0.1,$k_{S}$,0.0003505384168037694,2.5368257696983813e-11
HCC1395,Torin2,0.1,$k_{G2}$,0.02000972412255648,2.5368257696983813e-11
HCC1395,Torin2,0.1,$k_{M}$$k_{G1}$,0.0240082537387192,2.5368257696983813e-11
HCC1395,Torin2,0.1,$k_{\phi}$,0.11139466231777789,2.5368257696983813e-11
HCC1395,Torin2,0.1,$k_{S}$,0.001877334153140783,5.635330611922829e-11
HCC1395,Torin2,0.1,$k_{G2}$,0.030011867259062807,5.635330611922829e-11
HCC1395,Torin2,0.1,$k_{M}$$k_{G1}$,0.026748270711150237,5.635330611922829e-11
HCC1395,Torin2,0.1,$k_{\phi}$,0.18488186533606582,5.635330611922829e-11
HCC1395,Torin2,0.1,$k_{S}$,0.003821395142451876,8.198658221793042e-11
HCC1395,Torin2,0.1,$k_{G2}$,0.04838988968857609,8.198658221793042e-11
HCC1395,Torin2,0.1,$k_{M}$$k_{G1}$,0.02719383350578641,8.198658221793042e-11
HCC1395,Torin2,0.1,$k_{\phi}$,0.13238165321673928,8.198658221793042e-11
HCC1395,Torin2,0.1,$k_{S}$,0.0018597828879174001,7.179120853541265e-11
HCC1395,Torin2,0.1,$k_{G2}$,0.03310552393230573,7.179120853541265e-11
HCC1395,Torin2,0.1,$k_{M}$$k_{G1}$,0.02735300236197452,7.179120853541265e-11
HCC1395,Torin2,0.1,$k_{\phi}$,0.18496200165850235,7.179120853541265e-11
HCC1395,Torin2,0.1,$k_{S}$,0.0014994574815921158,9.92834215660946e-11
HCC1395,Torin2,0.1,$k_{G2}$,0.03465546348751035,9.92834215660946e-11
HCC1395,Torin2,0.1,$k_{M}$$k_{G1}$,0.022290194562129873,9.92834215660946e-11
HCC1395,Torin2,0.1,$k_{\phi}$,0.27138933984824065,9.92834215660946e-11
