cell_line,agent,concentration,parameter,rate,obj_func
HCC1419,LEE011_Ribociclib,0.316228,$k_{S}$,0.024856076467406462,8.279984824437915e-11
HCC1419,LEE011_Ribociclib,0.316228,$k_{G2}$,0.22385770924862095,8.279984824437915e-11
HCC1419,LEE011_Ribociclib,0.316228,$k_{M}$$k_{G1}$,0.06947333411373635,8.279984824437915e-11
HCC1419,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.1952150415379926,8.279984824437915e-11
HCC1419,LEE011_Ribociclib,0.316228,$k_{S}$,0.026424157375726436,4.503837499159708e-11
HCC1419,LEE011_Ribociclib,0.316228,$k_{G2}$,0.20607309869980794,4.503837499159708e-11
HCC1419,LEE011_Ribociclib,0.316228,$k_{M}$$k_{G1}$,0.06969528300300488,4.503837499159708e-11
HCC1419,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.24075351600427558,4.503837499159708e-11
HCC1419,LEE011_Ribociclib,0.316228,$k_{S}$,0.023320241622649125,2.700320069012808e-10
HCC1419,LEE011_Ribociclib,0.316228,$k_{G2}$,0.11945100038029541,2.700320069012808e-10
HCC1419,LEE011_Ribociclib,0.316228,$k_{M}$$k_{G1}$,0.054190975860551875,2.700320069012808e-10
HCC1419,LEE011_Ribociclib,0.316228,$k_{\phi}$,4.784309477180426,2.700320069012808e-10
HCC1419,LEE011_Ribociclib,3.162278,$k_{S}$,0.01850889557463021,7.569730462267431e-11
HCC1419,LEE011_Ribociclib,3.162278,$k_{G2}$,0.479253470010007,7.569730462267431e-11
HCC1419,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.06382658427552172,7.569730462267431e-11
HCC1419,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.24516420894184632,7.569730462267431e-11
HCC1419,LEE011_Ribociclib,3.162278,$k_{S}$,0.019670088946117197,1.6532606211772773e-10
HCC1419,LEE011_Ribociclib,3.162278,$k_{G2}$,0.5044132337510251,1.6532606211772773e-10
HCC1419,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.07721511858108782,1.6532606211772773e-10
HCC1419,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.29980223487754915,1.6532606211772773e-10
HCC1419,LEE011_Ribociclib,3.162278,$k_{S}$,0.02013617524882984,4.769590098277737e-05
HCC1419,LEE011_Ribociclib,3.162278,$k_{G2}$,0.36115055653181777,4.769590098277737e-05
HCC1419,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.060614365224560714,4.769590098277737e-05
HCC1419,LEE011_Ribociclib,3.162278,$k_{\phi}$,1.1464633792174859,4.769590098277737e-05
HCC1419,LEE011_Ribociclib,0.001,$k_{S}$,0.04008778320832536,2.8073208776251157e-10
HCC1419,LEE011_Ribociclib,0.001,$k_{G2}$,0.13423679276954545,2.8073208776251157e-10
HCC1419,LEE011_Ribociclib,0.001,$k_{M}$$k_{G1}$,0.08032855740912499,2.8073208776251157e-10
HCC1419,LEE011_Ribociclib,0.001,$k_{\phi}$,0.37623792797490196,2.8073208776251157e-10
HCC1419,LEE011_Ribociclib,0.001,$k_{S}$,0.041376062248965916,3.3925408868649314e-10
HCC1419,LEE011_Ribociclib,0.001,$k_{G2}$,0.1467575741320538,3.3925408868649314e-10
HCC1419,LEE011_Ribociclib,0.001,$k_{M}$$k_{G1}$,0.08218742290280305,3.3925408868649314e-10
HCC1419,LEE011_Ribociclib,0.001,$k_{\phi}$,0.44062221697399473,3.3925408868649314e-10
HCC1419,LEE011_Ribociclib,0.001,$k_{S}$,0.04041929360347855,7.253006103779798e-10
HCC1419,LEE011_Ribociclib,0.001,$k_{G2}$,0.11845958011762708,7.253006103779798e-10
HCC1419,LEE011_Ribociclib,0.001,$k_{M}$$k_{G1}$,0.06814929479940258,7.253006103779798e-10
HCC1419,LEE011_Ribociclib,0.001,$k_{\phi}$,1.9743058740047443,7.253006103779798e-10
HCC1419,LEE011_Ribociclib,0.031623,$k_{S}$,0.03584649267096854,2.8545100992560393e-10
