cell_line,agent,concentration,parameter,rate,obj_func
HCC1428,AZD5363,0.003162,$k_{S}$,0.010888093293419766,6.294613374359573e-11
HCC1428,AZD5363,0.003162,$k_{G2}$,0.03785533963131211,6.294613374359573e-11
HCC1428,AZD5363,0.003162,$k_{M}$$k_{G1}$,0.03361372193951569,6.294613374359573e-11
HCC1428,AZD5363,0.003162,$k_{\phi}$,0.3447087623450095,6.294613374359573e-11
HCC1428,AZD5363,0.003162,$k_{S}$,0.012218054403297198,5.871498204435139e-11
HCC1428,AZD5363,0.003162,$k_{G2}$,0.03814348451705311,5.871498204435139e-11
HCC1428,AZD5363,0.003162,$k_{M}$$k_{G1}$,0.04515355390771873,5.871498204435139e-11
HCC1428,AZD5363,0.003162,$k_{\phi}$,0.5705529059673579,5.871498204435139e-11
HCC1428,AZD5363,0.003162,$k_{S}$,0.00793932192995926,107.37891626326729
HCC1428,AZD5363,0.003162,$k_{G2}$,0.022456642619947034,107.37891626326729
HCC1428,AZD5363,0.003162,$k_{M}$$k_{G1}$,0.020037452715393766,107.37891626326729
HCC1428,AZD5363,0.003162,$k_{\phi}$,0.11584078691053647,107.37891626326729
HCC1428,AZD5363,0.1,$k_{S}$,0.0123191303419445,3.542247769681202e-11
HCC1428,AZD5363,0.1,$k_{G2}$,0.041791081524172005,3.542247769681202e-11
HCC1428,AZD5363,0.1,$k_{M}$$k_{G1}$,0.04132297450311089,3.542247769681202e-11
HCC1428,AZD5363,0.1,$k_{\phi}$,0.33059868795968234,3.542247769681202e-11
HCC1428,AZD5363,0.1,$k_{S}$,0.008017731070325877,8.288654810946015e-11
HCC1428,AZD5363,0.1,$k_{G2}$,0.02548370665587767,8.288654810946015e-11
HCC1428,AZD5363,0.1,$k_{M}$$k_{G1}$,0.024517530640770495,8.288654810946015e-11
HCC1428,AZD5363,0.1,$k_{\phi}$,0.39994562716094145,8.288654810946015e-11
HCC1428,AZD5363,0.1,$k_{S}$,0.00982786509336509,28.757787896059053
