cell_line,agent,concentration,parameter,rate,obj_func
HCC1500,Flavopiridol,0.001,$k_{S}$,0.004807966742211704,1.395360110814186e-11
HCC1500,Flavopiridol,0.001,$k_{G2}$,0.019568765625599317,1.395360110814186e-11
HCC1500,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.0034439202616965672,1.395360110814186e-11
HCC1500,Flavopiridol,0.001,$k_{\phi}$,0.06351846144319713,1.395360110814186e-11
HCC1500,Flavopiridol,0.000316,$k_{S}$,0.02249913135654155,2.8465463931990934e-11
HCC1500,Flavopiridol,0.000316,$k_{G2}$,0.133783531310036,2.8465463931990934e-11
HCC1500,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.03472860840177143,2.8465463931990934e-11
HCC1500,Flavopiridol,0.000316,$k_{\phi}$,0.025829177634060934,2.8465463931990934e-11
HCC1500,Flavopiridol,0.000316,$k_{S}$,0.020101894569178158,3.009614456005913e-11
HCC1500,Flavopiridol,0.000316,$k_{G2}$,0.1720019061528159,3.009614456005913e-11
HCC1500,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.02165389057413851,3.009614456005913e-11
HCC1500,Flavopiridol,0.000316,$k_{\phi}$,0.03846747856632016,3.009614456005913e-11
HCC1500,Flavopiridol,0.01,$k_{S}$,0.009109605701698813,5.314156212089343e-11
HCC1500,Flavopiridol,0.01,$k_{G2}$,0.049487605622407636,5.314156212089343e-11
HCC1500,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.013716321434472975,5.314156212089343e-11
HCC1500,Flavopiridol,0.01,$k_{\phi}$,0.022828864518005348,5.314156212089343e-11
HCC1500,Flavopiridol,0.01,$k_{S}$,0.011921469268462952,5.2437573259827114e-11
HCC1500,Flavopiridol,0.01,$k_{G2}$,0.05166231104067659,5.2437573259827114e-11
HCC1500,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.022457936931014215,5.2437573259827114e-11
HCC1500,Flavopiridol,0.01,$k_{\phi}$,0.013664945063377442,5.2437573259827114e-11
HCC1500,Flavopiridol,0.01,$k_{S}$,0.010484890500444306,4.8915153405807943e-11
HCC1500,Flavopiridol,0.01,$k_{G2}$,0.036905037212680826,4.8915153405807943e-11
HCC1500,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.015195557573160117,4.8915153405807943e-11
HCC1500,Flavopiridol,0.01,$k_{\phi}$,0.012091581095833116,4.8915153405807943e-11
HCC1500,Flavopiridol,0.1,$k_{S}$,0.01175571907388523,5.84120548652976e-11
HCC1500,Flavopiridol,0.1,$k_{G2}$,0.00220749340810402,5.84120548652976e-11
HCC1500,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.006688163451491361,5.84120548652976e-11
HCC1500,Flavopiridol,0.1,$k_{\phi}$,0.03713599253492129,5.84120548652976e-11
HCC1500,Flavopiridol,0.1,$k_{S}$,0.01104828916673816,2.343921846678781e-11
HCC1500,Flavopiridol,0.1,$k_{G2}$,0.07319625958280947,2.343921846678781e-11
HCC1500,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.01436036094977342,2.343921846678781e-11
HCC1500,Flavopiridol,0.1,$k_{\phi}$,0.01090580689776142,2.343921846678781e-11
HCC1500,Flavopiridol,0.1,$k_{S}$,0.02356822794669637,2.6959970220304032e-11
HCC1500,Flavopiridol,0.1,$k_{G2}$,0.14304936006407384,2.6959970220304032e-11
