cell_line,agent,concentration,parameter,rate,obj_func
HCC1806,CDK1_2iIII,0.1,$k_{S}$,0.010405433999452781,52713.36464990342
HCC1806,CDK1_2iIII,0.1,$k_{G2}$,0.021244212545115906,52713.36464990342
HCC1806,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.014684555114896426,52713.36464990342
HCC1806,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,52713.36464990342
HCC1806,CDK1_2iIII,0.1,$k_{S}$,0.008605581988137443,71613.52494978439
HCC1806,CDK1_2iIII,0.1,$k_{G2}$,0.01856257594186292,71613.52494978439
HCC1806,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.014087319921466631,71613.52494978439
HCC1806,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,71613.52494978439
HCC1806,CDK1_2iIII,0.1,$k_{S}$,0.006935024102394887,91770.73632042466
HCC1806,CDK1_2iIII,0.1,$k_{G2}$,0.017208551595518908,91770.73632042466
HCC1806,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.012143006316948798,91770.73632042466
HCC1806,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,91770.73632042466
HCC1806,CDK1_2iIII,0.1,$k_{S}$,0.007477346087492372,88548.09423247304
HCC1806,CDK1_2iIII,0.1,$k_{G2}$,0.01942001380550675,88548.09423247304
HCC1806,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.012261970140289642,88548.09423247304
HCC1806,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,88548.09423247304
HCC1806,CDK1_2iIII,0.1,$k_{S}$,0.007623202513159443,86431.67891920131
HCC1806,CDK1_2iIII,0.1,$k_{G2}$,0.01780499175288701,86431.67891920131
HCC1806,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.014845963924913576,86431.67891920131
HCC1806,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,86431.67891920131
HCC1806,CDK1_2iIII,0.1,$k_{S}$,0.008065137832852941,76976.12855032935
HCC1806,CDK1_2iIII,0.1,$k_{G2}$,0.01910643726095183,76976.12855032935
HCC1806,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.01339096824954456,76976.12855032935
HCC1806,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,76976.12855032935
