cell_line,agent,concentration,parameter,rate,obj_func
HCC1937,LY3023414,0.031623,$k_{S}$,0.011856048346652142,1.2126095746137574e-10
HCC1937,LY3023414,0.031623,$k_{G2}$,0.02944885490156404,1.2126095746137574e-10
HCC1937,LY3023414,0.031623,$k_{M}$$k_{G1}$,0.04336772425045235,1.2126095746137574e-10
HCC1937,LY3023414,0.031623,$k_{\phi}$,0.1700885850064016,1.2126095746137574e-10
HCC1937,LY3023414,0.031623,$k_{S}$,0.018303197026837362,2.0993429157843706e-10
HCC1937,LY3023414,0.031623,$k_{G2}$,0.04621353562524885,2.0993429157843706e-10
HCC1937,LY3023414,0.031623,$k_{M}$$k_{G1}$,0.05602782247586533,2.0993429157843706e-10
HCC1937,LY3023414,0.031623,$k_{\phi}$,0.39101739108330086,2.0993429157843706e-10
HCC1937,LY3023414,0.031623,$k_{S}$,0.017075570129352877,9.926901106984128e-11
HCC1937,LY3023414,0.031623,$k_{G2}$,0.046218493809789846,9.926901106984128e-11
HCC1937,LY3023414,0.031623,$k_{M}$$k_{G1}$,0.055790355236153416,9.926901106984128e-11
HCC1937,LY3023414,0.031623,$k_{\phi}$,0.3644451207989273,9.926901106984128e-11
HCC1937,LY3023414,0.316228,$k_{S}$,0.014042561229155611,7.484028851000992e-11
HCC1937,LY3023414,0.316228,$k_{G2}$,0.049470607482430776,7.484028851000992e-11
HCC1937,LY3023414,0.316228,$k_{M}$$k_{G1}$,0.04437535011420839,7.484028851000992e-11
HCC1937,LY3023414,0.316228,$k_{\phi}$,0.5893719266610714,7.484028851000992e-11
HCC1937,LY3023414,0.316228,$k_{S}$,0.0124126103379656,1.7284681431085374e-10
HCC1937,LY3023414,0.316228,$k_{G2}$,0.04221954653602692,1.7284681431085374e-10
HCC1937,LY3023414,0.316228,$k_{M}$$k_{G1}$,0.04107776583776459,1.7284681431085374e-10
HCC1937,LY3023414,0.316228,$k_{\phi}$,0.25700952011162936,1.7284681431085374e-10
HCC1937,LY3023414,0.316228,$k_{S}$,0.01719831599574948,1.184837584370135e-10
HCC1937,LY3023414,0.316228,$k_{G2}$,0.05647080730357086,1.184837584370135e-10
HCC1937,LY3023414,0.316228,$k_{M}$$k_{G1}$,0.07343814059585702,1.184837584370135e-10
HCC1937,LY3023414,0.316228,$k_{\phi}$,0.465951065623152,1.184837584370135e-10
HCC1937,LY3023414,0.1,$k_{S}$,0.012414804196758167,2.013731325355386e-10
HCC1937,LY3023414,0.1,$k_{G2}$,0.04298074298912008,2.013731325355386e-10
HCC1937,LY3023414,0.1,$k_{M}$$k_{G1}$,0.03632265252306367,2.013731325355386e-10
HCC1937,LY3023414,0.1,$k_{\phi}$,0.35742952962814717,2.013731325355386e-10
HCC1937,LY3023414,0.1,$k_{S}$,0.01776783637245406,4.897516760053836e-11
HCC1937,LY3023414,0.1,$k_{G2}$,0.04983901043592629,4.897516760053836e-11
HCC1937,LY3023414,0.1,$k_{M}$$k_{G1}$,0.05930061864820481,4.897516760053836e-11
HCC1937,LY3023414,0.1,$k_{\phi}$,0.37000405486622256,4.897516760053836e-11
HCC1937,LY3023414,0.1,$k_{S}$,0.016337522832494396,5.2747888141279936e-11
HCC1937,LY3023414,0.1,$k_{G2}$,0.05112877604938915,5.2747888141279936e-11
HCC1937,LY3023414,0.1,$k_{M}$$k_{G1}$,0.070566860819252,5.2747888141279936e-11
HCC1937,LY3023414,0.1,$k_{\phi}$,0.28938373692605734,5.2747888141279936e-11
HCC1937,LY3023414,3.162278,$k_{S}$,0.008471137091874848,1.5459001361841308e-10
HCC1937,LY3023414,3.162278,$k_{G2}$,0.04670783108662367,1.5459001361841308e-10
HCC1937,LY3023414,3.162278,$k_{M}$$k_{G1}$,0.03401394040086872,1.5459001361841308e-10
HCC1937,LY3023414,3.162278,$k_{\phi}$,0.6017738769613473,1.5459001361841308e-10
HCC1937,LY3023414,3.162278,$k_{S}$,0.010127805325094599,6.311568585427014e-09
